metric,domain,task,a,b,n,mean_a,mean_b,delta_mean,dz,p_raw,p_fdr,p_bonf,sig_fdr_5pct,sig_bonf_5pct,winner
F1,weapon,1,Hybrid-Full,Raw-Facts,11,0.8347,0.8047,0.0301,1.673,0.000977,0.010254,0.020508,True,True,Hybrid-Full
F1,weapon,1,GPT-Schema,GPT-Free,11,0.8196,0.8064,0.0132,0.569,0.083008,0.158469,1.0,False,False,GPT-Schema
F1,weapon,1,GPT-Schema,GPT-Law,11,0.8196,0.8134,0.0062,0.216,1.0,1.0,1.0,False,False,GPT-Schema
F1,weapon,1,GPT-Schema,Raw-Facts,11,0.8196,0.8047,0.0149,0.366,0.206055,0.288477,1.0,False,False,GPT-Schema
F1,weapon,1,GPT-Free,GPT-Law,11,0.8064,0.8134,-0.0069,-0.295,0.577148,0.637901,1.0,False,False,GPT-Law
F1,weapon,1,GPT-Free,Raw-Facts,11,0.8064,0.8047,0.0018,0.053,0.577148,0.637901,1.0,False,False,GPT-Free
F1,weapon,1,GPT-Law,Raw-Facts,11,0.8134,0.8047,0.0087,0.285,0.431641,0.533203,1.0,False,False,GPT-Law
F1_CV,drugs,0,Manual,Hybrid-Manual,11,0.8939,0.8566,0.0372,1.096,0.013672,0.095703,0.287109,False,False,Manual
F1_CV,drugs,0,Manual,Hybrid-Full,11,0.8939,0.8736,0.0203,0.687,0.041992,0.146973,0.881836,False,False,Manual
F1_CV,drugs,0,Manual,GPT-Schema,11,0.8939,0.8423,0.0515,0.824,0.024414,0.102539,0.512695,False,False,Manual
F1_CV,drugs,0,Manual,GPT-Free,11,0.8939,0.8551,0.0388,0.847,0.019531,0.102539,0.410156,False,False,Manual
F1_CV,drugs,0,Manual,GPT-Law,11,0.8939,0.8527,0.0411,1.091,0.009766,0.095703,0.205078,False,False,Manual
F1_CV,drugs,0,Manual,Raw-Facts,11,0.8939,0.8405,0.0534,1.013,0.009766,0.095703,0.205078,False,False,Manual
F1_CV,drugs,0,Hybrid-Manual,Hybrid-Full,11,0.8566,0.8736,-0.017,-0.399,0.240234,0.477273,1.0,False,False,Hybrid-Full
F1_CV,drugs,0,Hybrid-Manual,GPT-Schema,11,0.8566,0.8423,0.0143,0.215,0.492188,0.681885,1.0,False,False,Hybrid-Manual
F1_CV,drugs,0,Hybrid-Manual,GPT-Free,11,0.8566,0.8551,0.0016,0.036,0.921875,0.967969,1.0,False,False,Hybrid-Manual
F1_CV,drugs,0,Hybrid-Manual,GPT-Law,11,0.8566,0.8527,0.0039,0.084,1.0,1.0,1.0,False,False,Hybrid-Manual
F1_CV,drugs,0,Hybrid-Manual,Raw-Facts,11,0.8566,0.8405,0.0161,0.318,0.322266,0.483398,1.0,False,False,Hybrid-Manual
F1_CV,drugs,0,Hybrid-Full,GPT-Schema,11,0.8736,0.8423,0.0313,0.44,0.27832,0.483398,1.0,False,False,Hybrid-Full
F1_CV,drugs,0,Hybrid-Full,GPT-Free,11,0.8736,0.8551,0.0185,0.42,0.240234,0.477273,1.0,False,False,Hybrid-Full
F1_CV,drugs,0,Hybrid-Full,GPT-Law,11,0.8736,0.8527,0.0208,0.503,0.123047,0.322998,1.0,False,False,Hybrid-Full
F1_CV,drugs,0,Hybrid-Full,Raw-Facts,11,0.8736,0.8405,0.0331,0.615,0.083008,0.249023,1.0,False,False,Hybrid-Full
F1_CV,drugs,0,GPT-Schema,GPT-Free,11,0.8423,0.8551,-0.0127,-0.207,0.519531,0.681885,1.0,False,False,GPT-Free
F1_CV,drugs,0,GPT-Schema,GPT-Law,11,0.8423,0.8527,-0.0104,-0.21,0.831055,0.934725,1.0,False,False,GPT-Law
