domain,task,model,rep_a,rep_b,n_pairs,n12_a_right_b_wrong,n21_a_wrong_b_right,mcnemar_p,p_fdr_bh
drugs,binary_0,gemma3_27b,gpt_free,hybrid_gpt,100,8,8,1.0,1.0
drugs,binary_0,gemma3_27b,gpt_free,hybrid_manual_gpt,100,6,6,1.0,1.0
drugs,binary_0,gemma3_27b,gpt_free,manual_fe,100,9,8,1.0,1.0
drugs,binary_0,gemma3_27b,gpt_law,hybrid_full_gpt,100,7,6,1.0,1.0
drugs,binary_0,gemma3_27b,gpt_law,hybrid_gpt,100,9,7,0.803619384765625,1.0
drugs,binary_0,gemma3_27b,gpt_law,hybrid_manual_gpt,100,12,10,0.8318119049072266,1.0
drugs,binary_0,gemma3_27b,gpt_law,manual_fe,100,14,11,0.6900379657745361,1.0
drugs,binary_0,gemma3_27b,hybrid_full_gpt,hybrid_gpt,100,5,4,1.0,1.0
drugs,binary_0,gemma3_27b,hybrid_full_gpt,hybrid_manual_gpt,100,13,12,1.0,1.0
drugs,binary_0,gemma3_27b,hybrid_full_gpt,manual_fe,100,14,12,0.8450189828872681,1.0
drugs,binary_0,gemma3_27b,hybrid_gpt,hybrid_manual_gpt,100,11,11,1.0,1.0
drugs,binary_0,gemma3_27b,hybrid_gpt,manual_fe,100,13,12,1.0,1.0
drugs,binary_0,gemma3_27b,hybrid_manual_gpt,manual_fe,100,5,4,1.0,1.0
drugs,binary_0,gpt4,facts,fe_gpt_schema,100,4,6,0.75390625,1.0
drugs,binary_0,gpt4,facts,fe_legacy_from_structured,98,5,5,1.0,1.0
drugs,binary_0,gpt4,facts,fe_manual_format,13,2,1,1.0,1.0
drugs,binary_0,gpt4,facts,gpt_free,100,2,3,1.0,1.0
drugs,binary_0,gpt4,facts,gpt_law,100,2,5,0.453125,0.8869833426447995
drugs,binary_0,gpt4,facts,hybrid_full_gpt,100,4,6,0.75390625,1.0
drugs,binary_0,gpt4,facts,hybrid_gpt,100,2,2,1.0,1.0
drugs,binary_0,gpt4,facts,hybrid_manual_gpt,100,4,7,0.548828125,0.9537013319672131
drugs,binary_0,gpt4,facts,manual_fe,100,7,9,0.803619384765625,1.0
drugs,binary_0,gpt4,fe_gpt_schema,fe_legacy_from_structured,98,5,2,0.453125,0.8869833426447995
drugs,binary_0,gpt4,fe_gpt_schema,fe_manual_format,13,4,0,0.125,0.5350356294536817
drugs,binary_0,gpt4,fe_gpt_schema,gpt_free,100,5,4,1.0,1.0
drugs,binary_0,gpt4,fe_gpt_schema,gpt_law,100,3,4,1.0,1.0
drugs,binary_0,gpt4,fe_gpt_schema,hybrid_full_gpt,100,2,2,1.0,1.0
drugs,binary_0,gpt4,fe_gpt_schema,hybrid_gpt,100,6,4,0.75390625,1.0
drugs,binary_0,gpt4,fe_gpt_schema,hybrid_manual_gpt,100,4,5,1.0,1.0
drugs,binary_0,gpt4,fe_gpt_schema,manual_fe,100,6,6,1.0,1.0
drugs,binary_0,gpt4,fe_legacy_from_structured,fe_manual_format,13,2,0,0.5,0.9206017354124748
drugs,binary_0,gpt4,fe_legacy_from_structured,gpt_free,98,4,4,1.0,1.0
drugs,binary_0,gpt4,fe_legacy_from_structured,gpt_law,98,3,6,0.5078125,0.9206017354124748
drugs,binary_0,gpt4,fe_legacy_from_structured,hybrid_full_gpt,98,2,5,0.453125,0.8869833426447995
drugs,binary_0,gpt4,fe_legacy_from_structured,hybrid_gpt,98,5,5,1.0,1.0
drugs,binary_0,gpt4,fe_legacy_from_structured,hybrid_manual_gpt,98,3,6,0.5078125,0.9206017354124748
drugs,binary_0,gpt4,fe_legacy_from_structured,manual_fe,98,5,7,0.7744140625,1.0
drugs,binary_0,gpt4,fe_manual_format,gpt_free,13,0,2,0.5,0.9206017354124748
drugs,binary_0,gpt4,fe_manual_format,gpt_law,13,0,3,0.25,0.69629057187017
drugs,binary_0,gpt4,fe_manual_format,hybrid_full_gpt,13,0,4,0.125,0.5350356294536817
drugs,binary_0,gpt4,fe_manual_format,hybrid_gpt,13,1,1,1.0,1.0
drugs,binary_0,gpt4,fe_manual_format,hybrid_manual_gpt,13,0,4,0.125,0.5350356294536817
