domain,rep,model,metric,n,observed,baseline_mean,baseline_std,baseline_ci_lo,baseline_ci_hi,improvement,p_value,significantly_better,n_shuffles
weapon,GPT-Law,gemma4_31b_or,QWK_Oracle,141,0.7184523224982815,0.0020381027202200017,0.08589992405732079,-0.1769616026711185,0.1645880388883434,0.7164142197780615,0.0,True,1000
weapon,GPT-Law,gemma4_31b_or,QWK_CV,141,0.6848702749975707,0.002344961616946849,0.08604947994853179,-0.17374404819745415,0.1642211641239918,0.6825253133806238,0.0,True,1000
weapon,GPT-Law,llama3_70b,F1_Oracle_b0,141,0.6349206349206349,0.41804761904761906,0.04424330961859207,0.3333333333333333,0.5079365079365079,0.21687301587301583,0.0,True,1000
weapon,GPT-Law,llama3_70b,F1_Oracle_b1,141,0.7808219178082192,0.5111643835616438,0.04075342609790634,0.4246575342465753,0.589041095890411,0.26965753424657535,0.0,True,1000
weapon,GPT-Law,llama3_70b,F1_CV_b0,141,0.6129032258064516,0.4144032258064516,0.04473428151455172,0.3225806451612903,0.5,0.1985,0.0,True,1000
weapon,GPT-Law,llama3_70b,F1_CV_b1,141,0.7724137931034483,0.5084827586206897,0.040953186558458525,0.42758620689655175,0.593103448275862,0.26393103448275856,0.0,True,1000
weapon,GPT-Law,llama3_70b,AP_b0,141,0.6050589197668172,0.3448965192971005,0.035937101381078175,0.28768717487865436,0.4290205057232316,0.2601624004697167,0.0,True,1000
weapon,GPT-Law,llama3_70b,AP_b1,141,0.7453894687587286,0.4758978567241955,0.03771591572548025,0.4093495404704608,0.5503755713361701,0.2694916120345331,0.0,True,1000
weapon,GPT-Law,llama3_70b,QWK_Oracle,141,0.5151269270893706,0.0030355859510837603,0.08058395696871633,-0.14953054364205398,0.1555581314477802,0.5120913411382868,0.0,True,1000
weapon,GPT-Law,llama3_70b,QWK_CV,141,0.4558610709117221,0.002230583695127796,0.07841818243320285,-0.1449589966232514,0.150066328991799,0.4536304872165943,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,F1_Oracle_b0,141,0.7522935779816514,0.3807522935779817,0.05219882641430829,0.27522935779816515,0.4954128440366973,0.37154128440366974,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,F1_Oracle_b1,141,0.8296296296296296,0.4792148148148148,0.043220434383925,0.4,0.562962962962963,0.3504148148148148,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,F1_CV_b0,141,0.7115384615384616,0.36836538461538465,0.054721835829901595,0.2692307692307692,0.4807692307692308,0.3431730769230769,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,F1_CV_b1,141,0.8091603053435115,0.4655419847328244,0.04408564297881448,0.3816793893129771,0.549618320610687,0.3436183206106871,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,AP_b0,141,0.8166476693073632,0.34736152061091663,0.03925849272299823,0.2820398885108983,0.43790594816579226,0.4692861486964466,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,AP_b1,141,0.884596924738478,0.4775206725815682,0.038964101190188935,0.4076336737768182,0.5592296339233642,0.40707625215690973,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,QWK_Oracle,141,0.7464940668824165,0.001979405707561174,0.08710170231232263,-0.17534568990879662,0.16573502010395225,0.7445146611748553,0.0,True,1000
weapon,GPT-Law,claude_sonnet_4_6,QWK_CV,141,0.7333724569640063,0.0019211658841940863,0.08728681487953288,-0.17706866197183085,0.16334115805946792,0.7314512910798122,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,F1_Oracle_b0,141,0.703125,0.419765625,0.043138577452194383,0.34375,0.515625,0.283359375,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,F1_Oracle_b1,141,0.8163265306122449,0.5150884353741496,0.040199071591444466,0.43537414965986393,0.5986394557823129,0.3012380952380953,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,F1_CV_b0,141,0.6829268292682927,0.41069918699186997,0.04547982088584615,0.3252032520325203,0.5040650406504065,0.27222764227642277,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,F1_CV_b1,141,0.8163265306122449,0.5150884353741496,0.040199071591444466,0.43537414965986393,0.5986394557823129,0.3012380952380953,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,AP_b0,141,0.715392999330356,0.3353356029458018,0.03328305831923509,0.28250347045589297,0.4102282086059672,0.38005739638455427,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,AP_b1,141,0.8117801135977866,0.4692783360914178,0.03523042330288906,0.4077606673738271,0.5489560592187916,0.3425017775063688,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,QWK_Oracle,141,0.6544769085768143,0.001881244109330856,0.08325291866684278,-0.16060320452403398,0.1583411875589067,0.6525956644674834,0.0,True,1000
weapon,GPT-Law,qwen3_vl_235b_or,QWK_CV,141,0.5878033856822353,0.003797470936161628,0.0848666524332229,-0.15990210075463995,0.1660208035896391,0.5840059147460737,0.0,True,1000
weapon,Raw-Facts,gpt4,F1_Oracle_b0,141,0.7628865979381443,0.34764948453608246,0.05491187259070193,0.24742268041237114,0.4536082474226804,0.4152371134020618,0.0,True,1000
weapon,Raw-Facts,gpt4,F1_Oracle_b1,141,0.796875,0.4538125,0.04672634503221999,0.359375,0.546875,0.3430625,0.0,True,1000
weapon,Raw-Facts,gpt4,F1_CV_b0,141,0.72,0.35686,0.05285199838921641,0.26,0.46,0.36313999999999996,0.0,True,1000
weapon,Raw-Facts,gpt4,F1_CV_b1,141,0.7666666666666667,0.42331666666666673,0.04910442240629057,0.3333333333333333,0.5166666666666667,0.34335,0.0,True,1000
weapon,Raw-Facts,gpt4,AP_b0,141,0.761011675653746,0.3432946333349942,0.03700398955583968,0.2873377673643117,0.43248258186549654,0.41771704231875173,0.0,True,1000
weapon,Raw-Facts,gpt4,AP_b1,141,0.8643575986295337,0.47369827677178317,0.037107653040404545,0.4086882523330171,0.5492455504937996,0.3906593218577505,0.0,True,1000
weapon,Raw-Facts,gpt4,QWK_Oracle,141,0.7134407134407135,0.0003272363272364105,0.08216494054749561,-0.16762216762216764,0.15743015743015754,0.7131134771134771,0.0,True,1000
weapon,Raw-Facts,gpt4,QWK_CV,141,0.6904267797527746,0.00048560858973209606,0.08283826915468326,-0.16620048723269853,0.15609492014797444,0.6899411711630424,0.0,True,1000
weapon,Raw-Facts,gpt5mini,F1_Oracle_b0,141,0.7272727272727273,0.351979797979798,0.05245065336474521,0.26262626262626265,0.46464646464646464,0.3752929292929293,0.0,True,1000
weapon,Raw-Facts,gpt5mini,F1_Oracle_b1,141,0.7659574468085106,0.49748936170212765,0.041790689363652905,0.425531914893617,0.5815602836879432,0.268468085106383,0.0,True,1000
weapon,Raw-Facts,gpt5mini,F1_CV_b0,141,0.7021276595744681,0.3364255319148936,0.05416612249577928,0.23404255319148937,0.44680851063829785,0.3657021276595745,0.0,True,1000
weapon,Raw-Facts,gpt5mini,F1_CV_b1,141,0.7050359712230215,0.49010071942446043,0.041787577874679314,0.4172661870503597,0.5755395683453237,0.2149352517985611,0.0,True,1000
weapon,Raw-Facts,gpt5mini,AP_b0,141,0.7725575654030921,0.3466691211627563,0.03812389232174499,0.28486320166186974,0.43464131547989654,0.4258884442403358,0.0,True,1000
weapon,Raw-Facts,gpt5mini,AP_b1,141,0.8119768451430724,0.476087755138616,0.03864387686649038,0.41042393326611026,0.5573027279492359,0.33588909000445644,0.0,True,1000
weapon,Raw-Facts,gpt5mini,QWK_Oracle,141,0.6186710485775906,0.002520694259012025,0.07902647360173372,-0.15364075177159298,0.1649378658724453,0.6161503543185786,0.0,True,1000
