domain,metric,category,value,detail
weapon,F1_Oracle_b1,Embedding-Text: OpenAI 3-large,0.6403940886699507,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b0,Embedding-Text: OpenAI 3-large,0.4769230769230769,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b1,Embedding-Text: OpenAI 3-large,0.5837837837837838,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b0,Embedding-Text: OpenAI 3-large,0.4953098809066549,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b1,Embedding-Text: OpenAI 3-large,0.6001895624431918,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_Oracle,Embedding-Text: OpenAI 3-large,0.2928786359077232,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_CV,Embedding-Text: OpenAI 3-large,0.156731103136937,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b0,Embedding-Text: mE5-large-instruct,0.8157894736842105,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b1,Embedding-Text: mE5-large-instruct,0.7959183673469388,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b0,Embedding-Text: mE5-large-instruct,0.7792207792207793,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b1,Embedding-Text: mE5-large-instruct,0.75,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b0,Embedding-Text: mE5-large-instruct,0.7882153133523488,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b1,Embedding-Text: mE5-large-instruct,0.8370719356690961,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_Oracle,Embedding-Text: mE5-large-instruct,0.7124026363091671,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_CV,Embedding-Text: mE5-large-instruct,0.6623222748815166,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b0,Embedding-Text: mE5-large-instruct,0.6029411764705882,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b1,Embedding-Text: mE5-large-instruct,0.686046511627907,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b0,Embedding-Text: mE5-large-instruct,0.5645161290322581,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b1,Embedding-Text: mE5-large-instruct,0.6477272727272727,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b0,Embedding-Text: mE5-large-instruct,0.541935744993344,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b1,Embedding-Text: mE5-large-instruct,0.6859127646092298,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_Oracle,Embedding-Text: mE5-large-instruct,0.4032615026208503,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_CV,Embedding-Text: mE5-large-instruct,0.2427955525300656,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b0,Embedding-Text: BGE-M3,0.8169014084507042,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b1,Embedding-Text: BGE-M3,0.7962962962962963,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b0,Embedding-Text: BGE-M3,0.75,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_CV_b1,Embedding-Text: BGE-M3,0.7567567567567568,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b0,Embedding-Text: BGE-M3,0.8252490616846204,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,AP_b1,Embedding-Text: BGE-M3,0.8467610519093627,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_Oracle,Embedding-Text: BGE-M3,0.6915484268969772,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,QWK_CV,Embedding-Text: BGE-M3,0.6232439335887612,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b0,Embedding-Text: BGE-M3,0.5906040268456376,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_Oracle_b1,Embedding-Text: BGE-M3,0.7167630057803468,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b0,Embedding-Text: BGE-M3,0.4957264957264957,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,F1_CV_b1,Embedding-Text: BGE-M3,0.6941176470588235,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b0,Embedding-Text: BGE-M3,0.6055982056818153,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,AP_b1,Embedding-Text: BGE-M3,0.7032593468890929,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_Oracle,Embedding-Text: BGE-M3,0.4545454545454546,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
weapon,QWK_CV,Embedding-Text: BGE-M3,0.3447665412701924,"cosine(emb(raw_text_V1), emb(raw_text_V2))"
drugs,F1_Oracle_b0,Emb-on-Manual: OpenAI 3-large,0.7605633802816901,cosine on Manual features
drugs,F1_Oracle_b1,Emb-on-Manual: OpenAI 3-large,0.8214285714285714,cosine on Manual features
drugs,F1_CV_b0,Emb-on-Manual: OpenAI 3-large,0.7272727272727273,cosine on Manual features
drugs,F1_CV_b1,Emb-on-Manual: OpenAI 3-large,0.7547169811320755,cosine on Manual features
drugs,AP_b0,Emb-on-Manual: OpenAI 3-large,0.8228257158949144,cosine on Manual features
drugs,AP_b1,Emb-on-Manual: OpenAI 3-large,0.8462001823308138,cosine on Manual features
drugs,QWK_Oracle,Emb-on-Manual: OpenAI 3-large,0.7032828282828283,cosine on Manual features
drugs,QWK_CV,Emb-on-Manual: OpenAI 3-large,0.61826857532379,cosine on Manual features
weapon,F1_Oracle_b0,Emb-on-Manual: OpenAI 3-large,0.6306306306306306,cosine on Manual features
weapon,F1_Oracle_b1,Emb-on-Manual: OpenAI 3-large,0.7044025157232704,cosine on Manual features
weapon,F1_CV_b0,Emb-on-Manual: OpenAI 3-large,0.5806451612903226,cosine on Manual features
weapon,F1_CV_b1,Emb-on-Manual: OpenAI 3-large,0.6585365853658537,cosine on Manual features
weapon,AP_b0,Emb-on-Manual: OpenAI 3-large,0.6730243937101192,cosine on Manual features
weapon,AP_b1,Emb-on-Manual: OpenAI 3-large,0.7554386964715931,cosine on Manual features
weapon,QWK_Oracle,Emb-on-Manual: OpenAI 3-large,0.5180320313400162,cosine on Manual features
weapon,QWK_CV,Emb-on-Manual: OpenAI 3-large,0.4440972997098862,cosine on Manual features
drugs,F1_Oracle_b0,Emb-on-GPT-Schema: OpenAI 3-large,0.6842105263157895,cosine on GPT-Schema features
drugs,F1_Oracle_b1,Emb-on-GPT-Schema: OpenAI 3-large,0.6947368421052632,cosine on GPT-Schema features
drugs,F1_CV_b0,Emb-on-GPT-Schema: OpenAI 3-large,0.5970149253731343,cosine on GPT-Schema features
drugs,F1_CV_b1,Emb-on-GPT-Schema: OpenAI 3-large,0.6407766990291263,cosine on GPT-Schema features
drugs,AP_b0,Emb-on-GPT-Schema: OpenAI 3-large,0.7744496385783336,cosine on GPT-Schema features
drugs,AP_b1,Emb-on-GPT-Schema: OpenAI 3-large,0.7981379421986814,cosine on GPT-Schema features
drugs,QWK_Oracle,Emb-on-GPT-Schema: OpenAI 3-large,0.5528967254408059,cosine on GPT-Schema features
drugs,QWK_CV,Emb-on-GPT-Schema: OpenAI 3-large,0.469847581179589,cosine on GPT-Schema features
weapon,F1_Oracle_b0,Emb-on-GPT-Schema: OpenAI 3-large,0.5035971223021583,cosine on GPT-Schema features
weapon,F1_Oracle_b1,Emb-on-GPT-Schema: OpenAI 3-large,0.6310679611650486,cosine on GPT-Schema features
weapon,F1_CV_b0,Emb-on-GPT-Schema: OpenAI 3-large,0.4496124031007752,cosine on GPT-Schema features
weapon,F1_CV_b1,Emb-on-GPT-Schema: OpenAI 3-large,0.59375,cosine on GPT-Schema features
weapon,AP_b0,Emb-on-GPT-Schema: OpenAI 3-large,0.4738831303440136,cosine on GPT-Schema features
weapon,AP_b1,Emb-on-GPT-Schema: OpenAI 3-large,0.6115111852993049,cosine on GPT-Schema features
weapon,QWK_Oracle,Emb-on-GPT-Schema: OpenAI 3-large,0.2747208121827411,cosine on GPT-Schema features
weapon,QWK_CV,Emb-on-GPT-Schema: OpenAI 3-large,0.2307614109992882,cosine on GPT-Schema features
drugs,F1_Oracle_b0,Emb-on-GPT-Free: OpenAI 3-large,0.625,cosine on GPT-Free features
drugs,F1_Oracle_b1,Emb-on-GPT-Free: OpenAI 3-large,0.7027027027027027,cosine on GPT-Free features
drugs,F1_CV_b0,Emb-on-GPT-Free: OpenAI 3-large,0.5681818181818182,cosine on GPT-Free features
drugs,F1_CV_b1,Emb-on-GPT-Free: OpenAI 3-large,0.6785714285714286,cosine on GPT-Free features
drugs,AP_b0,Emb-on-GPT-Free: OpenAI 3-large,0.5735703888671143,cosine on GPT-Free features
drugs,AP_b1,Emb-on-GPT-Free: OpenAI 3-large,0.6726654136890998,cosine on GPT-Free features
drugs,QWK_Oracle,Emb-on-GPT-Free: OpenAI 3-large,0.4100294985250737,cosine on GPT-Free features
drugs,QWK_CV,Emb-on-GPT-Free: OpenAI 3-large,0.2941874258600236,cosine on GPT-Free features
weapon,F1_Oracle_b0,Emb-on-GPT-Free: OpenAI 3-large,0.6201550387596899,cosine on GPT-Free features
weapon,F1_Oracle_b1,Emb-on-GPT-Free: OpenAI 3-large,0.6918238993710691,cosine on GPT-Free features
weapon,F1_CV_b0,Emb-on-GPT-Free: OpenAI 3-large,0.5873015873015873,cosine on GPT-Free features
weapon,F1_CV_b1,Emb-on-GPT-Free: OpenAI 3-large,0.6585365853658537,cosine on GPT-Free features
weapon,AP_b0,Emb-on-GPT-Free: OpenAI 3-large,0.5121545470615774,cosine on GPT-Free features
weapon,AP_b1,Emb-on-GPT-Free: OpenAI 3-large,0.6584027888595905,cosine on GPT-Free features
weapon,QWK_Oracle,Emb-on-GPT-Free: OpenAI 3-large,0.3905656159177285,cosine on GPT-Free features
weapon,QWK_CV,Emb-on-GPT-Free: OpenAI 3-large,0.2701552861093385,cosine on GPT-Free features
drugs,F1_Oracle_b0,Emb-on-GPT-Law: OpenAI 3-large,0.5897435897435898,cosine on GPT-Law features
drugs,F1_Oracle_b1,Emb-on-GPT-Law: OpenAI 3-large,0.725925925925926,cosine on GPT-Law features
drugs,F1_CV_b0,Emb-on-GPT-Law: OpenAI 3-large,0.4835164835164835,cosine on GPT-Law features
drugs,F1_CV_b1,Emb-on-GPT-Law: OpenAI 3-large,0.696969696969697,cosine on GPT-Law features
drugs,AP_b0,Emb-on-GPT-Law: OpenAI 3-large,0.6121427086475385,cosine on GPT-Law features
drugs,AP_b1,Emb-on-GPT-Law: OpenAI 3-large,0.7253741634854005,cosine on GPT-Law features
drugs,QWK_Oracle,Emb-on-GPT-Law: OpenAI 3-large,0.402135231316726,cosine on GPT-Law features
drugs,QWK_CV,Emb-on-GPT-Law: OpenAI 3-large,0.2576095025983667,cosine on GPT-Law features
weapon,F1_Oracle_b0,Emb-on-GPT-Law: OpenAI 3-large,0.5528455284552846,cosine on GPT-Law features
weapon,F1_Oracle_b1,Emb-on-GPT-Law: OpenAI 3-large,0.6777777777777778,cosine on GPT-Law features
weapon,F1_CV_b0,Emb-on-GPT-Law: OpenAI 3-large,0.5081967213114754,cosine on GPT-Law features
weapon,F1_CV_b1,Emb-on-GPT-Law: OpenAI 3-large,0.6703910614525139,cosine on GPT-Law features
weapon,AP_b0,Emb-on-GPT-Law: OpenAI 3-large,0.490709248839115,cosine on GPT-Law features
weapon,AP_b1,Emb-on-GPT-Law: OpenAI 3-large,0.6197335154200243,cosine on GPT-Law features
weapon,QWK_Oracle,Emb-on-GPT-Law: OpenAI 3-large,0.2983789724333731,cosine on GPT-Law features
weapon,QWK_CV,Emb-on-GPT-Law: OpenAI 3-large,0.123983111934919,cosine on GPT-Law features
drugs,F1_Oracle_b0,Emb-on-Raw-Facts: OpenAI 3-large,0.7428571428571429,cosine on Raw-Facts features
drugs,F1_Oracle_b1,Emb-on-Raw-Facts: OpenAI 3-large,0.7254901960784313,cosine on Raw-Facts features
drugs,F1_CV_b0,Emb-on-Raw-Facts: OpenAI 3-large,0.7246376811594203,cosine on Raw-Facts features
drugs,F1_CV_b1,Emb-on-Raw-Facts: OpenAI 3-large,0.6915887850467289,cosine on Raw-Facts features
drugs,AP_b0,Emb-on-Raw-Facts: OpenAI 3-large,0.7064025216057654,cosine on Raw-Facts features
drugs,AP_b1,Emb-on-Raw-Facts: OpenAI 3-large,0.7890971446200494,cosine on Raw-Facts features
drugs,QWK_Oracle,Emb-on-Raw-Facts: OpenAI 3-large,0.5978062157221207,cosine on Raw-Facts features
drugs,QWK_CV,Emb-on-Raw-Facts: OpenAI 3-large,0.5734308348567947,cosine on Raw-Facts features
weapon,F1_Oracle_b0,Emb-on-Raw-Facts: OpenAI 3-large,0.5369127516778524,cosine on Raw-Facts features
weapon,F1_Oracle_b1,Emb-on-Raw-Facts: OpenAI 3-large,0.6428571428571429,cosine on Raw-Facts features
weapon,F1_CV_b0,Emb-on-Raw-Facts: OpenAI 3-large,0.5109489051094891,cosine on Raw-Facts features
weapon,F1_CV_b1,Emb-on-Raw-Facts: OpenAI 3-large,0.5934065934065934,cosine on Raw-Facts features
weapon,AP_b0,Emb-on-Raw-Facts: OpenAI 3-large,0.4970087560366052,cosine on Raw-Facts features
weapon,AP_b1,Emb-on-Raw-Facts: OpenAI 3-large,0.6006478260110244,cosine on Raw-Facts features
weapon,QWK_Oracle,Emb-on-Raw-Facts: OpenAI 3-large,0.3036610750581608,cosine on Raw-Facts features
weapon,QWK_CV,Emb-on-Raw-Facts: OpenAI 3-large,0.2256163559831629,cosine on Raw-Facts features
drugs,F1_Oracle_b0,Emb-on-Hybrid-Manual: OpenAI 3-large,0.6363636363636364,cosine on Hybrid-Manual features
drugs,F1_Oracle_b1,Emb-on-Hybrid-Manual: OpenAI 3-large,0.7121212121212122,cosine on Hybrid-Manual features
drugs,F1_CV_b0,Emb-on-Hybrid-Manual: OpenAI 3-large,0.6067415730337079,cosine on Hybrid-Manual features
drugs,F1_CV_b1,Emb-on-Hybrid-Manual: OpenAI 3-large,0.6612903225806451,cosine on Hybrid-Manual features
drugs,AP_b0,Emb-on-Hybrid-Manual: OpenAI 3-large,0.5780139506840241,cosine on Hybrid-Manual features
drugs,AP_b1,Emb-on-Hybrid-Manual: OpenAI 3-large,0.7179026031312241,cosine on Hybrid-Manual features
drugs,QWK_Oracle,Emb-on-Hybrid-Manual: OpenAI 3-large,0.4243208279430789,cosine on Hybrid-Manual features
drugs,QWK_CV,Emb-on-Hybrid-Manual: OpenAI 3-large,0.3015446608462055,cosine on Hybrid-Manual features
weapon,F1_Oracle_b0,Emb-on-Hybrid-Manual: OpenAI 3-large,0.5853658536585366,cosine on Hybrid-Manual features
weapon,F1_Oracle_b1,Emb-on-Hybrid-Manual: OpenAI 3-large,0.6813186813186813,cosine on Hybrid-Manual features
weapon,F1_CV_b0,Emb-on-Hybrid-Manual: OpenAI 3-large,0.5245901639344263,cosine on Hybrid-Manual features
weapon,F1_CV_b1,Emb-on-Hybrid-Manual: OpenAI 3-large,0.6380368098159509,cosine on Hybrid-Manual features
