domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman,Ordinal_AUC
drugs,GPT-Free,mistral_large_or,0.7530864197530864,0.7391819798458803,0.8942148760330578,0.7539760149785931,0.9140428571428572
drugs,GPT-Free,deepseek_r1_or,0.7526283240568955,0.7526283240568955,0.8545454545454545,0.6880704097437201,0.8819736263736264
drugs,GPT-Law,gpt4,0.794841735052755,0.7789412449098313,0.8517355371900827,0.6938884233036402,0.8892197802197801
drugs,GPT-Law,gpt5mini,0.7781569965870307,0.7582037996545768,0.8454545454545455,0.6777548784782601,0.8806934065934067
drugs,GPT-Law,gpt52,0.7837837837837838,0.7302052785923754,0.8669421487603306,0.7076294232956066,0.8948813186813187
drugs,GPT-Law,gpt51_thinking,0.8033373063170441,0.7871082199881727,0.8730578512396694,0.7173144702750744,0.8990923076923076
drugs,GPT-Law,claude_sonnet_4_6,0.7993119266055045,0.7748267898383372,0.8876033057851239,0.7403292538806318,0.9110780219780221
drugs,GPT-Law,gemini_25_pro,0.7812320092112838,0.7419724770642202,0.836694214876033,0.6722223914282109,0.872510989010989
drugs,GPT-Law,gemini_3_flash,0.7743055555555556,0.718562874251497,0.8639669421487604,0.702020371069411,0.8914648351648351
drugs,GPT-Law,gemma3_27b,0.749835418038183,0.7313237221494102,0.877190082644628,0.7345962562625441,0.9033
drugs,GPT-Law,gemma4_31b_or,0.8086662915025323,0.8086662915025323,0.8748760330578512,0.7184320059613457,0.8970769230769231
drugs,GPT-Law,llama3_70b,0.6872875594833447,0.5866141732283465,0.8500826446280991,0.6787010430549669,0.8749384615384614
drugs,GPT-Law,qwen3_vl_235b_or,0.7473560517038778,0.7377622377622377,0.8748760330578512,0.7244974385176894,0.8991450549450549
drugs,GPT-Law,qwen3_235b_or,0.7746650426309378,0.7171479080730702,0.8631404958677686,0.7115417658739784,0.8965
drugs,GPT-Law,mistral_large_or,0.6746575342465753,0.6242774566473989,0.8272727272727273,0.6518839132901721,0.8652384615384616
drugs,GPT-Law,deepseek_r1_or,0.7040409789413773,0.6480938416422287,0.8327272727272728,0.6503988179670911,0.8636758241758242
drugs,Raw-Facts,gpt4,0.7819850831899025,0.7398843930635839,0.8780165289256199,0.7236555883796332,0.9012241758241758
drugs,Raw-Facts,gpt5mini,0.8118753674309229,0.7645673925838729,0.879504132231405,0.7401178641761548,0.914376923076923
drugs,Raw-Facts,gpt52,0.8079306071871127,0.7498511018463371,0.8895867768595042,0.7450752889027352,0.9141461538461539
drugs,Raw-Facts,gpt51_thinking,0.8292108362779741,0.8292108362779741,0.8867768595041322,0.7414407770384984,0.9122054945054945
drugs,Raw-Facts,claude_sonnet_4_6,0.8107448107448108,0.7565320665083135,0.8985123966942149,0.7551296694881556,0.9176483516483517
drugs,Raw-Facts,gemini_25_pro,0.7929844738355376,0.7856315179606026,0.8570247933884297,0.7009173310283996,0.8891626373626373
drugs,Raw-Facts,gemini_3_flash,0.81786133960047,0.8017492711370262,0.8737190082644628,0.7224946537780931,0.9017021978021977
drugs,Raw-Facts,gemma3_27b,0.7736093143596379,0.7400909681611436,0.8839669421487604,0.7438425284016923,0.9084197802197802
drugs,Raw-Facts,gemma4_31b_or,0.8070175438596492,0.7753456221198157,0.8826446280991735,0.7331061513632273,0.9059098901098901
drugs,Raw-Facts,llama3_70b,0.7286602600339174,0.6911421911421911,0.8474380165289256,0.6870231373366028,0.8816219780219781
