domain,task,rep,model,n,pos,AP,AUC,best_F1,precision,recall,accuracy,best_thr
drugs,strict,H-Full,gemma4_31b_or,100,35,0.9439,0.9745,0.9275,0.9412,0.9143,0.95,75.0
drugs,strict,H-Full,gpt4,100,35,0.9264,0.9604,0.8406,0.8529,0.8286,0.89,65.0
drugs,strict,H-Full,gpt51_thinking,100,35,0.9493,0.9758,0.8955,0.9375,0.8571,0.93,72.0
drugs,strict,H-Full,gpt52,100,35,0.9631,0.9787,0.9118,0.9394,0.8857,0.94,62.0
drugs,strict,H-Full,gpt5mini,100,35,0.9373,0.9637,0.85,0.7556,0.9714,0.88,60.0
drugs,strict,H-Full,llama3_70b,100,35,0.8672,0.9288,0.8493,0.8158,0.8857,0.89,60.0
drugs,strict,H-Full,qwen3_vl_235b_or,100,35,0.9044,0.9587,0.8642,0.7609,1.0,0.89,40.0
drugs,strict,GPT-Schema,claude_sonnet_4_6,100,35,0.9595,0.9842,0.9275,0.9412,0.9143,0.95,58.0
drugs,strict,GPT-Schema,gemini_25_pro,100,35,0.9221,0.9679,0.9091,0.8333,1.0,0.93,45.0
drugs,strict,GPT-Schema,gemini_3_flash,100,35,0.9459,0.9745,0.8986,0.9118,0.8857,0.93,82.0
drugs,strict,GPT-Schema,gemma3_27b,100,35,0.9057,0.9637,0.8235,0.7,1.0,0.85,65.0
drugs,strict,GPT-Schema,gemma4_31b_or,100,37,0.9344,0.9743,0.8947,0.8718,0.9189,0.92,55.0
drugs,strict,GPT-Schema,gpt4,100,35,0.9276,0.96,0.8406,0.8529,0.8286,0.89,65.0
drugs,strict,GPT-Schema,gpt51_thinking,100,35,0.9598,0.9791,0.9014,0.8889,0.9143,0.93,70.0
drugs,strict,GPT-Schema,gpt52,100,35,0.9443,0.9769,0.8831,0.8095,0.9714,0.91,56.0
drugs,strict,GPT-Schema,gpt5mini,100,35,0.9422,0.9664,0.88,0.825,0.9429,0.91,61.0
drugs,strict,GPT-Schema,llama3_70b,100,35,0.8812,0.9541,0.8333,0.7143,1.0,0.86,58.0
drugs,strict,GPT-Schema,qwen3_vl_235b_or,100,37,0.907,0.9462,0.8182,0.7059,0.973,0.84,45.0
drugs,strict,Raw-Facts,claude_sonnet_4_6,100,35,0.9114,0.9433,0.8611,0.8378,0.8857,0.9,52.0
drugs,strict,Raw-Facts,gemini_25_pro,100,35,0.8892,0.9347,0.8857,0.8857,0.8857,0.92,40.0
drugs,strict,Raw-Facts,gemini_3_flash,100,35,0.8937,0.9356,0.8889,0.8649,0.9143,0.92,72.0
drugs,strict,Raw-Facts,gemma3_27b,100,35,0.8822,0.9404,0.8293,0.7234,0.9714,0.86,55.0
drugs,strict,Raw-Facts,gemma4_31b_or,100,35,0.8885,0.9402,0.8732,0.8611,0.8857,0.91,65.0
drugs,strict,Raw-Facts,gpt4,100,35,0.886,0.9316,0.8767,0.8421,0.9143,0.91,65.0
drugs,strict,Raw-Facts,gpt51_thinking,100,35,0.9216,0.949,0.8986,0.9118,0.8857,0.93,68.0
drugs,strict,Raw-Facts,gpt52,100,35,0.9256,0.9477,0.8732,0.8611,0.8857,0.91,62.0
drugs,strict,Raw-Facts,gpt5mini,100,35,0.9584,0.9662,0.9091,0.9677,0.8571,0.94,67.0
drugs,strict,Raw-Facts,llama3_70b,100,35,0.8709,0.936,0.8533,0.8,0.9143,0.89,56.0
drugs,strict,Raw-Facts,qwen3_vl_235b_or,100,35,0.9051,0.9444,0.8611,0.8378,0.8857,0.9,65.0
drugs,strict,GPT-Free,claude_sonnet_4_6,100,35,0.8952,0.9409,0.8732,0.8611,0.8857,0.91,47.0
drugs,strict,GPT-Free,gemini_25_pro,100,35,0.8632,0.9288,0.8696,0.8824,0.8571,0.91,35.0
drugs,strict,GPT-Free,gemini_3_flash,100,35,0.8899,0.9385,0.8889,0.8649,0.9143,0.92,65.0
drugs,strict,GPT-Free,gemma3_27b,100,35,0.9033,0.9429,0.8788,0.9355,0.8286,0.92,65.0
drugs,strict,GPT-Free,gemma4_31b_or,100,35,0.8685,0.9393,0.9041,0.8684,0.9429,0.93,45.0
drugs,strict,GPT-Free,gpt4,100,35,0.9211,0.9455,0.8831,0.8095,0.9714,0.91,45.0
drugs,strict,GPT-Free,gpt51_thinking,100,35,0.9301,0.9486,0.8986,0.9118,0.8857,0.93,68.0
drugs,strict,GPT-Free,gpt52,100,35,0.9236,0.9444,0.8767,0.8421,0.9143,0.91,55.0
drugs,strict,GPT-Free,gpt5mini,100,35,0.9413,0.9556,0.8947,0.8293,0.9714,0.92,58.0
drugs,strict,GPT-Free,llama3_70b,100,35,0.8967,0.9431,0.8421,0.7805,0.9143,0.88,55.0
drugs,strict,GPT-Free,qwen3_vl_235b_or,100,35,0.9132,0.9446,0.8533,0.8,0.9143,0.89,45.0
drugs,strict,Law,claude_sonnet_4_6,100,35,0.9282,0.944,0.8889,0.8649,0.9143,0.92,47.0
drugs,strict,Law,gemini_25_pro,100,35,0.8676,0.918,0.8649,0.8205,0.9143,0.9,45.0
drugs,strict,Law,gemini_3_flash,100,35,0.8666,0.9303,0.8649,0.8205,0.9143,0.9,72.0
drugs,strict,Law,gemma3_27b,100,35,0.8739,0.94,0.8148,0.7174,0.9429,0.85,65.0
drugs,strict,Law,gemma4_31b_or,100,35,0.8537,0.9262,0.8919,0.8462,0.9429,0.92,65.0
drugs,strict,Law,gpt4,100,35,0.9152,0.9404,0.8919,0.8462,0.9429,0.92,65.0
