verdict,variant,err_low,err_high
תפ_66547-03-23,baseline (median),9.0,16.0
תפ_17404-07-18,baseline (median),15.0,24.0
תפ_18193-01-11,baseline (median),3.0,12.0
תפ_13939-07-18,baseline (median),4.0,6.0
תפ_7800-05-21,baseline (median),1.0,12.0
תפ_25603-08-15,baseline (median),3.0,12.0
תפ_53090-10-19,baseline (median),11.0,20.0
תפ_62134-03-19,baseline (median),6.0,12.0
תפ_40920-10-20,baseline (median),1.0,6.0
תפ_21126-09-11,baseline (median),1.0,6.0
תפ_42790-07-18,baseline (median),4.0,6.0
תפ_26126-03-22,baseline (median),9.0,12.0
תפ_70876-12-20,baseline (median),9.0,9.0
תפ_54137-11-19,baseline (median),21.0,36.0
תפ_8306-11-23,baseline (median),3.0,10.0
תפ_39019-05-15,baseline (median),6.0,6.0
תפ_7486-05-18,baseline (median),6.0,12.0
תפ_53948-11-14,baseline (median),9.0,12.0
תפ_10234-03-16,baseline (median),39.0,72.0
תפ_61235-05-13,baseline (median),1.0,2.0
תפ_73906-12-20,baseline (median),21.0,30.0
תפ_56173-02-18,baseline (median),1.0,2.0
תפ_40168-09-16,baseline (median),3.0,48.0
תפ_26943-07-17,baseline (median),3.0,6.0
תפ_33916-02-22,baseline (median),11.0,22.0
תפ_17042-04-16,baseline (median),1.0,6.0
תפ_31579-08-23,baseline (median),2.0,7.0
תפ_20197-01-22,baseline (median),13.0,22.0
תפ_38706-09-21,baseline (median),1.0,4.0
תפ_19639-05-19,baseline (median),4.0,9.0
תפ_58562-06-21,baseline (median),1.0,6.0
תפ_60147-10-15,baseline (median),1.0,0.0
תפ_37987-11-23,baseline (median),27.0,42.0
תפ_43983-05-19,baseline (median),9.0,18.0
תפ_2200-02-18,baseline (median),3.0,0.0
תפ_32586-12-23,baseline (median),0.0,6.0
תפ_44027-05-15,baseline (median),9.0,0.0
תפ_33446-10-18,baseline (median),9.0,12.0
תפ_27734-10-15,baseline (median),3.0,0.0
תפק_21392-04-21,baseline (median),6.0,12.0
תפ_58298-06-15,baseline (median),2.0,9.0
תפ_11112-06-13,baseline (median),9.0,12.0
תפ_70374-11-20,baseline (median),9.0,10.0
תפ_42006-10-16,baseline (median),8.0,12.0
תפ_864-02-17,baseline (median),1.0,4.0
תפ_54208-06-22,baseline (median),21.0,31.0
תפ_16449-02-20,baseline (median),1.0,0.0
תפ_22433-05-18,baseline (median),36.0,51.0
תפ_50607-03-19,baseline (median),6.0,6.0
תפ_46786-01-23,baseline (median),16.0,26.0
תפ_32302-02-23,baseline (median),7.0,12.0
תפ_45048-06-14,baseline (median),1.0,10.0
תפ_19691-03-18,baseline (median),3.0,9.0
תפ_48357-05-20,baseline (median),3.0,6.0
תפ_28656-02-22,baseline (median),9.0,19.0
תפ_46896-11-15,baseline (median),9.0,12.0
תפ_60575-07-19,baseline (median),8.0,18.0
תפ_73367-01-19,baseline (median),3.0,6.0
תפ_38149-09-17,baseline (median),6.0,6.0
תפ_33986-11-22,baseline (median),3.0,12.0
תפ_55717-02-24,baseline (median),9.0,12.0
תפ_3404-05-13,baseline (median),15.0,24.0
תפ_6434-08-19,baseline (median),9.0,18.0
תפ_8474-11-18,baseline (median),1.0,0.0
תפ_54179-09-14,baseline (median),9.0,6.0
תפ_49008-09-14,baseline (median),1.0,6.0
תפ_22609-10-16,baseline (median),75.0,96.0
תפ_19746-08-16,baseline (median),6.0,12.0
תפ_16379-07-21,baseline (median),8.0,12.0
תפ_22165-08-13,baseline (median),3.0,12.0
תפ_62070-05-20,baseline (median),5.0,12.0
תפ_37255-05-14,baseline (median),7.0,12.0
תפ_7926-08-19,baseline (median),1.0,6.0
תפ_579-04-13,baseline (median),15.0,48.0
תפ_30039-04-20,baseline (median),11.0,22.0
