verdict,variant,err_low,err_high
תפ_43643-10-15,baseline (median),10.0,16.0
תפ_52515-03-20,baseline (median),11.0,20.0
תפ_5795-07-14,baseline (median),8.0,6.0
תפ_48598-11-20,baseline (median),6.0,14.0
תפ_21064-04-23,baseline (median),6.0,10.0
תפ_49685-01-24,baseline (median),6.0,10.0
תפ_47917-01-16,baseline (median),6.0,20.0
תפ_3877-10-22,baseline (median),12.0,22.0
תפ_26347-11-23,baseline (median),9.0,14.0
תפ_25922-06-24,baseline (median),12.0,8.0
תפ_46550-12-16,baseline (median),6.0,8.0
תפ_26985-11-21,baseline (median),30.0,32.0
תפ_45994-08-21,baseline (median),22.0,20.0
תפ_20722-03-14,baseline (median),12.0,31.0
תפ_41599-03-22,baseline (median),10.0,22.0
תפ_14976-07-22,baseline (median),3.0,15.0
תפ_40240-09-12,baseline (median),30.0,44.0
תפ_31498-01-16,baseline (median),6.0,4.0
תפ_44381-05-20,baseline (median),5.0,1.0
תפ_61452-12-22,baseline (median),6.0,4.0
תפ_15135-09-21,baseline (median),10.0,22.0
תפ_13822-09-13,baseline (median),47.0,45.0
תפ_27785-07-23,baseline (median),16.0,30.0
תפ_1802-01-21,baseline (median),6.0,8.0
תפ_24154-01-12,baseline (median),18.0,32.0
תפ_23648-12-19,baseline (median),6.0,16.0
תפ_24044-06-22,baseline (median),6.0,6.0
תפ_56677-02-23,baseline (median),10.0,2.0
תפ_20477-02-20,baseline (median),8.0,10.0
תפ_37083-11-14,baseline (median),11.0,10.0
תפ_50986-12-16,baseline (median),3.0,2.0
תפ_29566-01-22,baseline (median),10.0,22.0
תפ_57474-03-19,baseline (median),22.0,32.0
תפ_32264-10-17,baseline (median),2.0,4.0
תפ_53954-11-22,baseline (median),12.0,14.0
תפ_61087-12-18,baseline (median),9.0,16.0
תפ_4338-04-13,baseline (median),6.0,4.0
תפ_37722-09-23,baseline (median),12.0,20.0
תפ_7813-06-22,baseline (median),3.0,16.0
תפ_38687-04-20,baseline (median),2.0,0.0
תפ_38368-09-21,baseline (median),8.0,12.0
תפ_30684-06-21,baseline (median),42.0,68.0
תפ_20770-11-22,baseline (median),2.0,10.0
תפ_24215-06-13,baseline (median),6.0,8.0
תפ_5037-10-16,baseline (median),2.0,0.0
תפ_36381-05-15,baseline (median),6.0,8.0
תפ_18039-10-21,baseline (median),22.0,20.0
תפ_29984-08-16,baseline (median),102.0,140.0
תפ_28615-08-17,baseline (median),2.0,0.0
תפ_12154-12-14,baseline (median),8.0,16.0
תפ_14885-06-24,baseline (median),10.0,22.0
תפ_50998-03-23,baseline (median),24.0,26.0
תפ_51145-02-15,baseline (median),18.0,32.0
תפ_47452-04-24,baseline (median),10.0,20.0
תפ_1756-04-15,baseline (median),42.0,80.0
תפ_12376-10-18,baseline (median),12.0,20.0
תפ_39808-05-23,baseline (median),18.0,14.0
תפ_27581-02-13,baseline (median),6.0,32.0
תפח_26637-09-13,baseline (median),54.0,80.0
תפ_21801-06-15,baseline (median),18.0,44.0
תפ_27619-07-22,baseline (median),48.0,68.0
תפ_25546-11-23,baseline (median),0.0,0.0
תפח_51122-01-13,baseline (median),18.0,32.0
תפ_54202-01-23,baseline (median),2.0,10.0
תפ_11104-07-19,baseline (median),9.0,10.0
תפ_40076-02-19,baseline (median),10.0,22.0
תפ_67387-08-23,baseline (median),6.0,8.0
תפ_49331-02-16,baseline (median),12.0,16.0
תפח_20524-05-12,baseline (median),6.0,4.0
תפ_24548-06-13,baseline (median),0.0,4.0
תפ_3884-10-23,baseline (median),6.0,8.0
תפ_23253-12-15,baseline (median),10.0,14.0
תפ_21139-04-17,baseline (median),0.0,4.0
תפק_62837-11-19,baseline (median),15.0,25.0
תפ_35019-12-13,baseline (median),14.0,32.0
תפ_39183-11-13,baseline (median),18.0,32.0
תפ_45226-12-22,baseline (median),0.0,0.0
תפ_17030-02-22,baseline (median),2.0,2.0
תפ_48522-09-23,baseline (median),0.0,4.0
תפ_24420-01-20,baseline (median),12.0,26.0
תפ_17277-05-20,baseline (median),2.0,4.0
תפ_4795-12-17,baseline (median),42.0,104.0
תפ_67580-11-19,baseline (median),9.0,22.0
תפ_68529-11-21,baseline (median),18.0,32.0
תפע_10438-03-22,baseline (median),90.0,116.0
תפ_54455-01-21,baseline (median),6.0,4.0
תפ_51170-10-23,baseline (median),12.0,14.0
תפ_10942-08-11,baseline (median),14.0,32.0
תפ_14991-07-15,baseline (median),2.0,44.0
תפ_30575-03-20,baseline (median),6.0,4.0
תפ_50819-09-11,baseline (median),16.0,28.0
תפ_63505-01-17,baseline (median),12.0,26.0
תפ_57539-11-15,baseline (median),0.0,4.0
תפ_58812-10-17,baseline (median),3.0,4.0
תפ_22526-02-21,baseline (median),18.0,32.0
עפג_9036-02-23,baseline (median),18.0,32.0
תפ_47048-02-20,baseline (median),6.0,16.0
תפ_1158-05-20,baseline (median),10.0,8.0
תפ_13-05-32,baseline (median),6.0,4.0
תפ_7520-02-24,baseline (median),4.0,12.0
תפ_33342-01-14,baseline (median),15.0,22.0
תפ_14411-11-21,baseline (median),0.0,4.0
תפ_47941-06-15,baseline (median),15.0,28.0
תפ_15905-09-18,baseline (median),10.0,4.0
תפ_50846-09-11,baseline (median),15.0,32.0
תפ_66741-06-22,baseline (median),10.0,16.0
תפ_40922-11-15,baseline (median),4.0,4.0
תפ_4411-07-19,baseline (median),42.0,56.0
תפ_55035-10-18,baseline (median),0.0,8.0
תפ_37047-07-20,baseline (median),18.0,50.0
תפח_1103-06,baseline (median),18.0,20.0
תפ_30340-08-20,baseline (median),12.0,20.0
תפ_99-01-18,baseline (median),15.0,28.0
תפ_24163-04-15,baseline (median),12.0,20.0
תפ_60379-07-18,baseline (median),8.0,10.0
תפ_61759-02-19,baseline (median),24.0,26.0
תפ_63018-05-18,baseline (median),0.0,4.0
תפ_37342-09-15,baseline (median),16.0,28.0
תפ_59533-10-15,baseline (median),11.0,16.0
עפ_5681-23,baseline (median),6.0,10.0
תפ_3622-10-13,baseline (median),10.0,16.0
תפ_40234-09-12,baseline (median),6.0,8.0
תפ_3549-03-13,baseline (median),14.0,31.0
תפ_12035-06-20,baseline (median),6.0,4.0
תפ_1316-04-19,baseline (median),27.0,30.0
תפ_74569-05-24,baseline (median),32.0,30.0
תפ_32907-12-20,baseline (median),4.0,10.0
תפ_18957-11-20,baseline (median),6.0,10.0
עפג_4007-01-16,baseline (median),0.0,4.0
תפ_14115-07-19,baseline (median),0.0,4.0
תפח_53498-02-20,baseline (median),102.0,116.0
תפ_52009-02-15,baseline (median),2.0,8.0
תפ_36328-09-15,baseline (median),6.0,8.0
תפ_48905-12-20,baseline (median),14.0,30.0
תפ_74740-06-20,baseline (median),32.0,35.0
תפ_17856-11-21,baseline (median),7.0,10.0
תפ_398-09-16,baseline (median),6.0,8.0
תפ_6494-07-14,baseline (median),9.0,22.0
תפ_16157-04-17,baseline (median),18.0,22.0
תפ_13864-11-15,baseline (median),18.0,32.0
תפ_15943-12-16,baseline (median),6.0,4.0
תפח_1307-09-13,baseline (median),54.0,104.0
תפ_59260-03-16,baseline (median),6.0,10.0
תפ_24614-07-23,baseline (median),0.0,4.0
תפ_50068-09-23,baseline (median),0.0,2.0
תפ_24975-06-12,baseline (median),6.0,20.0
תפ_36369-08-17,baseline (median),12.0,18.0
תפח_39974-12-12,baseline (median),102.0,116.0
תפ_45761-05-17,baseline (median),0.0,8.0
תפ_34514-06-14,baseline (median),12.0,14.0
תפ_44352-03-12,baseline (median),6.0,8.0
תפ_49530-03-15,baseline (median),8.0,20.0
תפח_18482-11-11,baseline (median),54.0,92.0
תפ_9162-06-13,baseline (median),6.0,10.0
תפ_19384-05-16,baseline (median),22.0,20.0
תפ_10086-06-18,baseline (median),2.0,4.0
תפ_7942-05-18,baseline (median),8.0,10.0
תפ_12791-05-20,baseline (median),4.0,8.0
תפ_7860-01-13,baseline (median),102.0,128.0
תפ_51474-08-18,baseline (median),8.0,4.0
תפ_46930-03-22,baseline (median),24.0,20.0
תפ_18907-07-12,baseline (median),18.0,32.0
תפח_35646-03-11,baseline (median),102.0,176.0
תפח_12968-10-12,baseline (median),54.0,80.0
תפ_8641-08-12,baseline (median),3.0,8.0
תפ_33772-09-24,baseline (median),0.0,4.0
תפח_21279-09-15,baseline (median),0.0,8.0
תפ_56031-10-19,baseline (median),42.0,56.0
