n,QWK_scale,C_index,Spearman,AP_strict,AP_lenient,F1_strict_oracle,F1_lenient_oracle,F1_strict_t50,F1_lenient_t50,model,rep,domain
100,0.72117202268431,0.9099542736545903,0.7420324333938327,0.8942629607302445,0.8591284032942162,0.8732394366192184,0.8118811881183118,0.8354430379746836,0.7872340425531915,gemma4_31b_or,gpt_law,drugs
141,0.6017223561832588,0.8936170212765957,0.6953526563807171,0.7297419459272756,0.8495249955542945,0.7321428571423731,0.8091603053430114,0.7238095238095238,0.7741935483870968,gemma4_31b_or,gpt_law,weapon
100,0.7218600608431117,0.9327731092436975,0.7793421320484711,0.9039635019485397,0.8686985948582401,0.8947368421047662,0.8363636363631405,0.8947368421052632,0.7692307692307693,gemma4_31b_or,hybrid_full_gpt,drugs
141,0.622875016999864,0.921803127874885,0.7507661186198237,0.7942869818069699,0.8815560680629178,0.7659574468080109,0.842105263157395,0.7659574468085106,0.7610619469026548,gemma4_31b_or,hybrid_full_gpt,weapon
100,0.718013468013468,0.9309267615411315,0.7851693373166045,0.9234557245518952,0.8904630757063338,0.8799999999995022,0.8453608247417685,0.88,0.8,gemma4_31b_or,hybrid_manual_gpt,drugs
141,0.5275922443421308,0.9104864065100795,0.7265630425712148,0.7515693497958944,0.8445435463893141,0.792452830188188,0.8322147651001792,0.6511627906976745,0.6476190476190476,gemma4_31b_or,hybrid_manual_gpt,weapon
100,0.8158022297624818,0.9441553936871314,0.8092108903006648,0.962376283846872,0.9179785247432306,0.9066666666661689,0.8444444444439506,0.9066666666666666,0.8444444444444444,gemma4_31b_or,manual_fe,drugs
141,0.6850431778929189,0.9357516693737592,0.78470675269095,0.8287317599761762,0.9021624704594515,0.7818181818176951,0.869565217390806,0.7708333333333334,0.782608695652174,gemma4_31b_or,manual_fe,weapon
100,0.7228260869565217,0.908675799086758,0.7348640258397491,0.8824446936283671,0.8562132866833676,0.8529411764700887,0.8080808080803081,0.8095238095238095,0.8080808080808081,gpt4,facts,drugs
141,0.6769074089790377,0.8949517446176689,0.705116897423907,0.7909805391529784,0.866284058562564,0.749999999999501,0.7887323943657008,0.7068965517241379,0.7851851851851852,gpt4,facts,weapon
100,0.7401063201417601,0.9243206054351565,0.7720376450532078,0.9125750887912311,0.9042943935575003,0.8405797101444277,0.8543689320383352,0.7272727272727273,0.8543689320388349,gpt4,fe_gpt_schema,drugs
141,0.48743914313534564,0.8222846441947566,0.5710674007569718,0.6792409513098586,0.806339339435661,0.6315789473679215,0.7499999999995047,0.5769230769230769,0.6829268292682927,gpt4,fe_gpt_schema,weapon
100,0.7027506654835847,0.9234218696102104,0.7691217763483423,0.9168241570636234,0.8776340163581222,0.8955223880592024,0.8163265306117452,0.8395061728395061,0.7916666666666666,gpt4,gpt_free,drugs
141,0.5720018521376755,0.8790706183680936,0.6840542669211763,0.7391812931207824,0.8576754148037806,0.7415730337073657,0.8062015503870968,0.7346938775510204,0.7521367521367521,gpt4,gpt_free,weapon
100,0.6971396522714526,0.8828767123287671,0.7186284070383568,0.9426334907278646,0.877789099840958,0.8955223880592024,0.772727272726782,0.7391304347826086,0.7289719626168224,gpt4,gpt_law,drugs
141,0.6122823098075161,0.8727542137432858,0.6693199478258545,0.7095254363509494,0.8377945023089115,0.7422680412366147,0.7786259541979732,0.7115384615384616,0.7642276422764228,gpt4,gpt_law,weapon
100,0.750390015600624,0.9229720518064076,0.7848106872069154,0.9391773795657931,0.9021220949943682,0.8799999999995022,0.833333333332836,0.8095238095238095,0.8080808080808081,gpt4,hybrid_full_gpt,drugs
141,0.6801560656927683,0.9307129798903108,0.7639514185845637,0.8635340243681136,0.9032884454269829,0.8192771084332406,0.82352941176421,0.7339449541284404,0.8125,gpt4,hybrid_full_gpt,weapon
100,0.7647058823529411,0.9364362625911775,0.7953577040270007,0.9562391525525166,0.908872720898095,0.9066666666661689,0.8387096774188576,0.7816091954022989,0.8235294117647058,gpt4,hybrid_manual_gpt,drugs
141,0.6730650700008806,0.9184832386884044,0.7449252243098792,0.8094683092283078,0.8869072607478405,0.7321428571423731,0.8244274809155306,0.7321428571428571,0.8244274809160306,gpt4,hybrid_manual_gpt,weapon
100,0.7944031981724728,0.9426313981449673,0.811912934984734,0.9611995531350369,0.9232861553013856,0.9090909090904108,0.8631578947363434,0.7472527472527473,0.8113207547169812,gpt4,manual_fe,drugs
141,0.7139802631578948,0.9209151504233472,0.7600565439913118,0.8404064681800675,0.9047948342126804,0.8043478260864565,0.8319999999995007,0.7058823529411765,0.8115942028985508,gpt4,manual_fe,weapon
100,0.7190366972477065,0.9121411276374957,0.7516716429935497,0.8903724586142995,0.8739212376639578,0.857142857142357,0.8421052631573961,0.7157894736842105,0.8,gpt51_thinking,facts,drugs
141,0.6814594745149012,0.8952569169960475,0.7314591241497371,0.7375083998836661,0.8945270019511449,0.7663551401864255,0.8571428571423596,0.6666666666666666,0.8051948051948052,gpt51_thinking,facts,weapon
