metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
Ordinal_AUC,drugs,GPT-Free,GPT-Schema,11,0.9077,0.9299,-0.0222,-1.965,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Free,GPT-Law,11,0.9077,0.8921,0.0156,1.579,11,0.000488,0.002928,0.002928,True
Ordinal_AUC,drugs,GPT-Free,Raw-Facts,11,0.9077,0.9044,0.0033,0.666,8,0.033691,0.101073,0.202146,False
Ordinal_AUC,drugs,GPT-Law,Manual,11,0.8921,0.9395,-0.0474,-5.387,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Law,Hybrid-Manual,11,0.8921,0.9281,-0.036,-2.873,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Law,Hybrid-Full,11,0.8921,0.9234,-0.0313,-4.141,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Law,GPT-Schema,11,0.8921,0.9299,-0.0378,-4.535,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Law,GPT-Free,11,0.8921,0.9077,-0.0156,-1.579,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Law,Raw-Facts,11,0.8921,0.9044,-0.0123,-1.43,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,Raw-Facts,Manual,11,0.9044,0.9395,-0.0351,-3.898,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,Raw-Facts,Hybrid-Manual,11,0.9044,0.9281,-0.0237,-3.179,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,Raw-Facts,Hybrid-Full,11,0.9044,0.9234,-0.019,-1.889,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,Raw-Facts,GPT-Schema,11,0.9044,0.9299,-0.0255,-2.509,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,Raw-Facts,GPT-Free,11,0.9044,0.9077,-0.0033,-0.666,3,0.973145,1.0,1.0,False
Ordinal_AUC,drugs,Raw-Facts,GPT-Law,11,0.9044,0.8921,0.0123,1.43,11,0.000488,0.002928,0.002928,True
Ordinal_AUC,weapon,Manual,Hybrid-Manual,11,0.92,0.9065,0.0136,1.229,10,0.001465,0.001465,0.00879,True
Ordinal_AUC,weapon,Manual,Hybrid-Full,11,0.92,0.9054,0.0146,1.216,10,0.001465,0.001465,0.00879,True
Ordinal_AUC,weapon,Manual,GPT-Schema,11,0.92,0.9008,0.0192,1.655,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,weapon,Manual,GPT-Free,11,0.92,0.873,0.047,2.624,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,weapon,Manual,GPT-Law,11,0.92,0.8759,0.0441,2.383,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,weapon,Manual,Raw-Facts,11,0.92,0.8756,0.0444,1.547,10,0.001465,0.001465,0.00879,True
Ordinal_AUC,weapon,Hybrid-Manual,Manual,11,0.9065,0.92,-0.0136,-1.229,1,0.999023,0.999023,1.0,False
Ordinal_AUC,weapon,Hybrid-Manual,Hybrid-Full,11,0.9065,0.9054,0.001,0.089,7,0.259766,0.311719,1.0,False
Ordinal_AUC,weapon,Hybrid-Manual,GPT-Schema,11,0.9065,0.9008,0.0056,0.349,7,0.160156,0.240234,0.960936,False
Ordinal_AUC,weapon,Hybrid-Manual,GPT-Free,11,0.9065,0.873,0.0335,1.69,10,0.000977,0.004395,0.005862,True
Ordinal_AUC,weapon,Hybrid-Manual,GPT-Law,11,0.9065,0.8759,0.0306,1.557,10,0.001465,0.004395,0.00879,True
Ordinal_AUC,weapon,Hybrid-Manual,Raw-Facts,11,0.9065,0.8756,0.0309,1.008,9,0.004883,0.009766,0.029298,True
Ordinal_AUC,weapon,Hybrid-Full,Manual,11,0.9054,0.92,-0.0146,-1.216,1,0.999023,0.999023,1.0,False
Ordinal_AUC,weapon,Hybrid-Full,Hybrid-Manual,11,0.9054,0.9065,-0.001,-0.089,4,0.767578,0.921094,1.0,False
Ordinal_AUC,weapon,Hybrid-Full,GPT-Schema,11,0.9054,0.9008,0.0046,0.25,7,0.259766,0.389649,1.0,False
Ordinal_AUC,weapon,Hybrid-Full,GPT-Free,11,0.9054,0.873,0.0324,2.159,11,0.000488,0.001464,0.002928,True
Ordinal_AUC,weapon,Hybrid-Full,GPT-Law,11,0.9054,0.8759,0.0295,1.393,11,0.000488,0.001464,0.002928,True
