row,gt_b0,gt_b1,scale,v1,v2,mfe_w0,mfe_w1,hyb_w0,hyb_w1,hfg_w0,hfg_w1,total,gap_b0_mfe_vs_hyb,gap_b1_mfe_vs_hyb,gap_b0_mfe_vs_hfg,gap_b1_mfe_vs_hfg,max_gap,min_gap
130,0,1,2,ME-20-01-17935-7,SH-23-03-19819-247,2,5,2,5,0,2,11,0,0,2,3,3,0
131,1,1,3,SH-17-08-47445-166,SH-16-11-7544-55,1,0,6,3,0,0,11,-5,-3,1,0,1,-5
132,0,0,1,ME-16-11-13999-863,m01008097-376,1,1,0,2,0,0,11,1,-1,1,1,1,-1
133,1,1,3,ME-16-06-50916-362,ME-15-03-29911-554,1,0,1,1,0,0,11,0,-1,1,0,1,-1
134,0,0,1,SH-16-11-49772-358,ME-17-02-54432-484,1,2,1,2,1,1,11,0,0,0,1,1,0
135,0,0,1,ME-14-02-51828-88,ME-14-03-48488-922,0,0,0,0,0,0,11,0,0,0,0,0,0
136,0,0,1,ME-14-12-6904-57,ME-18-04-19642-504,0,0,0,0,0,0,11,0,0,0,0,0,0
137,1,1,3,ME-18-10-30972-637,ME-14-11-7498-539,5,2,3,0,2,1,11,2,2,3,1,3,1
138,1,1,3,ME-17-02-54432-484,ME-16-07-45228-25,0,0,0,0,0,0,11,0,0,0,0,0,0
139,0,0,1,ME-09-06-10774-130,SH-20-02-52091-995,3,9,4,9,0,1,11,-1,0,3,8,8,-1
140,0,1,2,SH-15-03-49530-992,ME-16-05-9983-155,11,0,11,0,2,0,11,0,0,9,0,9,0
