domain,rep,model,task,f1,ap_pr
weapon,fe_gpt_schema_v2,claude_sonnet_4_6,b0,0.7551,0.7497
weapon,fe_gpt_schema_v2,claude_sonnet_4_6,b1,0.7899,0.797
weapon,facts,qwen_hf,b0,0.6733,0.6364
weapon,facts,qwen_hf,b1,0.7692,0.835
weapon,gpt_free,gemini_25_pro,b0,0.6667,0.667
weapon,gpt_free,gemini_25_pro,b1,0.755,0.7805
weapon,gpt_free,gemma3_27b,b0,0.6306,0.5343
weapon,gpt_free,gemma3_27b,b1,0.7424,0.6928
weapon,hybrid_full_gpt,gpt52,b0,0.7742,0.8094
weapon,hybrid_full_gpt,gpt52,b1,0.8406,0.8644
weapon,gpt_free,llama3_70b,b0,0.5684,0.555
weapon,gpt_free,llama3_70b,b1,0.7066,0.6977
weapon,hybrid_manual_gpt,gemini_3_flash,b0,0.7073,0.694
weapon,hybrid_manual_gpt,gemini_3_flash,b1,0.8219,0.8503
weapon,hybrid_full_gpt,gemini_25_pro,b0,0.7059,0.6748
weapon,hybrid_full_gpt,gemini_25_pro,b1,0.8073,0.8402
weapon,hybrid_full_gpt,gemini_3_flash,b0,0.717,0.7377
weapon,hybrid_full_gpt,gemini_3_flash,b1,0.8261,0.8771
weapon,gpt_law,qwen3_235b,b0,0.6526,0.6473
weapon,gpt_law,qwen3_235b,b1,0.7226,0.745
weapon,gpt_law,gpt51_thinking,b0,0.7097,0.7227
weapon,gpt_law,gpt51_thinking,b1,0.7833,0.8304
weapon,manual_fe,gpt51_thinking,b0,0.7727,0.8153
weapon,manual_fe,gpt51_thinking,b1,0.8689,0.8938
weapon,manual_fe,gpt4,b0,0.7473,0.7749
weapon,manual_fe,gpt4,b1,0.8219,0.8924
weapon,gpt_law,qwen_hf,b0,0.6207,0.5623
weapon,gpt_law,qwen_hf,b1,0.7445,0.7057
weapon,hybrid_manual_gpt,qwen3_235b,b0,0.7073,0.7334
weapon,hybrid_manual_gpt,qwen3_235b,b1,0.7606,0.7919
weapon,gpt_law,gpt52,b0,0.6757,0.7238
weapon,gpt_law,gpt52,b1,0.8281,0.8323
weapon,manual_fe,qwen3_235b,b0,0.6582,0.6743
weapon,manual_fe,qwen3_235b,b1,0.7891,0.8212
weapon,facts,qwen3_235b,b0,0.7209,0.6657
weapon,facts,qwen3_235b,b1,0.782,0.842
weapon,gpt_free,gpt5mini,b0,0.6829,0.6799
weapon,gpt_free,gpt5mini,b1,0.7391,0.7761
weapon,hybrid_full_gpt,gemma3_27b,b0,0.5932,0.5199
weapon,hybrid_full_gpt,gemma3_27b,b1,0.7482,0.6731
weapon,gpt_free,gpt51_thinking,b0,0.7033,0.7225
weapon,gpt_free,gpt51_thinking,b1,0.7778,0.8203
weapon,hybrid_full_gpt,claude_sonnet_4_6,b0,0.809,0.8283
weapon,hybrid_full_gpt,claude_sonnet_4_6,b1,0.8182,0.8872
weapon,fe_gpt_schema_v2,gemini_3_flash,b0,0.75,0.7692
weapon,fe_gpt_schema_v2,gemini_3_flash,b1,0.8058,0.8574
weapon,gpt_law,gemini_25_pro,b0,0.6019,0.5934
weapon,gpt_law,gemini_25_pro,b1,0.7218,0.7758
weapon,hybrid_manual_gpt,gpt5mini,b0,0.7126,0.716
weapon,hybrid_manual_gpt,gpt5mini,b1,0.8143,0.8128
weapon,facts,claude_sonnet_4_6,b0,0.7532,0.774
weapon,facts,claude_sonnet_4_6,b1,0.7826,0.8626
weapon,facts,gemini_3_flash,b0,0.7158,0.6381
weapon,facts,gemini_3_flash,b1,0.7852,0.8195
weapon,fe_gpt_schema_v2,gpt5mini,b0,0.7045,0.7054
weapon,fe_gpt_schema_v2,gpt5mini,b1,0.7786,0.7562
weapon,manual_fe,gemini_25_pro,b0,0.7347,0.7869
weapon,manual_fe,gemini_25_pro,b1,0.7971,0.8453
weapon,facts,gpt5mini,b0,0.6667,0.6745
weapon,facts,gpt5mini,b1,0.75,0.7821
weapon,hybrid_full_gpt,llama3_70b,b0,0.5827,0.5491
