domain,representation,model,f1_b0_old,f1_b0_new,f1_b1_old,f1_b1_new
drugs,hybrid_full_gpt,claude_sonnet_4_6,0.9066666666666666,0.9066666666666666,0.8247422680412371,0.8936170212765957
drugs,fe_gpt_schema_v2,gemini_3_flash,0.8860759493670886,0.8860759493670886,0.8431372549019608,0.9111111111111111
drugs,with_gpt_law_features,gemini_25_pro,0.821917808219178,0.821917808219178,0.7578947368421053,0.8260869565217391
drugs,hybrid,gpt5mini,0.8656716417910447,0.8656716417910447,0.86,0.9278350515463918
drugs,with_indicment_facts,claude_sonnet_4_6,0.875,0.875,0.8514851485148515,0.9230769230769231
drugs,with_indicment_facts,gemini_3_flash,0.8311688311688312,0.8311688311688312,0.8085106382978723,0.8791208791208791
drugs,fe_gpt_schema_v2,gpt5mini,0.8918918918918919,0.8918918918918919,0.8260869565217391,0.898876404494382
drugs,fe,gemini_25_pro,0.8767123287671232,0.8767123287671232,0.8043478260869565,0.8539325842696629
drugs,with_indicment_facts,gpt5mini,0.8421052631578947,0.8421052631578947,0.7555555555555555,0.8275862068965517
drugs,hybrid_full_gpt,llama3_70b,0.7894736842105263,0.7894736842105263,0.7872340425531915,0.8333333333333334
drugs,with_indicment_facts,gpt52,0.8205128205128205,0.8205128205128205,0.8210526315789474,0.8913043478260869
drugs,with_gpt_features,qwen_hf,0.8450704225352113,0.8450704225352113,0.7628865979381443,0.8297872340425532
drugs,fe_gpt_schema_v2,gpt4,0.8533333333333334,0.8533333333333334,0.8282828282828283,0.8764044943820225
drugs,fe_gpt_schema_v2,qwen3_235b,0.8333333333333334,0.8333333333333334,0.8148148148148148,0.8631578947368421
drugs,fe,llama3_70b,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.8421052631578947
drugs,with_indicment_facts,llama3_70b,0.819672131147541,0.819672131147541,0.7317073170731707,0.7956989247311828
drugs,fe_gpt_schema_v2,gpt52,0.8888888888888888,0.8888888888888888,0.8421052631578947,0.9130434782608695
drugs,fe_gpt_schema_v2,gemma3_27b,0.84375,0.84375,0.819047619047619,0.8235294117647058
drugs,with_gpt_law_features,gpt4,0.8695652173913043,0.8695652173913043,0.7692307692307693,0.8275862068965517
drugs,hybrid_full_gpt,gpt5mini,0.8732394366197183,0.8732394366197183,0.82,0.8865979381443299
drugs,with_gpt_features,gpt4,0.8450704225352113,0.8450704225352113,0.7916666666666666,0.8602150537634409
drugs,with_gpt_features,claude_sonnet_4_6,0.8974358974358975,0.8974358974358975,0.8210526315789474,0.8913043478260869
drugs,with_gpt_law_features,claude_sonnet_4_6,0.8888888888888888,0.8888888888888888,0.8349514563106796,0.9
drugs,hybrid,gemini_25_pro,0.8831168831168831,0.8831168831168831,0.8333333333333334,0.8952380952380953
drugs,hybrid,gpt4,0.8656716417910447,0.8656716417910447,0.8210526315789474,0.8913043478260869
drugs,hybrid,qwen_hf,0.8947368421052632,0.8947368421052632,0.8282828282828283,0.8958333333333334
drugs,fe_gpt_schema_v2,llama3_70b,0.8059701492537313,0.8059701492537313,0.8333333333333334,0.8380952380952381
drugs,hybrid_full_gpt,gpt51_thinking,,,,
drugs,hybrid_full_gpt,qwen3_235b,0.8192771084337349,0.8192771084337349,0.780952380952381,0.8431372549019608
drugs,hybrid,gpt51_thinking,0.8717948717948718,0.8717948717948718,0.8484848484848485,0.9166666666666666
drugs,with_indicment_facts,gemma3_27b,0.7901234567901234,0.7901234567901234,0.7789473684210526,0.8478260869565217
drugs,fe,gemma3_27b,0.8045977011494253,0.8045977011494253,0.8235294117647058,0.8484848484848485
drugs,fe,gemini_3_flash,0.8985507246376812,0.8985507246376812,0.8478260869565217,0.898876404494382
drugs,with_gpt_law_features,gemini_3_flash,0.8571428571428571,0.8571428571428571,0.7920792079207921,0.8571428571428571
drugs,with_gpt_law_features,gpt5mini,0.8732394366197183,0.8732394366197183,0.7708333333333334,0.8387096774193549
drugs,hybrid,gemma3_27b,0.8095238095238095,0.8095238095238095,0.8363636363636363,0.865979381443299
drugs,fe_gpt_schema_v2,gpt51_thinking,0.8780487804878049,0.8780487804878049,0.8571428571428571,0.9019607843137255
drugs,with_gpt_features,gemini_3_flash,0.821917808219178,0.821917808219178,0.8,0.865979381443299
drugs,with_gpt_law_features,gemma3_27b,0.7868852459016393,0.7868852459016393,0.76,0.8247422680412371
drugs,fe_gpt_schema_v2,qwen_hf,0.8378378378378378,0.8378378378378378,0.82,0.8865979381443299
drugs,hybrid_full_gpt,gpt4,0.9066666666666666,0.9066666666666666,0.8282828282828283,0.8958333333333334
drugs,hybrid_full_gpt,qwen_hf,,,,
drugs,with_indicment_facts,gpt4,0.8421052631578947,0.8421052631578947,0.7692307692307693,0.8409090909090909
drugs,hybrid,claude_sonnet_4_6,0.9,0.9,0.851063829787234,0.9230769230769231
drugs,hybrid,gpt52,0.8767123287671232,0.8767123287671232,0.845360824742268,0.9148936170212766
drugs,with_gpt_features,qwen3_235b,0.8125,0.8125,0.72,0.7835051546391752
drugs,fe,qwen_hf,0.8732394366197183,0.8732394366197183,0.7863247863247863,0.84
drugs,with_gpt_law_features,llama3_70b,0.8253968253968254,0.8253968253968254,0.7522935779816514,0.7924528301886793
drugs,with_indicment_facts,gpt51_thinking,0.8571428571428571,0.8571428571428571,0.7872340425531915,0.8571428571428571
drugs,fe_gpt_schema_v2,gemini_25_pro,0.8947368421052632,0.8947368421052632,0.8222222222222222,0.896551724137931
drugs,hybrid,llama3_70b,0.8266666666666667,0.8266666666666667,0.8043478260869565,0.8351648351648352
weapon,fe,gpt5mini,0.7012987012987013,0.7567567567567568,0.7741935483870968,0.8
weapon,with_indicment_facts,gemini_25_pro,0.65,0.7012987012987013,0.7692307692307693,0.7938931297709924
weapon,with_gpt_features,gpt52,0.7222222222222222,0.7536231884057971,0.8029197080291971,0.8260869565217391
weapon,fe,claude_sonnet_4_6,0.7358490566037735,0.7659574468085106,0.8503937007874016,0.859375
weapon,fe,gpt52,0.7341772151898734,0.7894736842105263,0.8461538461538461,0.8702290076335878
weapon,fe_gpt_schema_v2,claude_sonnet_4_6,0.7551020408163265,0.8048780487804879,0.7899159663865546,0.8166666666666667
weapon,with_indicment_facts,qwen_hf,0.6732673267326733,0.6938775510204082,0.7692307692307693,0.7916666666666666
weapon,with_gpt_features,gemini_25_pro,0.6666666666666666,0.6938775510204082,0.7549668874172185,0.7741935483870968
weapon,with_gpt_features,gemma3_27b,0.6306306306306306,0.6481481481481481,0.7424242424242424,0.7669172932330827
weapon,hybrid_full_gpt,gpt52,0.8085106382978723,0.8695652173913043,0.875,0.90625
weapon,with_gpt_features,llama3_70b,0.5684210526315789,0.6086956521739131,0.7065868263473054,0.7142857142857143
weapon,hybrid,gemini_3_flash,0.7073170731707317,0.7341772151898734,0.821917808219178,0.8435374149659864
