metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
Spearman,drugs,GPT-Schema,Raw-Facts,11,0.7755,0.7293,0.0462,2.262,11,0.000488,0.001464,0.002928,True
Spearman,drugs,GPT-Free,Manual,11,0.7361,0.7936,-0.0575,-3.834,0,1.0,1.0,1.0,False
Spearman,drugs,GPT-Free,Hybrid-Manual,11,0.7361,0.7731,-0.037,-1.911,0,1.0,1.0,1.0,False
Spearman,drugs,GPT-Free,Hybrid-Full,11,0.7361,0.7633,-0.0272,-1.426,2,0.998535,1.0,1.0,False
Spearman,drugs,GPT-Free,GPT-Schema,11,0.7361,0.7755,-0.0394,-1.792,1,0.999512,1.0,1.0,False
Spearman,drugs,GPT-Free,GPT-Law,11,0.7361,0.7061,0.03,1.51,11,0.000488,0.002928,0.002928,True
Spearman,drugs,GPT-Free,Raw-Facts,11,0.7361,0.7293,0.0068,0.628,7,0.050781,0.152343,0.304686,False
Spearman,drugs,GPT-Law,Manual,11,0.7061,0.7936,-0.0875,-4.948,0,1.0,1.0,1.0,False
Spearman,drugs,GPT-Law,Hybrid-Manual,11,0.7061,0.7731,-0.067,-2.497,0,1.0,1.0,1.0,False
Spearman,drugs,GPT-Law,Hybrid-Full,11,0.7061,0.7633,-0.0572,-3.684,0,1.0,1.0,1.0,False
Spearman,drugs,GPT-Law,GPT-Schema,11,0.7061,0.7755,-0.0694,-4.526,0,1.0,1.0,1.0,False
Spearman,drugs,GPT-Law,GPT-Free,11,0.7061,0.7361,-0.03,-1.51,0,1.0,1.0,1.0,False
Spearman,drugs,GPT-Law,Raw-Facts,11,0.7061,0.7293,-0.0232,-1.411,0,1.0,1.0,1.0,False
Spearman,drugs,Raw-Facts,Manual,11,0.7293,0.7936,-0.0643,-3.653,0,1.0,1.0,1.0,False
Spearman,drugs,Raw-Facts,Hybrid-Manual,11,0.7293,0.7731,-0.0438,-2.772,0,1.0,1.0,1.0,False
Spearman,drugs,Raw-Facts,Hybrid-Full,11,0.7293,0.7633,-0.034,-1.79,0,1.0,1.0,1.0,False
Spearman,drugs,Raw-Facts,GPT-Schema,11,0.7293,0.7755,-0.0462,-2.262,0,1.0,1.0,1.0,False
Spearman,drugs,Raw-Facts,GPT-Free,11,0.7293,0.7361,-0.0068,-0.628,4,0.958496,1.0,1.0,False
Spearman,drugs,Raw-Facts,GPT-Law,11,0.7293,0.7061,0.0232,1.411,11,0.000488,0.002928,0.002928,True
Spearman,weapon,Manual,Hybrid-Manual,11,0.76,0.7364,0.0236,1.258,10,0.001465,0.002198,0.00879,True
Spearman,weapon,Manual,Hybrid-Full,11,0.76,0.7363,0.0236,1.219,9,0.002441,0.002441,0.014646,True
Spearman,weapon,Manual,GPT-Schema,11,0.76,0.7261,0.0338,1.544,11,0.000488,0.000976,0.002928,True
Spearman,weapon,Manual,GPT-Free,11,0.76,0.678,0.082,2.562,11,0.000488,0.000976,0.002928,True
Spearman,weapon,Manual,GPT-Law,11,0.76,0.683,0.077,2.354,11,0.000488,0.000976,0.002928,True
Spearman,weapon,Manual,Raw-Facts,11,0.76,0.6817,0.0783,1.485,9,0.002441,0.002441,0.014646,True
Spearman,weapon,Hybrid-Manual,Manual,11,0.7364,0.76,-0.0236,-1.258,1,0.999023,0.999023,1.0,False
Spearman,weapon,Hybrid-Manual,Hybrid-Full,11,0.7364,0.7363,0.0001,0.003,7,0.318848,0.382618,1.0,False
Spearman,weapon,Hybrid-Manual,GPT-Schema,11,0.7364,0.7261,0.0103,0.347,7,0.13916,0.20874,0.83496,False
Spearman,weapon,Hybrid-Manual,GPT-Free,11,0.7364,0.678,0.0584,1.731,10,0.000977,0.004395,0.005862,True
Spearman,weapon,Hybrid-Manual,GPT-Law,11,0.7364,0.683,0.0534,1.598,10,0.001465,0.004395,0.00879,True
Spearman,weapon,Hybrid-Manual,Raw-Facts,11,0.7364,0.6817,0.0547,0.991,9,0.005371,0.010742,0.032226,True
Spearman,weapon,Hybrid-Full,Manual,11,0.7363,0.76,-0.0236,-1.219,2,0.998535,0.998535,1.0,False
Spearman,weapon,Hybrid-Full,Hybrid-Manual,11,0.7363,0.7364,-0.0001,-0.003,4,0.711426,0.853711,1.0,False
Spearman,weapon,Hybrid-Full,GPT-Schema,11,0.7363,0.7261,0.0102,0.314,8,0.160156,0.240234,0.960936,False
Spearman,weapon,Hybrid-Full,GPT-Free,11,0.7363,0.678,0.0583,2.245,11,0.000488,0.001464,0.002928,True
Spearman,weapon,Hybrid-Full,GPT-Law,11,0.7363,0.683,0.0533,1.482,11,0.000488,0.001464,0.002928,True
Spearman,weapon,Hybrid-Full,Raw-Facts,11,0.7363,0.6817,0.0546,1.407,9,0.002441,0.004882,0.014646,True
Spearman,weapon,GPT-Schema,Manual,11,0.7261,0.76,-0.0338,-1.544,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Schema,Hybrid-Manual,11,0.7261,0.7364,-0.0103,-0.347,4,0.879883,1.0,1.0,False
Spearman,weapon,GPT-Schema,Hybrid-Full,11,0.7261,0.7363,-0.0102,-0.314,3,0.86084,1.0,1.0,False
Spearman,weapon,GPT-Schema,GPT-Free,11,0.7261,0.678,0.0481,1.535,10,0.001465,0.004395,0.00879,True
Spearman,weapon,GPT-Schema,GPT-Law,11,0.7261,0.683,0.0431,1.678,10,0.001465,0.004395,0.00879,True
Spearman,weapon,GPT-Schema,Raw-Facts,11,0.7261,0.6817,0.0445,0.717,9,0.033691,0.067382,0.202146,False
Spearman,weapon,GPT-Free,Manual,11,0.678,0.76,-0.082,-2.562,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Free,Hybrid-Manual,11,0.678,0.7364,-0.0584,-1.731,1,0.999512,1.0,1.0,False
Spearman,weapon,GPT-Free,Hybrid-Full,11,0.678,0.7363,-0.0583,-2.245,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Free,GPT-Schema,11,0.678,0.7261,-0.0481,-1.535,1,0.999023,1.0,1.0,False
Spearman,weapon,GPT-Free,GPT-Law,11,0.678,0.683,-0.005,-0.207,2,0.896973,1.0,1.0,False
Spearman,weapon,GPT-Free,Raw-Facts,11,0.678,0.6817,-0.0037,-0.086,6,0.48291,1.0,1.0,False
Spearman,weapon,GPT-Law,Manual,11,0.683,0.76,-0.077,-2.354,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Law,Hybrid-Manual,11,0.683,0.7364,-0.0534,-1.598,1,0.999023,1.0,1.0,False
Spearman,weapon,GPT-Law,Hybrid-Full,11,0.683,0.7363,-0.0533,-1.482,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Law,GPT-Schema,11,0.683,0.7261,-0.0431,-1.678,1,0.999023,1.0,1.0,False
