setup,domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman
EXPANDED N=13,drugs,GPT-Schema,qwen3_vl_235b_or,0.782608695652174,0.7473152242577384,0.8973553719008265,0.7651062433182445
EXPANDED N=13,drugs,GPT-Schema,qwen3_235b_or,0.7980931015143017,0.7539015606242496,0.8940495867768595,0.7702103910728598
EXPANDED N=13,drugs,GPT-Schema,mistral_large_or,0.7317236753856472,0.6641318124207858,0.8996694214876033,0.7678675433564842
EXPANDED N=13,drugs,GPT-Free,gpt4,0.8,0.7626112759643917,0.8737190082644628,0.7225561446800115
EXPANDED N=13,drugs,GPT-Free,gpt5mini,0.8140615920976176,0.743436754176611,0.8933884297520661,0.75454084663842
EXPANDED N=13,drugs,GPT-Free,gpt52,0.7852760736196319,0.7141119221411192,0.8892561983471075,0.7424725190454534
EXPANDED N=13,drugs,GPT-Free,gpt51_thinking,0.8025909932140654,0.7503045066991474,0.900495867768595,0.7575846159832293
EXPANDED N=13,drugs,GPT-Free,claude_sonnet_4_6,0.7865853658536586,0.7209026128266034,0.895702479338843,0.7454466565980823
EXPANDED N=13,drugs,GPT-Free,gemini_25_pro,0.8023952095808383,0.7948098974049487,0.8568595041322314,0.7065434835017383
EXPANDED N=13,drugs,GPT-Free,gemini_3_flash,0.7943595769682726,0.7826086956521738,0.877190082644628,0.7239453402891749
EXPANDED N=13,drugs,GPT-Free,gemma3_27b,0.7630019749835418,0.7292191435768263,0.8874380165289256,0.7496217837934661
EXPANDED N=13,drugs,GPT-Free,gemma4_31b_or,0.8134110787172012,0.7673031026252983,0.8973553719008265,0.7543908347108295
EXPANDED N=13,drugs,GPT-Free,llama3_70b,0.7413793103448276,0.7137150466045273,0.8609917355371901,0.7109792751669574
EXPANDED N=13,drugs,GPT-Free,qwen3_vl_235b_or,0.7515151515151515,0.7008547008547008,0.8750413223140496,0.7289393319394589
EXPANDED N=13,drugs,GPT-Free,qwen3_235b_or,0.7863501483679525,0.7695035460992907,0.8725619834710744,0.7237227080678625
EXPANDED N=13,drugs,GPT-Free,mistral_large_or,0.7530864197530864,0.7391819798458803,0.8942148760330578,0.7539760149785931
EXPANDED N=13,drugs,GPT-Law,gpt4,0.794841735052755,0.7789412449098313,0.8517355371900827,0.6938884233036402
EXPANDED N=13,drugs,GPT-Law,gpt5mini,0.7781569965870307,0.7582037996545768,0.8454545454545455,0.6777548784782601
EXPANDED N=13,drugs,GPT-Law,gpt52,0.7837837837837838,0.7302052785923754,0.8669421487603306,0.7076294232956066
EXPANDED N=13,drugs,GPT-Law,gpt51_thinking,0.8033373063170441,0.7871082199881727,0.8730578512396694,0.7173144702750744
EXPANDED N=13,drugs,GPT-Law,claude_sonnet_4_6,0.7993119266055045,0.7748267898383372,0.8876033057851239,0.7403292538806318
EXPANDED N=13,drugs,GPT-Law,gemini_25_pro,0.7812320092112838,0.7419724770642202,0.836694214876033,0.6722223914282109
EXPANDED N=13,drugs,GPT-Law,gemini_3_flash,0.7743055555555556,0.718562874251497,0.8639669421487604,0.702020371069411
EXPANDED N=13,drugs,GPT-Law,gemma3_27b,0.749835418038183,0.7313237221494102,0.877190082644628,0.7345962562625441
EXPANDED N=13,drugs,GPT-Law,gemma4_31b_or,0.8086662915025323,0.8086662915025323,0.8748760330578512,0.7184320059613457
EXPANDED N=13,drugs,GPT-Law,llama3_70b,0.6872875594833447,0.5866141732283465,0.8500826446280991,0.6787010430549669
EXPANDED N=13,drugs,GPT-Law,qwen3_vl_235b_or,0.7473560517038778,0.7377622377622377,0.8748760330578512,0.7244974385176894
EXPANDED N=13,drugs,GPT-Law,qwen3_235b_or,0.7746650426309378,0.7171479080730702,0.8631404958677686,0.7115417658739784
EXPANDED N=13,drugs,GPT-Law,mistral_large_or,0.6746575342465753,0.6242774566473989,0.8272727272727273,0.6518839132901721
EXPANDED N=13,drugs,Raw-Facts,gpt4,0.7819850831899025,0.7398843930635839,0.8780165289256199,0.7236555883796332
EXPANDED N=13,drugs,Raw-Facts,gpt5mini,0.8118753674309229,0.7645673925838729,0.879504132231405,0.7401178641761548
EXPANDED N=13,drugs,Raw-Facts,gpt52,0.8079306071871127,0.7498511018463371,0.8895867768595042,0.7450752889027352
EXPANDED N=13,drugs,Raw-Facts,gpt51_thinking,0.8292108362779741,0.8292108362779741,0.8867768595041322,0.7414407770384984
