canonical_id,domain,csv_path
תפ_25147-05-20,drugs,csv/תפ_25147-05-20.csv
תפ_25134-10-22,drugs,csv/תפ_25134-10-22.csv
עפ_1473-18,weapon,csv/עפ_1473-18.csv
עפ_8988-16,drugs,csv/עפ_8988-16.csv
תפ_75842-07-24,drugs,csv/תפ_75842-07-24.csv
עפ_513-21,weapon,csv/עפ_513-21.csv
עפג_20755-07-17,weapon,csv/עפג_20755-07-17.csv
תפ_60368-03-15,drugs,csv/תפ_60368-03-15.csv
עפ_2432-15,weapon,csv/עפ_2432-15.csv
עפ_8048-19,weapon,csv/עפ_8048-19.csv
עפ_6161-16,drugs,csv/עפ_6161-16.csv
עפ_1987-15,drugs,csv/עפ_1987-15.csv
עפ_4235-14,weapon,csv/עפ_4235-14.csv
עפ_5353-17,drugs,csv/עפ_5353-17.csv
תפ_28634-12-17,drugs,csv/תפ_28634-12-17.csv
עפ_617-15,weapon,csv/עפ_617-15.csv
עפ_6886-17,drugs,csv/עפ_6886-17.csv
תפ_37838-12-13,drugs,csv/תפ_37838-12-13.csv
עפ_5354-12,weapon,csv/עפ_5354-12.csv
עפ_2422-14,weapon,csv/עפ_2422-14.csv
עפ_2482-22,weapon,csv/עפ_2482-22.csv
עפג_33195-09-21,weapon,csv/עפג_33195-09-21.csv
עפ_1505-14,weapon,csv/עפ_1505-14.csv
תפ_13905-12-23,drugs,csv/תפ_13905-12-23.csv
עפ_2283-22,weapon,csv/עפ_2283-22.csv
עפ_5613-20,weapon,csv/עפ_5613-20.csv
תפ_25903-05-16,drugs,csv/תפ_25903-05-16.csv
עפ_3877-16,weapon,csv/עפ_3877-16.csv
תפ_12167-01-21,drugs,csv/תפ_12167-01-21.csv
תפ_62490-07-18,drugs,csv/תפ_62490-07-18.csv
תפ_31735-07-21,drugs,csv/תפ_31735-07-21.csv
תפ_10229-09-20,drugs,csv/תפ_10229-09-20.csv
עפ_5494-19,drugs,csv/עפ_5494-19.csv
תפ_48046-03-21,drugs,csv/תפ_48046-03-21.csv
תפ_31614-04-15,drugs,csv/תפ_31614-04-15.csv
