verdict_1,verdict_2,domain,similarity_score
תפ_41694-03-20,תפ_61158-05-20,weapon,93.35746
תפ_44620-01-22,תפ_53496-03-18,weapon,92.06197
תפ_29947-07-23,תפ_7617-07-23,weapon,93.04588
תפ_46896-11-15,תפ_49875-05-23,drugs,92.76504
תפ_35202-10-15,תפ_49244-01-22,drugs,94.05631
תפ_35512-06-17,תפ_522-05-17,weapon,85.98877
תפ_26549-09-21,תפ_32775-09-23,weapon,92.46519
תפ_7626-04-20,תפח_39094-05-12,weapon,85.811516
תפ_10896-06-20,תפ_26478-04-22,weapon,94.0479
תפ_18013-01-15,תפח_30145-08-13,weapon,92.99455
תפ_10316-06-13,תפ_49932-08-21,drugs,92.82331
תפ_38687-04-20,תפ_983-05-15,weapon,92.07363
תפ_24239-05-17,תפ_50970-11-21,drugs,92.91503
תפ_52569-05-16,תפ_7696-05-20,drugs,83.89993
תפ_13153-08-15,תפ_41276-06-17,weapon,94.03614
תפ_46108-06-20,תפ_57914-10-13,weapon,92.295
תפ_27929-03-19,תפ_41775-01-11,weapon,91.14694
תפ_35074-05-17,תפ_40063-03-18,drugs,94.833595
תפ_12743-08-22,תפ_27277-01-15,weapon,90.45294
תפ_13785-04-15,תפ_1580-11-23,weapon,94.153305
תפ_30003-03-22,תפ_6968-01-24,weapon,92.58134
תפ_19384-05-16,תפ_39998-08-15,weapon,93.874985
תפ_18557-10-21,תפ_39808-05-23,weapon,93.78341
תפ_10180-01-24,תפ_61452-12-22,weapon,94.967575
תפ_59260-03-16,תפח_56363-07-20,weapon,90.60619
תפ_14553-12-23,תפ_16540-08-21,drugs,94.27112
תפ_35364-01-18,תפ_52390-06-19,weapon,93.02917
תפ_54607-07-19,תפ_59967-01-13,weapon,93.20967
תפ_21459-01-16,תפ_39998-08-15,weapon,93.08652
תפ_23872-02-19,תפ_44620-01-22,weapon,93.47824
תפ_45965-07-16,תפ_50986-12-16,weapon,91.98416
תפ_18013-01-15,תפ_9111-02-15,weapon,93.06838
תפ_16161-04-21,תפ_58505-11-19,weapon,82.3556
תפ_42991-05-16,תפ_55664-02-14,weapon,94.4657
תפ_16779-09-22,תפ_31935-12-21,weapon,93.47688
תפ_50986-12-16,תפ_51088-03-21,weapon,91.49566
תפ_16779-09-22,תפ_42987-06-16,weapon,95.00238
תפ_17860-01-19,תפ_21813-09-16,weapon,95.02218
תפ_35397-07-21,תפ_4102-11-20,weapon,93.53378
תפ_57001-11-21,תפ_63355-02-23,weapon,93.81157
תפ_38883-05-22,תפ_52322-10-23,weapon,93.256874
תפ_46315-12-23,תפ_5649-09-21,drugs,93.265686
תפ_15387-01-21,תפ_61106-05-20,weapon,95.18138
תפ_5275-07-21,תפ_61106-05-20,weapon,92.510376
תפ_28991-04-22,תפ_52964-03-22,weapon,93.51337
תפ_40063-03-18,תפ_60842-12-14,drugs,86.75928
תפ_46315-12-23,תפ_49293-04-21,drugs,88.34917
תפ_18203-04-19,תפ_7027-07-19,drugs,94.72567
תפ_19908-10-21,תפ_54337-05-21,weapon,93.47824
תפ_1178-06-21,תפ_46916-07-22,weapon,94.76037
תפ_49875-05-23,תפ_49932-08-21,drugs,93.716415
תפ_2144-04-21,תפ_54202-01-23,weapon,92.51599
תפ_15710-09-21,תפ_31935-12-21,weapon,91.289
תפ_1057-05-15,תפ_66982-09-16,drugs,95.27945
תפ_54732-03-18,תפ_7166-09-15,weapon,95.174416
תפ_30015-07-16,תפ_7626-04-20,weapon,87.437096
תפ_45597-11-14,תפ_46930-03-22,weapon,94.104385
תפ_1118-10-18,תפ_2058-09-17,weapon,91.31596
תפ_19821-02-17,תפ_7074-11-23,weapon,91.075745
תפ_12834-03-18,תפ_16097-08-21,drugs,96.42101
תפ_16097-08-21,תפ_2211-11-19,drugs,96.99372
תפ_30015-07-16,תפ_59804-01-17,weapon,92.46762
תפ_46638-05-22,תפ_67356-12-21,weapon,91.26472
תפ_23075-10-23,תפ_66893-12-21,weapon,92.97531
תפ_1580-11-23,תפ_35397-07-21,weapon,95.148384
תפ_12615-11-21,תפ_13471-01-22,weapon,95.94085
תפ_33009-05-16,תפ_41754-05-22,weapon,93.97841
תפ_13373-10-23,תפ_20538-11-17,drugs,92.95119
תפ_14615-05-21,תפ_34668-04-22,drugs,96.28083
תפ_1631-01-22,תפ_50986-12-16,weapon,90.672485
תפ_26565-12-20,תפח_17033-01-22,weapon,91.01473
תפ_18689-01-17,תפ_51828-02-14,weapon,91.65803
תפ_18957-11-20,תפ_23537-02-14,weapon,93.68869
תפ_11843-03-20,תפ_17860-01-19,weapon,94.83387
תפ_32227-11-20,תפח_24510-09-15,weapon,91.42475
תפ_17023-12-18,תפ_49401-08-15,drugs,97.50959
תפ_24215-06-13,תפ_48057-03-21,weapon,93.58291
תפ_30350-12-20,תפ_57283-05-21,weapon,92.10185
תפ_18957-11-20,תפח_34398-05-11,weapon,87.06187
תפ_28100-07-20,תפ_395-05-17,weapon,93.635666
תפ_13270-02-20,תפ_26549-09-21,weapon,92.84751
תפ_31218-10-14,תפ_44862-06-20,weapon,93.92256
תפ_10182-01-24,תפ_35431-03-21,weapon,94.358154
תפ_14553-12-23,תפ_33666-05-15,drugs,86.82161
תפ_42697-05-18,תפ_6153-02-21,weapon,94.4988
תפ_69980-11-20,תפ_7626-04-20,weapon,89.104614
תפ_23253-12-15,תפ_6153-02-21,weapon,93.960625
תפ_15744-02-20,תפ_8254-02-20,weapon,94.26629
תפ_25639-03-21,תפח_24510-09-15,weapon,91.020775
תפ_1294-04-22,תפ_39808-05-23,weapon,93.48168
תפ_61820-08-21,תפח_17865-11-21,weapon,89.14082
תפ_23749-12-19,תפ_74740-06-20,weapon,93.270905
תפ_18397-02-16,תפ_53496-03-18,weapon,91.55007
תפ_1641-04-19,תפ_4248-06-16,weapon,96.24257
תפ_40892-01-24,תפ_6659-02-21,drugs,92.93418
תפ_38883-05-22,תפ_51663-11-23,weapon,93.077156
תפ_38687-04-20,תפ_50986-12-16,weapon,91.685165
תפ_11739-03-21,תפ_26792-04-16,drugs,92.70558
תפ_23513-03-14,תפח_17865-11-21,weapon,90.90199
תפ_17766-12-20,תפ_41967-08-17,weapon,93.14385
תפ_31419-11-20,תפ_4488-05-22,drugs,93.63692
תפ_1136-11-21,תפ_45456-12-21,weapon,85.58287
תפ_18846-06-20,תפ_47757-02-18,drugs,90.068214
תפ_20733-12-22,תפ_4459-03-24,weapon,92.408165
תפ_1219-06-23,תפ_26552-06-23,weapon,94.92669
תפ_1641-04-19,תפ_59804-01-17,weapon,93.876495
תפ_20451-09-20,תפ_52322-10-23,weapon,93.918144
תפ_13281-07-13,תפ_40932-03-18,weapon,89.96381
תפ_3531-12-13,תפ_4102-11-20,weapon,91.99321
תפ_3910-02-23,תפ_41832-08-24,weapon,95.16038
תפ_61452-02-16,תפ_63155-05-23,weapon,94.247444
תפ_35473-12-21,תפ_64581-08-23,weapon,94.94468
תפ_40118-06-21,תפ_7774-03-23,weapon,92.79009
תפ_13281-07-13,תפ_19821-02-17,weapon,89.07921
תפ_19384-05-16,תפ_31216-01-22,weapon,92.97047
תפ_17707-04-14,תפ_40898-11-19,weapon,92.104774
תפ_3295-04-18,תפ_44862-06-20,weapon,94.02386
תפ_47987-12-22,תפ_51886-02-24,drugs,96.20552
תפ_30015-07-16,תפ_56762-03-21,weapon,92.17562
תפ_26552-06-23,תפ_43597-08-21,weapon,95.555786
תפ_22588-03-22,תפ_58027-12-21,weapon,93.27566
תפ_12743-08-22,תפ_63355-02-23,weapon,92.16368
תפ_34027-04-18,תפ_60765-03-22,weapon,97.039925
תפ_50986-12-16,תפ_54432-02-17,weapon,92.32042
תפ_4102-11-20,תפ_74742-06-20,weapon,85.4878
תפ_17766-12-20,תפ_26702-01-23,weapon,93.429565
תפ_40999-01-21,תפח_54962-08-15,weapon,88.78295
תפ_13270-02-20,תפ_40536-10-20,weapon,94.51309
תפ_23282-05-17,תפ_32174-07-20,drugs,92.18121
תפ_20770-11-22,תפ_950-09-17,weapon,92.8121
תפ_70062-03-23,תפ_7196-03-21,weapon,96.482216
תפ_1106-03-18,תפ_9785-12-15,weapon,97.363594
תפ_52091-02-20,תפ_7108-02-16,weapon,91.90462
תפ_19821-02-17,תפ_66542-05-20,weapon,91.02605
תפ_28615-08-17,תפ_4102-11-20,weapon,95.915054
תפ_44422-01-17,תפ_45012-03-20,drugs,93.312065
תפ_46930-03-22,תפ_9355-10-19,weapon,94.58211
תפ_41052-11-19,תפ_45971-11-13,weapon,93.01278
תפ_19908-10-21,תפ_41276-06-17,weapon,92.63048
תפ_59970-03-19,תפ_71830-10-21,drugs,95.536766
תפ_3451-02-14,תפ_58511-01-20,weapon,95.35077
תפ_29898-02-14,תפ_54607-07-19,weapon,94.44543
תפ_15423-12-19,תפ_52223-10-23,weapon,91.580345
תפ_32907-12-20,תפ_6904-12-14,weapon,94.39927
תפ_68389-07-20,תפ_7053-03-21,weapon,94.012726
תפ_28107-06-20,תפ_35074-05-17,drugs,94.3277
תפ_1108-05-15,תפ_30617-02-22,weapon,90.0724
תפ_23537-02-14,תפ_43597-08-21,weapon,93.55456
תפ_4460-04-18,תפ_69281-11-20,drugs,96.383644
תפ_31419-11-20,תפ_43394-11-19,drugs,98.15918
תפ_3772-01-16,תפ_66319-05-20,weapon,94.65005
תפ_45965-07-16,תפ_54432-02-17,weapon,91.24263
תפ_24420-01-20,תפ_39808-05-23,weapon,91.32052
תפ_43084-09-20,תפ_59971-01-17,drugs,92.439575
תפ_40922-11-15,תפ_42697-05-18,weapon,91.86759
תפ_13236-03-18,תפ_2599-09-17,drugs,93.019066
תפ_19610-08-21,תפ_46379-02-21,weapon,92.653885
תפ_12325-09-15,תפ_64303-01-22,weapon,92.948784
תפ_50148-01-14,תפ_9179-04-16,weapon,90.9229
תפ_40011-04-14,תפ_70111-03-23,weapon,90.63548
תפ_15392-04-17,תפ_32174-07-20,drugs,92.49764
תפ_29529-07-20,תפ_68529-11-21,weapon,92.40164
תפ_12406-11-15,תפ_45465-11-15,weapon,90.45949
תפ_1847-05-14,תפ_1956-04-21,weapon,90.45041
תפ_16779-09-22,תפ_40983-10-20,weapon,93.47953
תפ_12540-12-18,תפ_20307-05-20,weapon,94.77093
תפ_24896-04-20,תפ_35007-04-13,weapon,93.75098
תפ_18957-11-20,תפ_31218-10-14,weapon,94.50611
תפח_24510-09-15,תפח_34398-05-11,weapon,89.19211
תפ_16209-03-13,תפ_8123-04-14,drugs,96.248955
תפ_31811-03-21,תפ_53539-11-17,weapon,94.05232
תפ_26702-01-23,תפ_8333-11-20,weapon,94.35631
תפ_57267-09-20,תפ_57526-07-21,weapon,94.11032
תפ_13142-02-15,תפ_20733-12-22,weapon,91.55117
תפ_17474-08-14,תפ_17919-01-15,weapon,92.17509
תפ_25546-11-23,תפ_58027-12-21,weapon,92.412254
תפ_16420-10-16,תפ_28332-02-21,weapon,91.79838
תפ_30191-05-15,תפ_66319-05-20,weapon,93.09366
תפ_32339-12-19,תפ_46379-02-21,weapon,94.42899
תפ_1136-11-21,תפ_17137-11-21,weapon,87.614075
תפ_11789-12-16,תפ_3686-01-16,weapon,83.496475
תפ_16760-09-22,תפ_16996-08-12,weapon,91.338005
תפ_18957-11-20,תפ_27929-03-19,weapon,91.2773
תפ_14044-03-20,תפ_7626-04-20,weapon,88.38707
תפ_10650-11-21,תפ_19908-10-21,weapon,92.270515
עפ_6029-03,תפ_47757-02-18,drugs,93.9089
תפ_36982-03-18,תפ_39183-11-13,weapon,91.78099
תפ_16651-01-24,תפ_61820-08-21,weapon,95.0881
תפ_13270-02-20,תפ_23749-12-19,weapon,94.03816
תפ_48983-06-18,תפ_50860-02-20,drugs,93.37248
תפ_41762-12-20,תפ_45713-07-17,weapon,92.05842
תפ_70166-03-23,תפח_39094-05-12,weapon,93.55391
תפ_52165-12-17,תפ_6749-09-22,drugs,90.6836
תפ_33928-09-12,תפ_68389-07-20,weapon,89.89397
תפ_4734-12-22,תפ_66893-12-21,weapon,94.839134
תפ_17941-11-18,תפ_51506-01-22,weapon,91.63378
תפ_24044-06-22,תפ_40082-02-22,weapon,91.89715
תפ_63953-01-24,תפ_69777-03-23,weapon,84.04419
תפ_17766-12-20,תפ_47284-06-18,weapon,95.09014
תפ_61118-07-23,תפ_64119-05-21,weapon,95.18284
תפ_43338-05-16,תפ_55664-02-14,weapon,93.855515
תפ_23749-12-19,תפ_43597-08-21,weapon,94.2482
תפ_13939-07-18,תפ_62134-03-19,drugs,95.5114
תפ_63305-08-22,תפ_7942-05-18,weapon,95.09354
תפ_2599-09-17,תפ_3256-16,drugs,89.65833
תפ_1294-04-22,תפ_15710-09-21,weapon,92.070145
תפ_30003-03-22,תפח_52360-06-20,weapon,90.22566
תפ_34027-04-18,תפ_50330-07-18,weapon,96.704216
תפ_21594-06-16,תפח_17033-01-22,weapon,92.527306
תפ_10875-12-21,תפ_1139-06-23,weapon,93.90795
תפ_15842-11-20,תפ_45095-04-16,weapon,93.482414
תפ_2144-04-21,תפ_32907-12-20,weapon,94.95153
תפ_30617-02-22,תפ_32775-09-23,weapon,93.13454
תפ_12615-11-21,תפ_22417-12-21,weapon,96.577934
תפ_60820-07-14,תפ_6514-03-23,weapon,90.34749
תפ_12743-08-22,תפ_52000-02-15,weapon,86.42922
תפ_10171-06-22,תפ_54132-03-21,weapon,90.824036
תפ_30015-07-16,תפח_52360-06-20,weapon,90.8861
תפ_11739-03-21,תפ_28615-01-22,drugs,87.33146
תפ_32659-05-18,תפ_51306-12-18,weapon,91.8492
תפ_29898-02-14,תפ_51228-09-11,weapon,91.17031
תפ_35473-12-21,תפ_46250-11-21,weapon,94.71511
תפ_30538-02-19,תפ_3256-16,drugs,97.0366
תפ_52322-10-23,תפ_68096-11-21,weapon,93.24782
תפ_23253-12-15,תפח_53698-03-17,weapon,92.559166
תפ_19821-02-17,תפ_51088-03-21,weapon,90.55724
תפ_3002-09-20,תפ_50071-08-16,weapon,92.001884
תפ_28845-04-22,תפ_60581-11-15,weapon,90.40461
תפ_1589-02-16,תפ_66310-07-17,weapon,94.24022
תפ_16020-10-22,תפ_37104-06-22,weapon,93.77688
תפ_35397-07-21,תפ_4795-12-17,weapon,89.808426
תפ_18957-11-20,תפ_33337-07-23,weapon,93.436905
תפ_39568-06-21,תפ_65884-10-13,drugs,88.67271
תפ_29772-11-13,תפ_39500-07-20,weapon,96.11311
תפ_13502-02-12,תפ_25852-11-10,weapon,93.81391
תפ_11843-03-20,תפ_59464-09-23,weapon,95.25325
תפ_27103-01-18,תפ_66306-03-19,drugs,85.94569
תפ_18320-05-19,תפ_32041-03-21,drugs,96.46813
תפ_10316-06-13,תפ_1197-11-21,drugs,92.210724
תפ_23142-09-14,תפ_66982-09-16,drugs,92.24264
תפ_35397-07-21,תפ_63953-01-24,weapon,85.00328
תפ_58027-12-21,תפ_7109-02-21,weapon,90.335205
תפ_50487-06-22,תפ_59967-01-13,weapon,91.56901
תפ_6431-05-13,תפח_17033-01-22,weapon,91.49487
תפ_45480-02-19,תפ_6970-05-22,drugs,97.30486
תפ_10182-01-24,תפ_39808-05-23,weapon,92.77586
תפ_51199-04-23,תפ_52000-02-15,weapon,88.066124
תפ_42991-05-16,תפ_57267-09-20,weapon,94.96167
תפ_10180-01-24,תפ_48978-07-21,weapon,95.159615
תפ_17057-08-20,תפ_17701-07-21,weapon,92.512436
תפ_11789-12-16,תפ_63305-08-22,weapon,82.739
תפ_3384-12-23,תפ_42991-05-16,weapon,95.31713
תפ_36982-03-18,תפ_6832-11-23,weapon,90.92965
תפ_19908-10-21,תפ_43338-05-16,weapon,94.06824
תפ_21991-04-20,תפ_58723-03-16,drugs,94.915375
תפ_22588-03-22,תפ_6852-03-21,weapon,94.12738
תפ_17856-11-21,תפ_51663-11-23,weapon,94.98671
תפ_28787-04-22,תפ_58027-12-21,weapon,93.16339
תפ_21971-07-18,תפ_54460-03-21,weapon,93.28989
תפ_17655-10-22,תפ_44157-08-16,weapon,93.50048
תפ_12376-04-20,תפ_19759-07-21,weapon,92.8199
תפ_12376-04-20,תפ_2144-04-21,weapon,93.36926
תפ_20451-09-20,תפ_51199-04-23,weapon,92.74607
תפ_24551-06-22,תפ_31746-10-22,drugs,94.54754
תפ_1580-11-23,תפ_8333-11-20,weapon,93.85519
תפ_20477-02-20,תפ_9785-12-15,weapon,92.2837
תפ_45561-04-17,תפ_50556-08-17,weapon,91.96821
תפ_30678-02-22,תפ_62794-11-21,drugs,85.45903
תפ_33040-09-24,תפ_44129-09-19,drugs,96.535774
תפ_48071-01-23,תפ_59009-05-21,drugs,95.13833
תפ_27992-01-24,תפ_8203-05-23,drugs,82.812836
תפ_14375-02-23,תפ_34669-01-23,weapon,92.93169
תפ_37386-11-13,תפ_61158-05-20,weapon,90.68224
תפ_20538-11-17,תפ_65884-10-13,drugs,94.6483
תפ_53496-03-18,תפ_61299-12-19,weapon,91.41978
תפ_26552-06-23,תפ_50716-11-19,weapon,95.11737
תפ_13154-01-18,תפ_5013-12,weapon,91.872406
תפ_20770-11-22,תפ_5085-07-17,weapon,96.002106
תפ_51663-11-23,תפ_68096-11-21,weapon,91.85061
תפ_10896-06-20,תפ_38368-09-21,weapon,92.38812
תפ_19821-02-17,תפ_33928-09-12,weapon,88.378
תפ_35512-06-17,תפ_44725-12-14,weapon,86.47996
תפ_52077-12-20,תפ_63155-05-23,weapon,93.31687
תפ_10875-12-21,תפ_41967-08-17,weapon,91.85603
תפ_19908-10-21,תפ_7626-04-20,weapon,88.44659
תפ_38883-05-22,תפח_15217-03-19,weapon,92.19288
תפ_16760-09-22,תפ_28615-08-17,weapon,94.51004
תפ_23749-12-19,תפ_44157-08-16,weapon,95.01774
תפ_16760-09-22,תפ_9111-02-15,weapon,94.426895
תפ_46379-02-21,תפ_50986-12-16,weapon,92.41575
תפ_25639-03-21,תפח_15217-03-19,weapon,92.53002
תפ_41754-05-22,תפ_6985-07-22,weapon,94.049286
תפ_17919-01-15,תפ_27929-03-19,weapon,91.67217
תפ_26792-04-16,תפ_37495-01-20,drugs,95.35647
תפ_41694-03-20,תפ_46737-07-22,weapon,92.65212
תפ_54432-02-17,תפ_6832-11-23,weapon,92.33198
תפ_23872-02-19,תפ_42697-05-18,weapon,92.68371
תפ_25631-03-22,תפ_51663-11-23,weapon,92.89468
תפ_26709-06-14,תפ_64711-01-19,drugs,95.00808
תפ_26552-06-23,תפ_34669-01-23,weapon,93.64997
תפ_32227-11-20,תפ_41754-05-22,weapon,93.3088
תפ_28615-01-22,תפ_34108-01-23,drugs,88.70987
תפ_57912-07-14,תפ_6659-02-21,drugs,91.78243
תפ_40256-11-14,תפ_41967-08-17,weapon,93.57404
תפ_35227-05-17,תפ_36091-07-15,weapon,92.18399
תפ_42991-05-16,תפ_52390-06-19,weapon,92.331055
תפ_17260-12-23,תפ_61106-05-20,weapon,94.184074
תפ_3256-16,תפ_37551-01-16,drugs,89.048775
תפ_63953-01-24,תפח_24510-09-15,weapon,83.86848
תפ_37175-07-20,תפ_4411-07-19,weapon,94.07882
תפ_22588-03-22,תפ_6985-07-22,weapon,93.78223
תפ_21355-08-18,תפ_32174-07-20,drugs,95.35673
תפ_35364-01-18,תפ_56900-11-18,weapon,90.36071
תפ_39424-11-22,תפ_5775-02-18,drugs,92.929344
תפ_22297-11-20,תפ_371-10-15,weapon,90.98272
תפ_43643-10-15,תפ_63953-01-24,weapon,83.973175
תפ_23992-11-21,תפ_4612-07-22,weapon,93.92976
תפ_24044-06-22,תפ_31498-01-16,weapon,90.56795
תפ_30003-03-22,תפ_35843-03-22,weapon,95.54607
תפ_18484-07-23,תפ_73275-01-23,weapon,92.683014
תפ_6047-11-19,תפ_67473-10-21,drugs,94.60961
תפ_12411-02-21,תפ_41754-05-22,weapon,95.30178
תפ_1127-05-20,תפ_45055-01-22,drugs,93.73603
תפ_27330-02-19,תפ_66893-12-21,weapon,93.61078
תפ_32775-09-23,תפ_44620-01-22,weapon,93.18344
תפ_52205-06-22,תפ_53517-08-15,drugs,94.33759
תפ_19908-10-21,תפ_34242-02-16,weapon,92.665146
תפ_2599-09-17,תפ_46896-11-15,drugs,91.90907
תפ_45713-07-17,תפח_54962-08-15,weapon,90.209854
תפ_45432-11-15,תפ_4795-12-17,weapon,89.64912
תפ_16097-08-21,תפ_21471-09-22,drugs,96.64232
תפ_20477-02-20,תפ_30575-03-20,weapon,92.988045
תפ_35512-06-17,תפ_54272-09-14,weapon,86.10226
תפ_189-01-16,תפ_66542-05-20,weapon,94.67983
תפ_52479-01-18,תפח_34802-06-19,weapon,92.583786
תפ_33024-01-18,תפ_8900-11-22,drugs,85.60418
תפ_20770-11-22,תפ_36091-07-15,weapon,93.85648
תפ_35299-09-23,תפ_59329-02-18,drugs,92.95934
תפ_13-02-14,תפ_23749-12-19,weapon,94.79904
תפ_43338-05-16,תפ_6904-12-14,weapon,94.70891
תפ_27277-01-15,תפ_61452-12-22,weapon,93.49914
תפ_33916-02-22,תפ_54845-01-19,drugs,94.559395
תפ_48176-01-22,תפ_52789-09-22,weapon,95.02845
תפ_38014-02-22,תפ_46786-01-23,drugs,94.34295
תפ_16690-05-19,תפ_46039-04-17,drugs,95.98566
תפ_15744-02-20,תפ_4795-12-17,weapon,88.871544
תפ_51886-02-24,תפ_72132-02-19,drugs,92.69623
תפ_24044-06-22,תפ_6968-01-24,weapon,94.72687
תפ_15710-09-21,תפ_28796-07-22,weapon,92.28357
תפ_18912-06-23,תפ_44169-08-22,weapon,93.1664
תפ_12158-04-23,תפח_52360-06-20,weapon,92.49156
תפ_40650-03-22,תפ_59888-08-22,drugs,92.24576
תפ_17677-04-17,תפ_27735-02-21,drugs,97.31615
תפ_19384-05-16,תפ_60765-03-22,weapon,94.34605
תפ_17655-10-22,תפ_2144-04-21,weapon,94.92074
תפ_18210-05-23,תפ_808-06-16,weapon,93.759224
תפ_21813-09-16,תפ_51523-10-17,weapon,94.04576
תפ_16420-10-16,תפ_51506-01-22,weapon,91.492584
תפ_25624-03-22,תפ_30003-03-22,weapon,93.1498
תפ_34737-09-21,תפ_6904-12-14,weapon,94.856834
תפ_21991-04-20,תפ_38574-12-18,drugs,87.43203
תפ_26552-06-23,תפ_46930-03-22,weapon,94.16429
תפ_4734-12-22,תפ_70062-03-23,weapon,92.43022
תפ_37083-11-14,תפ_57965-03-15,weapon,94.40875
תפ_2077-10-23,תפ_28845-04-22,weapon,92.622894
תפ_12834-03-18,תפ_37495-01-20,drugs,95.96824
תפ_47284-06-18,תפ_52091-02-20,weapon,95.316605
תפ_50556-08-17,תפ_9179-04-16,weapon,94.83978
תפ_23408-05-15,תפ_59329-02-18,drugs,91.84148
תפ_30433-06-22,תפ_50556-08-17,weapon,95.58453
תפ_61452-12-22,תפ_9785-12-15,weapon,94.19354
תפ_14802-02-23,תפ_24044-06-22,weapon,93.15909
תפ_37722-09-23,תפ_66430-05-20,weapon,95.5334
תפ_11220-12-18,תפ_54036-06-19,drugs,97.24591
תפ_16129-03-22,תפ_7467-12-20,weapon,91.27683
תפ_29772-11-13,תפ_51523-10-17,weapon,95.22032
תפ_1847-05-14,תפח_866-07-14,weapon,89.58503
תפ_18846-06-20,תפ_47474-01-14,drugs,93.539474
תפ_3256-16,תפ_6659-02-21,drugs,88.68312
תפ_54432-02-17,תפ_57267-09-20,weapon,93.89407
תפ_50474-09-22,תפ_58774-07-22,weapon,91.23937
תפ_36422-07-13,תפ_40063-03-18,drugs,92.69891
תפ_13301-07-18,תפ_56149-01-15,weapon,92.946266
תפ_57965-03-15,תפ_950-09-17,weapon,93.523094
תפ_31276-05-19,תפ_3526-04-21,drugs,93.84843
תפ_18833-05-13,תפ_39071-12-15,weapon,95.52273
תפ_3013-04-18,תפ_66319-05-20,weapon,94.26253
תפ_60820-07-14,תפ_6852-03-21,weapon,91.04144
תפ_31216-01-22,תפח_34198-06-18,weapon,91.0596
תפ_29529-07-20,תפח_55639-05-17,weapon,88.870186
