A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
GPT-Schema,GPT-Free,11,0.02507091563713176,1.3949203718833638,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,AP_PR
GPT-Schema,GPT-Law,11,0.03559390344953814,1.7478379461423124,10,0.0009765625,0.001953125,0.005859375,Large,✓,✓,drugs,1,AP_PR
GPT-Schema,Raw-Facts,11,0.030868760273646823,2.8204836587603763,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,AP_PR
GPT-Schema,Hybrid-Manual,11,0.001203075674816973,0.09018043703112673,6,0.31884765625,0.38261718749999996,1.0,Negligible,,,drugs,1,AP_PR
GPT-Schema,Hybrid-Full,11,0.012559451278829676,0.9185898677771164,9,0.0068359375,0.01025390625,0.041015625,Large,✓,✓,drugs,1,AP_PR
GPT-Free,Manual,11,-0.0417486175623412,-2.3987990971828586,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Free,GPT-Schema,11,-0.02507091563713176,-1.3949203718833638,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Free,GPT-Law,11,0.010522987812406378,0.5423108513079858,8,0.04150390625,0.2490234375,0.2490234375,Medium,,,drugs,1,AP_PR
GPT-Free,Raw-Facts,11,0.0057978446365150645,0.3732924458825619,7,0.13916015625,0.41748046875,0.8349609375,Small,,,drugs,1,AP_PR
GPT-Free,Hybrid-Manual,11,-0.023867839962314785,-1.4660051422395055,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Free,Hybrid-Full,11,-0.012511464358302082,-0.7636352369634498,3,0.97900390625,1.0,1.0,Medium,,,drugs,1,AP_PR
GPT-Law,Manual,11,-0.05227160537474758,-4.980038722344638,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Law,GPT-Schema,11,-0.03559390344953814,-1.7478379461423124,1,0.99951171875,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Law,GPT-Free,11,-0.010522987812406378,-0.5423108513079858,3,0.96630859375,1.0,1.0,Medium,,,drugs,1,AP_PR
GPT-Law,Raw-Facts,11,-0.004725143175891314,-0.23680836775366496,5,0.767578125,1.0,1.0,Small,,,drugs,1,AP_PR
GPT-Law,Hybrid-Manual,11,-0.03439082777472116,-1.9063734992017896,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Law,Hybrid-Full,11,-0.02303445217070846,-1.4369244917559112,1,0.99951171875,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,Manual,11,-0.04754646219885627,-3.5370068797477168,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,GPT-Schema,11,-0.030868760273646823,-2.8204836587603763,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,GPT-Free,11,-0.0057978446365150645,-0.3732924458825619,4,0.8798828125,1.0,1.0,Small,,,drugs,1,AP_PR
Raw-Facts,GPT-Law,11,0.004725143175891314,0.23680836775366496,6,0.259765625,1.0,1.0,Small,,,drugs,1,AP_PR
Raw-Facts,Hybrid-Manual,11,-0.029665684598829848,-1.972642415681997,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,Hybrid-Full,11,-0.018309308994817145,-1.8635431232857196,1,0.99951171875,1.0,1.0,Large,,,drugs,1,AP_PR
Hybrid-Manual,Manual,11,-0.017880777600026418,-1.373293169134696,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,1,AP_PR
Hybrid-Manual,GPT-Schema,11,-0.001203075674816973,-0.09018043703112673,5,0.71142578125,0.8537109374999999,1.0,Negligible,,,drugs,1,AP_PR
Hybrid-Manual,GPT-Free,11,0.023867839962314785,1.4660051422395055,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Hybrid-Manual,GPT-Law,11,0.03439082777472116,1.9063734992017896,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Hybrid-Manual,Raw-Facts,11,0.029665684598829848,1.972642415681997,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Hybrid-Manual,Hybrid-Full,11,0.011356375604012703,0.696731153770078,8,0.03369140625,0.050537109375,0.2021484375,Medium,,,drugs,1,AP_PR
Hybrid-Full,Manual,11,-0.02923715320403912,-2.6550967307184252,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Hybrid-Full,GPT-Schema,11,-0.012559451278829676,-0.9185898677771164,2,0.9951171875,1.0,1.0,Large,,,drugs,1,AP_PR
Hybrid-Full,GPT-Free,11,0.012511464358302082,0.7636352369634498,8,0.02685546875,0.0537109375,0.1611328125,Medium,,,drugs,1,AP_PR
Hybrid-Full,GPT-Law,11,0.02303445217070846,1.4369244917559112,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,drugs,1,AP_PR
Hybrid-Full,Raw-Facts,11,0.018309308994817145,1.8635431232857196,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,drugs,1,AP_PR
Hybrid-Full,Hybrid-Manual,11,-0.011356375604012703,-0.696731153770078,3,0.97314453125,1.0,1.0,Medium,,,drugs,1,AP_PR
Manual,GPT-Schema,11,0.028753326668028836,1.1303062195774767,9,0.00341796875,0.01025390625,0.0205078125,Large,✓,✓,weapon,0,AP_PR
Manual,GPT-Free,11,0.04200413347042731,0.7787740957698812,8,0.02685546875,0.0537109375,0.1611328125,Medium,,,weapon,0,AP_PR
Manual,GPT-Law,11,0.0838646855612783,1.4984029105259482,10,0.00146484375,0.0087890625,0.0087890625,Large,✓,✓,weapon,0,AP_PR
Manual,Raw-Facts,11,0.02737724963148133,0.4163486377398358,8,0.10302734375,0.1236328125,0.6181640625,Small,,,weapon,0,AP_PR
Manual,Hybrid-Manual,11,0.0007150436517108026,0.012725026706568943,7,0.51708984375,0.51708984375,1.0,Negligible,,,weapon,0,AP_PR
Manual,Hybrid-Full,11,0.03208849008822711,0.4823420756927729,7,0.08740234375,0.1236328125,0.5244140625,Small,,,weapon,0,AP_PR
GPT-Schema,Manual,11,-0.028753326668028836,-1.1303062195774767,2,0.99755859375,0.99755859375,1.0,Large,,,weapon,0,AP_PR
GPT-Schema,GPT-Free,11,0.01325080680239847,0.221509982775892,5,0.35009765625,0.8984375,1.0,Small,,,weapon,0,AP_PR
GPT-Schema,GPT-Law,11,0.05511135889324945,0.8737352126661614,10,0.00927734375,0.0556640625,0.0556640625,Large,,,weapon,0,AP_PR
GPT-Schema,Raw-Facts,11,-0.0013760770365475081,-0.01794900188833987,5,0.61767578125,0.926513671875,1.0,Negligible,,,weapon,0,AP_PR
GPT-Schema,Hybrid-Manual,11,-0.028038283016318034,-0.46052575518156463,2,0.9384765625,0.99755859375,1.0,Small,,,weapon,0,AP_PR
GPT-Schema,Hybrid-Full,11,0.0033351634201982698,0.05075002421547183,6,0.44921875,0.8984375,1.0,Negligible,,,weapon,0,AP_PR
GPT-Free,Manual,11,-0.04200413347042731,-0.7787740957698812,3,0.97900390625,0.9931640625,1.0,Medium,,,weapon,0,AP_PR
GPT-Free,GPT-Schema,11,-0.01325080680239847,-0.221509982775892,6,0.68115234375,0.9931640625,1.0,Small,,,weapon,0,AP_PR
GPT-Free,GPT-Law,11,0.04186055209085098,1.0848857253627349,8,0.00927734375,0.0556640625,0.0556640625,Large,,,weapon,0,AP_PR
GPT-Free,Raw-Facts,11,-0.014626883838945977,-0.3045195418440264,6,0.51708984375,0.9931640625,1.0,Small,,,weapon,0,AP_PR
GPT-Free,Hybrid-Manual,11,-0.041289089818716505,-0.9687354000029254,2,0.9931640625,0.9931640625,1.0,Large,,,weapon,0,AP_PR
GPT-Free,Hybrid-Full,11,-0.0099156433822002,-0.23751726989227331,6,0.68115234375,0.9931640625,1.0,Small,,,weapon,0,AP_PR
GPT-Law,Manual,11,-0.0838646855612783,-1.4984029105259482,1,0.9990234375,0.99951171875,1.0,Large,,,weapon,0,AP_PR
GPT-Law,GPT-Schema,11,-0.05511135889324945,-0.8737352126661614,1,0.9931640625,0.99951171875,1.0,Large,,,weapon,0,AP_PR
GPT-Law,GPT-Free,11,-0.04186055209085098,-1.0848857253627349,3,0.9931640625,0.99951171875,1.0,Large,,,weapon,0,AP_PR
GPT-Law,Raw-Facts,11,-0.056487435929796964,-1.455215930294224,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,0,AP_PR
GPT-Law,Hybrid-Manual,11,-0.08314964190956749,-1.4319250702130741,1,0.9990234375,0.99951171875,1.0,Large,,,weapon,0,AP_PR
GPT-Law,Hybrid-Full,11,-0.051776195473051186,-0.8683496245011315,4,0.98388671875,0.99951171875,1.0,Large,,,weapon,0,AP_PR
Raw-Facts,Manual,11,-0.02737724963148133,-0.4163486377398358,3,0.91259765625,0.91259765625,1.0,Small,,,weapon,0,AP_PR
Raw-Facts,GPT-Schema,11,0.0013760770365475081,0.01794900188833987,6,0.41552734375,0.775634765625,1.0,Negligible,,,weapon,0,AP_PR
Raw-Facts,GPT-Free,11,0.014626883838945977,0.3045195418440264,5,0.51708984375,0.775634765625,1.0,Small,,,weapon,0,AP_PR
Raw-Facts,GPT-Law,11,0.056487435929796964,1.455215930294224,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,weapon,0,AP_PR
Raw-Facts,Hybrid-Manual,11,-0.026662205979770526,-0.44126954445109373,3,0.89697265625,0.91259765625,1.0,Small,,,weapon,0,AP_PR
Raw-Facts,Hybrid-Full,11,0.004711240456745778,0.06836393522885514,5,0.51708984375,0.775634765625,1.0,Negligible,,,weapon,0,AP_PR
Hybrid-Manual,Manual,11,-0.0007150436517108026,-0.012725026706568943,4,0.51708984375,0.51708984375,1.0,Negligible,,,weapon,0,AP_PR
Hybrid-Manual,GPT-Schema,11,0.028038283016318034,0.46052575518156463,9,0.07373046875,0.131103515625,0.4423828125,Small,,,weapon,0,AP_PR
Hybrid-Manual,GPT-Free,11,0.041289089818716505,0.9687354000029254,9,0.00927734375,0.02783203125,0.0556640625,Large,✓,,weapon,0,AP_PR
Hybrid-Manual,GPT-Law,11,0.08314964190956749,1.4319250702130741,10,0.00146484375,0.0087890625,0.0087890625,Large,✓,✓,weapon,0,AP_PR
Hybrid-Manual,Raw-Facts,11,0.026662205979770526,0.44126954445109373,8,0.1201171875,0.144140625,0.720703125,Small,,,weapon,0,AP_PR
Hybrid-Manual,Hybrid-Full,11,0.0313734464365163,0.5058123384327935,7,0.08740234375,0.131103515625,0.5244140625,Medium,,,weapon,0,AP_PR
Hybrid-Full,Manual,11,-0.03208849008822711,-0.4823420756927729,4,0.92626953125,0.92626953125,1.0,Small,,,weapon,0,AP_PR
Hybrid-Full,GPT-Schema,11,-0.0033351634201982698,-0.05075002421547183,5,0.58447265625,0.876708984375,1.0,Negligible,,,weapon,0,AP_PR
Hybrid-Full,GPT-Free,11,0.0099156433822002,0.23751726989227331,5,0.35009765625,0.876708984375,1.0,Small,,,weapon,0,AP_PR
Hybrid-Full,GPT-Law,11,0.051776195473051186,0.8683496245011315,7,0.02099609375,0.1259765625,0.1259765625,Large,,,weapon,0,AP_PR
Hybrid-Full,Raw-Facts,11,-0.004711240456745778,-0.06836393522885514,6,0.51708984375,0.876708984375,1.0,Negligible,,,weapon,0,AP_PR
Hybrid-Full,Hybrid-Manual,11,-0.0313734464365163,-0.5058123384327935,4,0.92626953125,0.92626953125,1.0,Medium,,,weapon,0,AP_PR
Manual,GPT-Schema,11,0.06650771917599296,2.5473011341848655,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,AP_PR
Manual,GPT-Free,11,0.0468096692458087,1.3599407536515662,10,0.00244140625,0.0048828125,0.0146484375,Large,✓,✓,weapon,1,AP_PR
Manual,GPT-Law,11,0.06220987928225949,1.7439901863262515,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,weapon,1,AP_PR
Manual,Raw-Facts,11,0.01297552916002182,0.2787268973224215,6,0.20654296875,0.24785156249999998,1.0,Small,,,weapon,1,AP_PR
Manual,Hybrid-Manual,11,0.0056384863118983585,0.19696062369030093,6,0.28857421875,0.28857421875,1.0,Negligible,,,weapon,1,AP_PR
Manual,Hybrid-Full,11,0.028776284522059655,0.6450458083645941,9,0.04150390625,0.062255859375,0.2490234375,Medium,,,weapon,1,AP_PR
GPT-Schema,Manual,11,-0.06650771917599296,-2.5473011341848655,0,1.0,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Schema,GPT-Free,11,-0.01969804993018426,-0.478988332853383,2,0.94921875,1.0,1.0,Small,,,weapon,1,AP_PR
GPT-Schema,GPT-Law,11,-0.0042978398937334765,-0.11191542701627305,6,0.55078125,1.0,1.0,Negligible,,,weapon,1,AP_PR
GPT-Schema,Raw-Facts,11,-0.05353219001597114,-0.9268870269222197,2,0.9951171875,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Schema,Hybrid-Manual,11,-0.060869232864094604,-1.6008584802549957,1,0.99951171875,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Schema,Hybrid-Full,11,-0.03773143465393331,-1.1700003087128983,1,0.99951171875,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Free,Manual,11,-0.0468096692458087,-1.3599407536515662,1,0.99853515625,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Free,GPT-Schema,11,0.01969804993018426,0.478988332853383,9,0.0615234375,0.369140625,0.369140625,Small,,,weapon,1,AP_PR
GPT-Free,GPT-Law,11,0.015400210036450786,0.4438774464759703,7,0.13916015625,0.41748046875,0.8349609375,Small,,,weapon,1,AP_PR
GPT-Free,Raw-Facts,11,-0.03383414008578688,-0.8299850525589337,1,0.99658203125,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Free,Hybrid-Manual,11,-0.04117118293391034,-2.0750153557199935,0,1.0,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Free,Hybrid-Full,11,-0.018033384723749046,-0.5415206565222602,3,0.94921875,1.0,1.0,Medium,,,weapon,1,AP_PR
GPT-Law,Manual,11,-0.06220987928225949,-1.7439901863262515,1,0.99951171875,1.0,1.0,Large,,,weapon,1,AP_PR
GPT-Law,GPT-Schema,11,0.0042978398937334765,0.11191542701627305,5,0.48291015625,1.0,1.0,Negligible,,,weapon,1,AP_PR
GPT-Law,GPT-Free,11,-0.015400210036450786,-0.4438774464759703,4,0.8798828125,1.0,1.0,Small,,,weapon,1,AP_PR
GPT-Law,Raw-Facts,11,-0.04923435012223767,-0.934277298788269,2,0.99658203125,1.0,1.0,Large,,,weapon,1,AP_PR
