canonical_id,domain,csv_path,docx_path,csv_source,docx_source,csv_size,docx_size,verdict,sentencing_range_low,sentencing_range_high,sentencing_classification,sentencing_confidence,citations_count,domain_unified
עפ_2892-13,unknown,csv/עפ_2892-13.csv,,downloaded_pipeline,,26945.0,,,,,,,,
ME-13-12-8338-415,unknown,csv/ME-13-12-8338-415.csv,,downloaded_pipeline,,26715.0,,,,,,,,
עפ_3057-13,unknown,csv/עפ_3057-13.csv,,downloaded_pipeline,,26668.0,,,,,,,,
תפ_16690-05-19,unknown,csv/תפ_16690-05-19.csv,,downloaded_pipeline,,26605.0,,,,,,,,
עפ_7386-13,unknown,csv/עפ_7386-13.csv,,downloaded_pipeline,,26392.0,,,,,,,,
עפ_6720-16,unknown,csv/עפ_6720-16.csv,,downloaded_pipeline,,26225.0,,,,,,,,
עפ_314-16,unknown,csv/עפ_314-16.csv,,downloaded_pipeline,,25812.0,,,,,,,,
עפ_4536-21,unknown,csv/עפ_4536-21.csv,,downloaded_pipeline,,25812.0,,,,,,,,
עפ_7996-12,unknown,csv/עפ_7996-12.csv,,downloaded_pipeline,,25668.0,,,,,,,,
עפ_6390-20,unknown,csv/עפ_6390-20.csv,,downloaded_pipeline,,25613.0,,,,,,,,
עפ_3117-12,unknown,csv/עפ_3117-12.csv,,downloaded_pipeline,,25490.0,,,,,,,,
עפ_11220-03,unknown,csv/עפ_11220-03.csv,,downloaded_pipeline,,25061.0,,,,,,,,
עפ_7681-13,unknown,csv/עפ_7681-13.csv,,downloaded_pipeline,,25039.0,,,,,,,,
SH-10-08-53549-961,unknown,csv/SH-10-08-53549-961.csv,,downloaded_pipeline,,25009.0,,,,,,,,
ME-15-11-2045-692,unknown,csv/ME-15-11-2045-692.csv,,downloaded_pipeline,,24856.0,,,,,,,,
ME-17-07-29138-388,unknown,csv/ME-17-07-29138-388.csv,,downloaded_pipeline,,24797.0,,,,,,,,
עפ_5681-23,unknown,csv/עפ_5681-23.csv,,downloaded_pipeline,,24623.0,,,,,,,,
עפ_6383-21,unknown,csv/עפ_6383-21.csv,,downloaded_pipeline,,24076.0,,,,,,,,
ME-15-04-8650-548,unknown,csv/ME-15-04-8650-548.csv,,downloaded_pipeline,,23259.0,,,,,,,,
עפ_5807-17,unknown,csv/עפ_5807-17.csv,,downloaded_pipeline,,23142.0,,,,,,,,
עפ_1635-14,unknown,csv/עפ_1635-14.csv,,downloaded_pipeline,,23121.0,,,,,,,,
תפ_478-04,unknown,csv/תפ_478-04.csv,docx/תפ_478-04.docx,data_master_csv,data_master_docx,22980.0,29530.0,,,,,,,
עפ_2194-14,unknown,csv/עפ_2194-14.csv,,downloaded_pipeline,,22945.0,,,,,,,,
תפ_325-09,unknown,csv/תפ_325-09.csv,docx/תפ_325-09.docx,data_master_csv,data_master_docx,22900.0,25914.0,,,,,,,
עפ_1473-18,unknown,csv/עפ_1473-18.csv,,downloaded_pipeline,,22814.0,,,,,,,,
עפ_8988-16,unknown,csv/עפ_8988-16.csv,,downloaded_pipeline,,22728.0,,,,,,,,
עפ_513-21,unknown,csv/עפ_513-21.csv,,downloaded_pipeline,,22595.0,,,,,,,,
ME-17-07-20755-771,unknown,csv/ME-17-07-20755-771.csv,,downloaded_pipeline,,22467.0,,,,,,,,
עפ_2432-15,unknown,csv/עפ_2432-15.csv,,downloaded_pipeline,,22331.0,,,,,,,,
עפ_8048-19,unknown,csv/עפ_8048-19.csv,,downloaded_pipeline,,22133.0,,,,,,,,
עפ_6161-16,unknown,csv/עפ_6161-16.csv,,downloaded_pipeline,,21844.0,,,,,,,,
עפ_5478-19,unknown,csv/עפ_5478-19.csv,,downloaded_pipeline,,21778.0,,,,,,,,
