A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
GPT-Free,GPT-Schema,11,-0.02894506369041934,-1.589457811568843,1,0.99951171875,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Free,GPT-Law,11,0.010282056470255041,0.5329831355567634,8,0.05078125,0.3046875,0.3046875,Medium,,,drugs,1,AP_PR
GPT-Free,Raw-Facts,11,0.002855009372535658,0.22476378883694734,7,0.232421875,0.697265625,1.0,Small,,,drugs,1,AP_PR
GPT-Free,Hybrid-Manual,11,-0.023437257772058892,-1.2399068150804693,1,0.99853515625,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Free,Hybrid-Full,11,-0.022915102202939887,-1.3165833615816434,1,0.99951171875,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Law,Manual,11,-0.05569127805210825,-4.871650280004695,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Law,GPT-Schema,11,-0.03922712016067438,-2.9209617659975042,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Law,GPT-Free,11,-0.010282056470255041,-0.5329831355567634,3,0.95849609375,1.0,1.0,Medium,,,drugs,1,AP_PR
GPT-Law,Raw-Facts,11,-0.007427047097719383,-0.388249397654672,4,0.89697265625,1.0,1.0,Small,,,drugs,1,AP_PR
GPT-Law,Hybrid-Manual,11,-0.03371931424231393,-1.574235634798458,1,0.9990234375,1.0,1.0,Large,,,drugs,1,AP_PR
GPT-Law,Hybrid-Full,11,-0.03319715867319493,-2.516630245509111,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,Manual,11,-0.04826423095438887,-3.476741517137674,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,GPT-Schema,11,-0.031800073062955,-2.4383376169756965,0,1.0,1.0,1.0,Large,,,drugs,1,AP_PR
Raw-Facts,GPT-Free,11,-0.002855009372535658,-0.22476378883694734,4,0.79345703125,1.0,1.0,Small,,,drugs,1,AP_PR
Raw-Facts,GPT-Law,11,0.007427047097719383,0.388249397654672,7,0.1201171875,0.720703125,0.720703125,Small,,,drugs,1,AP_PR
