domain,rep,model,QWK_Oracle,QWK_CV,C_index,n
drugs,GPT-Law,qwen3_vl_235b_or,0.7473560517038778,0.7377622377622377,0.8748760330578512,100
drugs,Raw-Facts,gpt4,0.7819850831899025,0.7398843930635839,0.8780165289256199,100
drugs,Raw-Facts,gpt5mini,0.8118753674309229,0.7645673925838729,0.879504132231405,100
drugs,Raw-Facts,gpt52,0.8079306071871127,0.7498511018463371,0.8895867768595042,100
drugs,Raw-Facts,gpt51_thinking,0.8292108362779741,0.8292108362779741,0.8867768595041322,100
drugs,Raw-Facts,claude_sonnet_4_6,0.8107448107448108,0.7565320665083135,0.8985123966942149,100
drugs,Raw-Facts,gemini_25_pro,0.7929844738355376,0.7856315179606026,0.8570247933884297,100
drugs,Raw-Facts,gemini_3_flash,0.81786133960047,0.8017492711370262,0.8737190082644628,100
drugs,Raw-Facts,gemma3_27b,0.7736093143596379,0.7400909681611436,0.8839669421487604,100
drugs,Raw-Facts,gemma4_31b_or,0.8070175438596492,0.7753456221198157,0.8826446280991735,100
drugs,Raw-Facts,llama3_70b,0.7286602600339174,0.6911421911421911,0.8474380165289256,100
drugs,Raw-Facts,qwen3_vl_235b_or,0.7861271676300579,0.7359154929577465,0.8732231404958678,100
drugs,Hybrid-Manual,gpt4,0.8260309278350515,0.7723187537447573,0.9145454545454546,100
drugs,Hybrid-Manual,gpt5mini,0.8140111593304402,0.7342398022249691,0.9130578512396694,100
drugs,Hybrid-Manual,gpt52,0.8070175438596492,0.7518159806295399,0.9082644628099174,100
drugs,Hybrid-Manual,gpt51_thinking,0.8225901833234772,0.7784431137724551,0.9019834710743801,100
drugs,Hybrid-Manual,claude_sonnet_4_6,0.8114393463230672,0.7376267143709003,0.9181818181818182,100
drugs,Hybrid-Manual,gemini_25_pro,0.7986974541148608,0.7455176402544823,0.8889256198347107,100
drugs,Hybrid-Manual,gemini_3_flash,0.8211091234347048,0.7972570065593321,0.8930578512396694,100
drugs,Hybrid-Manual,gemma3_27b,0.7788203753351206,0.7204161248374512,0.8998347107438016,100
drugs,Hybrid-Manual,gemma4_31b_or,0.8302107728337237,0.8134110787172012,0.9171900826446281,100
drugs,Hybrid-Manual,llama3_70b,0.7684887459807074,0.69375,0.8638016528925619,100
drugs,Hybrid-Manual,qwen3_vl_235b_or,0.7684085510688836,0.710509754562618,0.8915702479338843,100
drugs,Hybrid-Full,gpt4,0.8323085522638345,0.8260381593714927,0.8909090909090909,100
drugs,Hybrid-Full,gpt5mini,0.8016119032858029,0.7422062350119905,0.891900826446281,100
drugs,Hybrid-Full,gpt52,0.7749391727493917,0.6768178993163455,0.8877685950413223,100
drugs,Hybrid-Full,gpt51_thinking,0.8128509045539614,0.7611940298507462,0.8928925619834711,100
drugs,Hybrid-Full,claude_sonnet_4_6,0.8299939283545841,0.7700471698113207,0.9028099173553719,100
drugs,Hybrid-Full,gemini_25_pro,0.8136284216656959,0.806338028169014,0.8811570247933884,100
drugs,Hybrid-Full,gemini_3_flash,0.7830248883216337,0.7151515151515151,0.8975206611570248,100
drugs,Hybrid-Full,gemma3_27b,0.8065650644783119,0.8065650644783119,0.8955371900826447,100
drugs,Hybrid-Full,gemma4_31b_or,0.8074534161490683,0.7644927536231884,0.9061157024793388,100
drugs,Hybrid-Full,llama3_70b,0.8116539140670983,0.8116539140670983,0.8798347107438017,100
drugs,Hybrid-Full,qwen3_vl_235b_or,0.8156115550092194,0.7553699284009547,0.9100826446280992,100
weapon,Manual,gpt4,0.7813953488372093,0.7640926640926641,0.9083247334021328,141
weapon,Manual,gpt5mini,0.831942789034565,0.8117946851110303,0.9264705882352942,141
weapon,Manual,gpt52,0.7652347652347653,0.751818272392149,0.9099587203302374,141
weapon,Manual,gpt51_thinking,0.8019662921348314,0.7776488440596269,0.9200206398348814,141
weapon,Manual,claude_sonnet_4_6,0.8106656435833492,0.7904632680752084,0.9213966288269694,141
weapon,Manual,gemini_25_pro,0.7332576617480135,0.708809293320426,0.8918128654970761,141
weapon,Manual,gemini_3_flash,0.7897875512486023,0.7664425606547793,0.9137426900584795,141
weapon,Manual,gemma3_27b,0.6231961517904864,0.5968242379996349,0.8428792569659442,141
weapon,Manual,gemma4_31b_or,0.8077796964464237,0.7952069716775599,0.9275025799793601,141
weapon,Manual,llama3_70b,0.6504394861392833,0.640855832908813,0.846749226006192,141
weapon,Manual,qwen3_vl_235b_or,0.7963408762638421,0.7721266280064645,0.9055727554179567,141
weapon,GPT-Schema,gpt4,0.7350122157489194,0.6648432157858748,0.8888888888888888,141
weapon,GPT-Schema,gpt5mini,0.7678800073166271,0.7357635110627494,0.892844857241142,141
weapon,GPT-Schema,gpt52,0.7276054905948144,0.6645595432300163,0.8853629170966633,141
weapon,GPT-Schema,gpt51_thinking,0.768607008398494,0.7330591461026243,0.8980048159614723,141
weapon,GPT-Schema,claude_sonnet_4_6,0.7975558449363919,0.7631904173400513,0.9108187134502924,141
weapon,GPT-Schema,gemini_25_pro,0.7301388453909594,0.6924335378323108,0.8836429308565531,141
weapon,GPT-Schema,gemini_3_flash,0.793686373400579,0.7821810271446137,0.9021327829377365,141
weapon,GPT-Schema,gemma3_27b,0.6016011302095597,0.5656398104265403,0.8331613347093223,141
weapon,GPT-Schema,gemma4_31b_or,0.8149436864755975,0.7865022712524334,0.9229446164430685,141
weapon,GPT-Schema,llama3_70b,0.5511507904005242,0.4993147555961627,0.7993815933066569,137
weapon,GPT-Schema,qwen3_vl_235b_or,0.7001518987341773,0.6828106391425168,0.8716030271757826,141
weapon,GPT-Free,gpt4,0.728793998845932,0.7129979645245711,0.8485552115583075,141
weapon,GPT-Free,gpt5mini,0.6999910096197068,0.6649824054858793,0.85921912624699,141
weapon,GPT-Free,gpt52,0.7109838846480068,0.6482867270578968,0.8703990368077056,141
weapon,GPT-Free,gpt51_thinking,0.7514716152848449,0.7391476709613478,0.8763329893360853,141
weapon,GPT-Free,claude_sonnet_4_6,0.753791011855528,0.753791011855528,0.8699690402476781,141
weapon,GPT-Free,gemini_25_pro,0.6516718372974837,0.5731490621915105,0.837891296869625,141
weapon,GPT-Free,gemini_3_flash,0.7368217802664607,0.7122728597803907,0.867561059511524,141
weapon,GPT-Free,gemma3_27b,0.6403061224489796,0.6403061224489796,0.8314413484692122,141
weapon,GPT-Free,gemma4_31b_or,0.7282753713421685,0.7087561742254154,0.8688510491916065,141
weapon,GPT-Free,llama3_70b,0.5763163286211841,0.5559280707101493,0.7948056415548675,141
weapon,GPT-Free,qwen3_vl_235b_or,0.6610902797807903,0.6610902797807903,0.8226694186446508,141
weapon,GPT-Law,gpt4,0.6987467712618387,0.6987467712618387,0.8614551083591331,141
weapon,GPT-Law,gpt5mini,0.7791353383458647,0.7691290383525411,0.8704850361197111,141
weapon,GPT-Law,gpt52,0.7153107818469854,0.6694071435096374,0.8749570003439973,141
weapon,GPT-Law,gpt51_thinking,0.7482523831139356,0.7305344923247642,0.8780529755761954,141
weapon,GPT-Law,claude_sonnet_4_6,0.7464940668824165,0.7333724569640063,0.8797729618163055,141
weapon,GPT-Law,gemini_25_pro,0.6901098901098901,0.6664037854889591,0.8461472308221534,141
weapon,GPT-Law,gemini_3_flash,0.6998722860791826,0.6597364024503434,0.8556071551427589,141
weapon,GPT-Law,gemma3_27b,0.6436823104693141,0.6054064028046868,0.8396972824217406,141
weapon,GPT-Law,gemma4_31b_or,0.7184523224982815,0.6848702749975707,0.8779669762641898,141
weapon,GPT-Law,llama3_70b,0.5151269270893706,0.4558610709117221,0.7692638458892329,141
weapon,GPT-Law,qwen3_vl_235b_or,0.6544769085768143,0.5878033856822353,0.8439972480220158,141
weapon,Raw-Facts,gpt4,0.7134407134407135,0.6904267797527746,0.858703130374957,141
weapon,Raw-Facts,gpt5mini,0.6186710485775906,0.5241844769403825,0.8448572411420708,141
weapon,Raw-Facts,gpt52,0.7241244374877716,0.6757999616784824,0.8730650154798761,141
weapon,Raw-Facts,gpt51_thinking,0.6914853713428357,0.6786324786324787,0.8513931888544891,141
weapon,Raw-Facts,claude_sonnet_4_6,0.7510832932113625,0.7510832932113625,0.8693670450636395,141
weapon,Raw-Facts,gemini_25_pro,0.6626683708583228,0.6396894711305192,0.8377192982456141,141
weapon,Raw-Facts,gemini_3_flash,0.7104555314533623,0.6815496872828353,0.8552631578947368,141
weapon,Raw-Facts,gemma3_27b,0.689366686187568,0.689366686187568,0.8529411764705882,141
weapon,Raw-Facts,gemma4_31b_or,0.6744707833382109,0.6407161536914101,0.8545751633986928,141
weapon,Raw-Facts,llama3_70b,0.6608028867839422,0.6475657526580861,0.835827313381493,141
weapon,Raw-Facts,qwen3_vl_235b_or,0.6922534501863604,0.6564063101192766,0.8555211558307534,141
weapon,Hybrid-Manual,gpt4,0.7857956703380174,0.7604116572088102,0.9114207086343309,141
weapon,Hybrid-Manual,gpt5mini,0.7729916214884179,0.7312640392076781,0.9064327485380117,141
weapon,Hybrid-Manual,gpt52,0.7549916396183731,0.7339968774395005,0.9044547643618851,141
weapon,Hybrid-Manual,gpt51_thinking,0.8151468032561968,0.8151468032561968,0.9185586515307878,141
weapon,Hybrid-Manual,claude_sonnet_4_6,0.7676488036385208,0.7202653917455362,0.9096147230822154,141
weapon,Hybrid-Manual,gemini_25_pro,0.6732106339468302,0.6516337822319658,0.8551771585827314,141
weapon,Hybrid-Manual,gemini_3_flash,0.7784937962873906,0.7616496029088126,0.9049707602339181,141
weapon,Hybrid-Manual,gemma3_27b,0.6258312259998127,0.5715317266901345,0.8300653594771242,141
weapon,Hybrid-Manual,gemma4_31b_or,0.7696884844242212,0.7696884844242212,0.9075507395940833,141
weapon,Hybrid-Manual,llama3_70b,0.5906001722982674,0.5313577485788836,0.8223254213966288,141
weapon,Hybrid-Manual,qwen3_vl_235b_or,0.7348377997179125,0.7005773442166037,0.8949088407292741,141
weapon,Hybrid-Full,gpt4,0.7759073659628296,0.7559145989613387,0.9031647746818026,141
weapon,Hybrid-Full,gpt5mini,0.7365165281268123,0.6738283106759198,0.8921568627450981,141
weapon,Hybrid-Full,gpt52,0.7350809698487967,0.7063039882374564,0.8984348125214998,141
weapon,Hybrid-Full,gpt51_thinking,0.7819447129325343,0.7520256265309968,0.9050567595459237,141
weapon,Hybrid-Full,claude_sonnet_4_6,0.8049072963748731,0.7924181082075819,0.9019607843137255,141
weapon,Hybrid-Full,gemini_25_pro,0.6688020499679692,0.5977683891236052,0.8557791537667698,141
weapon,Hybrid-Full,gemini_3_flash,0.785551330798479,0.7460406185951183,0.9005847953216374,141
weapon,Hybrid-Full,gemma3_27b,0.6526237989652623,0.6460909175420656,0.8448572411420708,141
weapon,Hybrid-Full,gemma4_31b_or,0.7906661502711076,0.7513227513227513,0.9019607843137255,141
weapon,Hybrid-Full,llama3_70b,0.6723470178156468,0.6456365369616084,0.8452872377020983,141
weapon,Hybrid-Full,qwen3_vl_235b_or,0.736353829557713,0.7084367245657568,0.881578947368421,141
