A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
GPT-Free,Hybrid-Manual,11,-0.025124128868418326,-0.2860107386987728,4,0.86083984375,0.99951171875,1.0,Small,,,weapon,QWK_LOO
GPT-Free,Hybrid-Full,11,-0.03458355673881819,-1.160965891943939,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,QWK_LOO
GPT-Law,Manual,11,-0.09491055611142639,-1.29634056452566,0,1.0,1.0,1.0,Large,,,weapon,QWK_LOO
GPT-Law,GPT-Schema,11,-0.04254452562465295,-0.68159058597833,3,0.9755859375,1.0,1.0,Medium,,,weapon,QWK_LOO
GPT-Law,GPT-Free,11,-0.010019166236391793,-0.12119512423821888,4,0.71142578125,1.0,1.0,Negligible,,,weapon,QWK_LOO
GPT-Law,Raw-Facts,11,-0.002696299588363452,-0.02175941146196201,5,0.68115234375,1.0,1.0,Negligible,,,weapon,QWK_LOO
GPT-Law,Hybrid-Manual,11,-0.03514329510481012,-0.47019851744257735,4,0.91259765625,1.0,1.0,Small,,,weapon,QWK_LOO
GPT-Law,Hybrid-Full,11,-0.04460272297520998,-0.5524129404903624,2,0.94921875,1.0,1.0,Medium,,,weapon,QWK_LOO
Raw-Facts,Manual,11,-0.09221425652306295,-0.9112476852306555,2,0.99755859375,0.99755859375,1.0,Large,,,weapon,QWK_LOO
Raw-Facts,GPT-Schema,11,-0.0398482260362895,-0.3854609618254923,4,0.83984375,0.99755859375,1.0,Small,,,weapon,QWK_LOO
Raw-Facts,GPT-Free,11,-0.007322866648028342,-0.08074220526110823,4,0.55078125,0.99755859375,1.0,Negligible,,,weapon,QWK_LOO
Raw-Facts,GPT-Law,11,0.002696299588363452,0.02175941146196201,6,0.35009765625,0.99755859375,1.0,Negligible,,,weapon,QWK_LOO
Raw-Facts,Hybrid-Manual,11,-0.03244699551644667,-0.27520402998532195,3,0.89697265625,0.99755859375,1.0,Small,,,weapon,QWK_LOO
