A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
GPT-Schema,Hybrid-Manual,11,-0.006972127099401083,-0.39724176542616757,4,0.8798828125,1.0,1.0,Small,,,weapon,C_index
GPT-Schema,Hybrid-Full,11,-0.003821425032290347,-0.19337020820694992,5,0.740234375,1.0,1.0,Negligible,,,weapon,C_index
GPT-Free,Manual,11,-0.0515214060105701,-2.8816074565834437,0,1.0,1.0,1.0,Large,,,weapon,C_index
GPT-Free,GPT-Schema,11,-0.031008296329938744,-1.73994155254657,0,1.0,1.0,1.0,Large,,,weapon,C_index
GPT-Free,GPT-Law,11,-0.0045188729399255586,-0.3509300182121715,2,0.89306640625,1.0,1.0,Small,,,weapon,C_index
GPT-Free,Raw-Facts,11,-0.003776151608968936,-0.18082038296548011,6,0.61767578125,1.0,1.0,Negligible,,,weapon,C_index
GPT-Free,Hybrid-Manual,11,-0.03798042342933983,-1.8985806483378405,1,0.99951171875,1.0,1.0,Large,,,weapon,C_index
GPT-Free,Hybrid-Full,11,-0.03482972136222909,-2.42497580487933,0,1.0,1.0,1.0,Large,,,weapon,C_index
GPT-Law,Manual,11,-0.047002533070644545,-2.522146039408946,0,1.0,1.0,1.0,Large,,,weapon,C_index
GPT-Law,GPT-Schema,11,-0.026489423390013186,-1.7430222561438808,1,0.99951171875,1.0,1.0,Large,,,weapon,C_index
GPT-Law,GPT-Free,11,0.0045188729399255586,0.3509300182121715,9,0.115234375,0.69140625,0.69140625,Small,,,weapon,C_index
GPT-Law,Raw-Facts,11,0.0007427213309566225,0.02840256779808376,8,0.232421875,0.697265625,1.0,Negligible,,,weapon,C_index
GPT-Law,Hybrid-Manual,11,-0.033461550489414266,-1.723922809033349,1,0.9990234375,1.0,1.0,Large,,,weapon,C_index
GPT-Law,Hybrid-Full,11,-0.03031084842230353,-1.5578099900348357,0,1.0,1.0,1.0,Large,,,weapon,C_index
Raw-Facts,Manual,11,-0.04774525440160116,-1.7774655843594271,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,C_index
Raw-Facts,GPT-Schema,11,-0.027232144720969808,-0.8587159909775511,2,0.99072265625,0.99951171875,1.0,Large,,,weapon,C_index
Raw-Facts,GPT-Free,11,0.003776151608968936,0.18082038296548011,5,0.41552734375,0.99951171875,1.0,Negligible,,,weapon,C_index
Raw-Facts,GPT-Law,11,-0.0007427213309566225,-0.02840256779808376,3,0.79345703125,0.99951171875,1.0,Negligible,,,weapon,C_index
Raw-Facts,Hybrid-Manual,11,-0.03420427182037089,-1.1625198348159638,2,0.99755859375,0.99951171875,1.0,Large,,,weapon,C_index
Raw-Facts,Hybrid-Full,11,-0.031053569753260155,-1.6250312646135658,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,C_index
Hybrid-Manual,Manual,11,-0.013540982581230276,-1.2077465391153628,1,0.9990234375,0.9990234375,1.0,Large,,,weapon,C_index
Hybrid-Manual,GPT-Schema,11,0.006972127099401083,0.39724176542616757,7,0.13916015625,0.208740234375,0.8349609375,Small,,,weapon,C_index
Hybrid-Manual,GPT-Free,11,0.03798042342933983,1.8985806483378405,10,0.0009765625,0.00439453125,0.005859375,Large,Y,Y,weapon,C_index
Hybrid-Manual,GPT-Law,11,0.033461550489414266,1.723922809033349,10,0.00146484375,0.00439453125,0.0087890625,Large,Y,Y,weapon,C_index
Hybrid-Manual,Raw-Facts,11,0.03420427182037089,1.1625198348159638,9,0.00341796875,0.0068359375,0.0205078125,Large,Y,Y,weapon,C_index
Hybrid-Manual,Hybrid-Full,11,0.0031507020671107363,0.2649177267692181,8,0.1826171875,0.21914062499999998,1.0,Small,,,weapon,C_index
Hybrid-Full,Manual,11,-0.01669168464834101,-1.3281351788220384,1,0.9990234375,0.9990234375,1.0,Large,,,weapon,C_index
Hybrid-Full,GPT-Schema,11,0.003821425032290347,0.19337020820694992,6,0.28857421875,0.432861328125,1.0,Negligible,,,weapon,C_index
Hybrid-Full,GPT-Free,11,0.03482972136222909,2.42497580487933,11,0.00048828125,0.00146484375,0.0029296875,Large,Y,Y,weapon,C_index
Hybrid-Full,GPT-Law,11,0.03031084842230353,1.5578099900348357,11,0.00048828125,0.00146484375,0.0029296875,Large,Y,Y,weapon,C_index
Hybrid-Full,Raw-Facts,11,0.031053569753260155,1.6250312646135658,10,0.0009765625,0.001953125,0.005859375,Large,Y,Y,weapon,C_index
Hybrid-Full,Hybrid-Manual,11,-0.0031507020671107363,-0.2649177267692181,3,0.83984375,0.9990234375,1.0,Small,,,weapon,C_index
