A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Raw-Facts,GPT-Law,11,0.029713982207037692,1.0465130098989195,10,0.00146484375,0.0087890625,0.0087890625,Large,✓,✓,drugs,1,F1
Raw-Facts,Hybrid-Manual,11,-0.007237802301251413,-0.18682702285426375,4,0.79345703125,1.0,1.0,Negligible,,,drugs,1,F1
Raw-Facts,Hybrid-Full,11,-0.012075981130117874,-0.3932445148051012,4,0.86083984375,1.0,1.0,Small,,,drugs,1,F1
Hybrid-Manual,Manual,11,-0.03739849746580121,-0.8336676565528612,1,0.98779296875,0.98779296875,1.0,Large,,,drugs,1,F1
Hybrid-Manual,GPT-Schema,11,-0.02113630179569559,-0.4525686409081481,5,0.8798828125,0.98779296875,1.0,Small,,,drugs,1,F1
Hybrid-Manual,GPT-Free,11,0.01673228941911863,0.4511842773677647,7,0.13916015625,0.41748046875,0.8349609375,Small,,,drugs,1,F1
Hybrid-Manual,GPT-Law,11,0.03695178450828911,0.9852053773885234,9,0.0068359375,0.041015625,0.041015625,Large,✓,✓,drugs,1,F1
Hybrid-Manual,Raw-Facts,11,0.007237802301251413,0.18682702285426375,7,0.232421875,0.46484375,1.0,Negligible,,,drugs,1,F1
Hybrid-Manual,Hybrid-Full,11,-0.004838178828866461,-0.10747161377504307,5,0.64990234375,0.974853515625,1.0,Negligible,,,drugs,1,F1
Hybrid-Full,Manual,11,-0.03256031863693475,-0.6797367342101537,2,0.98779296875,0.98779296875,1.0,Medium,,,drugs,1,F1
Hybrid-Full,GPT-Schema,11,-0.01629812296682913,-0.4803292749977599,2,0.94921875,0.98779296875,1.0,Small,,,drugs,1,F1
Hybrid-Full,GPT-Free,11,0.02157046824798509,0.4709582111606474,7,0.07373046875,0.22119140625,0.4423828125,Small,,,drugs,1,F1
Hybrid-Full,GPT-Law,11,0.04178996333715557,1.2837921853581054,9,0.00244140625,0.0146484375,0.0146484375,Large,✓,✓,drugs,1,F1
Hybrid-Full,Raw-Facts,11,0.012075981130117874,0.3932445148051012,7,0.16015625,0.3203125,0.9609375,Small,,,drugs,1,F1
Hybrid-Full,Hybrid-Manual,11,0.004838178828866461,0.10747161377504307,6,0.38232421875,0.573486328125,1.0,Negligible,,,drugs,1,F1
Manual,GPT-Schema,11,-0.004232655763584881,-0.053151801071560104,5,0.55078125,0.97900390625,1.0,Negligible,,,weapon,0,F1
Manual,GPT-Free,11,-0.007648578972451192,-0.11099513802778738,6,0.55078125,0.97900390625,1.0,Negligible,,,weapon,0,F1
Manual,GPT-Law,11,0.026590691819206612,0.49108324794764674,8,0.07373046875,0.4423828125,0.4423828125,Small,,,weapon,0,F1
Manual,Raw-Facts,11,-0.04461731006617751,-0.5416700114499797,4,0.94921875,0.97900390625,1.0,Medium,,,weapon,0,F1
Manual,Hybrid-Manual,11,-0.040529342671769754,-0.6565052433771512,3,0.97900390625,0.97900390625,1.0,Medium,,,weapon,0,F1
Manual,Hybrid-Full,11,-0.02054683777924393,-0.2694072440869106,4,0.83984375,0.97900390625,1.0,Small,,,weapon,0,F1
GPT-Schema,Manual,11,0.004232655763584881,0.053151801071560104,6,0.48291015625,0.92626953125,1.0,Negligible,,,weapon,0,F1
GPT-Schema,GPT-Free,11,-0.0034159232088663105,-0.04634777074159217,5,0.740234375,0.92626953125,1.0,Negligible,,,weapon,0,F1
GPT-Schema,GPT-Law,11,0.030823347582791493,0.5289293544486933,7,0.10302734375,0.6181640625,0.6181640625,Medium,,,weapon,0,F1
GPT-Schema,Raw-Facts,11,-0.04038465430259263,-0.5103480660843831,3,0.92626953125,0.92626953125,1.0,Medium,,,weapon,0,F1
GPT-Schema,Hybrid-Manual,11,-0.036296686908184876,-0.45255315019567904,5,0.89697265625,0.92626953125,1.0,Small,,,weapon,0,F1
GPT-Schema,Hybrid-Full,11,-0.01631418201565905,-0.23926121237190148,3,0.8173828125,0.92626953125,1.0,Small,,,weapon,0,F1
GPT-Free,Manual,11,0.007648578972451192,0.11099513802778738,5,0.48291015625,0.876708984375,1.0,Negligible,,,weapon,0,F1
GPT-Free,GPT-Schema,11,0.0034159232088663105,0.04634777074159217,6,0.28857421875,0.86572265625,1.0,Negligible,,,weapon,0,F1
GPT-Free,GPT-Law,11,0.034239270791657804,0.6427438261799591,6,0.07373046875,0.4423828125,0.4423828125,Medium,,,weapon,0,F1
GPT-Free,Raw-Facts,11,-0.036968731093726316,-0.6238294312146654,3,0.97314453125,0.97314453125,1.0,Medium,,,weapon,0,F1
GPT-Free,Hybrid-Manual,11,-0.03288076369931856,-0.48472877962284133,5,0.92626953125,0.97314453125,1.0,Small,,,weapon,0,F1
GPT-Free,Hybrid-Full,11,-0.01289825880679274,-0.14727757634244953,6,0.58447265625,0.876708984375,1.0,Negligible,,,weapon,0,F1
GPT-Law,Manual,11,-0.026590691819206612,-0.49108324794764674,3,0.9384765625,1.0,1.0,Small,,,weapon,0,F1
GPT-Law,GPT-Schema,11,-0.030823347582791493,-0.5289293544486933,4,0.91259765625,1.0,1.0,Medium,,,weapon,0,F1
GPT-Law,GPT-Free,11,-0.034239270791657804,-0.6427438261799591,5,0.9384765625,1.0,1.0,Medium,,,weapon,0,F1
GPT-Law,Raw-Facts,11,-0.07120800188538412,-1.2621828730869566,0,1.0,1.0,1.0,Large,,,weapon,0,F1
GPT-Law,Hybrid-Manual,11,-0.06712003449097637,-1.1843213658789558,3,0.9951171875,1.0,1.0,Large,,,weapon,0,F1
GPT-Law,Hybrid-Full,11,-0.047137529598450544,-0.58440878852857,4,0.95849609375,1.0,1.0,Medium,,,weapon,0,F1
Raw-Facts,Manual,11,0.04461731006617751,0.5416700114499797,7,0.0615234375,0.10488281249999999,0.369140625,Medium,,,weapon,0,F1
Raw-Facts,GPT-Schema,11,0.04038465430259263,0.5103480660843831,8,0.08740234375,0.10488281249999999,0.5244140625,Medium,,,weapon,0,F1
Raw-Facts,GPT-Free,11,0.036968731093726316,0.6238294312146654,8,0.03369140625,0.10107421875,0.2021484375,Medium,,,weapon,0,F1
Raw-Facts,GPT-Law,11,0.07120800188538412,1.2621828730869566,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,0,F1
Raw-Facts,Hybrid-Manual,11,0.004087967394407754,0.06844651824605914,6,0.38232421875,0.38232421875,1.0,Negligible,,,weapon,0,F1
Raw-Facts,Hybrid-Full,11,0.024070472286933577,0.29040201435447643,6,0.08740234375,0.10488281249999999,0.5244140625,Small,,,weapon,0,F1
Hybrid-Manual,Manual,11,0.040529342671769754,0.6565052433771512,8,0.02685546875,0.08056640625,0.1611328125,Medium,,,weapon,0,F1
Hybrid-Manual,GPT-Schema,11,0.036296686908184876,0.45255315019567904,6,0.1201171875,0.18017578125,0.720703125,Small,,,weapon,0,F1
Hybrid-Manual,GPT-Free,11,0.03288076369931856,0.48472877962284133,6,0.08740234375,0.1748046875,0.5244140625,Small,,,weapon,0,F1
Hybrid-Manual,GPT-Law,11,0.06712003449097637,1.1843213658789558,8,0.0068359375,0.041015625,0.041015625,Large,✓,✓,weapon,0,F1
Hybrid-Manual,Raw-Facts,11,-0.004087967394407754,-0.06844651824605914,5,0.64990234375,0.64990234375,1.0,Negligible,,,weapon,0,F1
Hybrid-Manual,Hybrid-Full,11,0.019982504892525822,0.2958214341753142,8,0.16015625,0.19218749999999998,0.9609375,Small,,,weapon,0,F1
Hybrid-Full,Manual,11,0.02054683777924393,0.2694072440869106,7,0.1826171875,0.4130859375,1.0,Small,,,weapon,0,F1
Hybrid-Full,GPT-Schema,11,0.01631418201565905,0.23926121237190148,8,0.20654296875,0.4130859375,1.0,Small,,,weapon,0,F1
Hybrid-Full,GPT-Free,11,0.01289825880679274,0.14727757634244953,5,0.44921875,0.673828125,1.0,Negligible,,,weapon,0,F1
Hybrid-Full,GPT-Law,11,0.047137529598450544,0.58440878852857,7,0.05078125,0.3046875,0.3046875,Medium,,,weapon,0,F1
Hybrid-Full,Raw-Facts,11,-0.024070472286933577,-0.29040201435447643,5,0.92626953125,0.92626953125,1.0,Small,,,weapon,0,F1
Hybrid-Full,Hybrid-Manual,11,-0.019982504892525822,-0.2958214341753142,3,0.86083984375,0.92626953125,1.0,Small,,,weapon,0,F1
Manual,GPT-Schema,11,0.05484224976078622,1.355329846457537,10,0.00146484375,0.0029296875,0.0087890625,Large,✓,✓,weapon,1,F1
Manual,GPT-Free,11,0.07071394195653104,1.7368489662209399,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,F1
Manual,GPT-Law,11,0.06483773787779817,1.552584638425202,10,0.0009765625,0.0029296875,0.005859375,Large,✓,✓,weapon,1,F1
Manual,Raw-Facts,11,0.04271298816028799,1.1419070802830709,9,0.00244140625,0.003662109375,0.0146484375,Large,✓,✓,weapon,1,F1
Manual,Hybrid-Manual,11,0.024351280118177474,0.6374517763779756,9,0.05078125,0.05078125,0.3046875,Medium,,,weapon,1,F1
Manual,Hybrid-Full,11,0.026401020016648236,0.7701453058132123,8,0.01611328125,0.0193359375,0.0966796875,Medium,✓,,weapon,1,F1
GPT-Schema,Manual,11,-0.05484224976078622,-1.355329846457537,1,0.9990234375,0.99951171875,1.0,Large,,,weapon,1,F1
GPT-Schema,GPT-Free,11,0.015871692195744812,0.4249561614311043,6,0.08740234375,0.5244140625,0.5244140625,Small,,,weapon,1,F1
GPT-Schema,GPT-Law,11,0.009995488117011958,0.23123729296520018,7,0.232421875,0.697265625,1.0,Small,,,weapon,1,F1
GPT-Schema,Raw-Facts,11,-0.01212926160049823,-0.3143150554777477,4,0.86083984375,0.99951171875,1.0,Small,,,weapon,1,F1
GPT-Schema,Hybrid-Manual,11,-0.030490969642608747,-1.5171269810355652,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,1,F1
GPT-Schema,Hybrid-Full,11,-0.028441229744137986,-0.7527318810370924,2,0.98779296875,0.99951171875,1.0,Medium,,,weapon,1,F1
GPT-Free,Manual,11,-0.07071394195653104,-1.7368489662209399,0,1.0,1.0,1.0,Large,,,weapon,1,F1
GPT-Free,GPT-Schema,11,-0.015871692195744812,-0.4249561614311043,5,0.92626953125,1.0,1.0,Small,,,weapon,1,F1
GPT-Free,GPT-Law,11,-0.005876204078732855,-0.16066149882473407,4,0.8173828125,1.0,1.0,Negligible,,,weapon,1,F1
GPT-Free,Raw-Facts,11,-0.028000953796243042,-1.0542646040452097,1,0.99658203125,1.0,1.0,Large,,,weapon,1,F1
GPT-Free,Hybrid-Manual,11,-0.04636266183835356,-1.0952537548474135,1,0.99853515625,1.0,1.0,Large,,,weapon,1,F1
GPT-Free,Hybrid-Full,11,-0.044312921939882795,-1.1768376141217154,1,0.99755859375,1.0,1.0,Large,,,weapon,1,F1
GPT-Law,Manual,11,-0.06483773787779817,-1.552584638425202,1,0.99951171875,1.0,1.0,Large,,,weapon,1,F1
GPT-Law,GPT-Schema,11,-0.009995488117011958,-0.23123729296520018,4,0.79345703125,1.0,1.0,Small,,,weapon,1,F1
GPT-Law,GPT-Free,11,0.005876204078732855,0.16066149882473407,7,0.20654296875,1.0,1.0,Negligible,,,weapon,1,F1
GPT-Law,Raw-Facts,11,-0.022124749717510186,-0.5860861842409677,3,0.94921875,1.0,1.0,Medium,,,weapon,1,F1
GPT-Law,Hybrid-Manual,11,-0.0404864577596207,-0.8911629147345222,2,0.9931640625,1.0,1.0,Large,,,weapon,1,F1
GPT-Law,Hybrid-Full,11,-0.038436717861149945,-1.0415960206736887,0,1.0,1.0,1.0,Large,,,weapon,1,F1
Raw-Facts,Manual,11,-0.04271298816028799,-1.1419070802830709,2,0.99853515625,0.99853515625,1.0,Large,,,weapon,1,F1
Raw-Facts,GPT-Schema,11,0.01212926160049823,0.3143150554777477,7,0.16015625,0.3203125,0.9609375,Small,,,weapon,1,F1
Raw-Facts,GPT-Free,11,0.028000953796243042,1.0542646040452097,10,0.0048828125,0.029296875,0.029296875,Large,✓,✓,weapon,1,F1
Raw-Facts,GPT-Law,11,0.022124749717510186,0.5860861842409677,8,0.0615234375,0.1845703125,0.369140625,Medium,,,weapon,1,F1
Raw-Facts,Hybrid-Manual,11,-0.018361708042110517,-0.44394479529479847,4,0.89697265625,0.99853515625,1.0,Small,,,weapon,1,F1
Raw-Facts,Hybrid-Full,11,-0.016311968143639756,-0.4666717267376605,4,0.89697265625,0.99853515625,1.0,Small,,,weapon,1,F1
Hybrid-Manual,Manual,11,-0.024351280118177474,-0.6374517763779756,2,0.95849609375,0.95849609375,1.0,Medium,,,weapon,1,F1
Hybrid-Manual,GPT-Schema,11,0.030490969642608747,1.5171269810355652,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,weapon,1,F1
Hybrid-Manual,GPT-Free,11,0.04636266183835356,1.0952537548474135,10,0.00244140625,0.00732421875,0.0146484375,Large,✓,✓,weapon,1,F1
Hybrid-Manual,GPT-Law,11,0.0404864577596207,0.8911629147345222,9,0.00927734375,0.0185546875,0.0556640625,Large,✓,,weapon,1,F1
Hybrid-Manual,Raw-Facts,11,0.018361708042110517,0.44394479529479847,7,0.1201171875,0.18017578125,0.720703125,Small,,,weapon,1,F1
Hybrid-Manual,Hybrid-Full,11,0.0020497398984707623,0.05183828729170608,6,0.38232421875,0.45878906249999996,1.0,Negligible,,,weapon,1,F1
Hybrid-Full,Manual,11,-0.026401020016648236,-0.7701453058132123,3,0.98779296875,0.98779296875,1.0,Medium,,,weapon,1,F1
Hybrid-Full,GPT-Schema,11,0.028441229744137986,0.7527318810370924,9,0.01611328125,0.0322265625,0.0966796875,Medium,✓,,weapon,1,F1
Hybrid-Full,GPT-Free,11,0.044312921939882795,1.1768376141217154,10,0.00341796875,0.01025390625,0.0205078125,Large,✓,✓,weapon,1,F1
Hybrid-Full,GPT-Law,11,0.038436717861149945,1.0415960206736887,11,0.00048828125,0.0029296875,0.0029296875,Large,✓,✓,weapon,1,F1
Hybrid-Full,Raw-Facts,11,0.016311968143639756,0.4666717267376605,7,0.1201171875,0.18017578125,0.720703125,Small,,,weapon,1,F1
Hybrid-Full,Hybrid-Manual,11,-0.0020497398984707623,-0.05183828729170608,5,0.64990234375,0.7798828124999999,1.0,Negligible,,,weapon,1,F1
