domain,rep,model,task,F1,AP_PR
weapon,GPT-Free,qwen_hf,0,0.6035885167464115,0.6472396504786149
weapon,GPT-Free,qwen_hf,1,0.7304540023894862,0.7960923712945426
weapon,GPT-Law,gpt4,0,0.5974269005847953,0.6682291042765478
weapon,GPT-Law,gpt4,1,0.7182932551319647,0.817870177082521
weapon,GPT-Law,gpt5mini,0,0.5759649122807018,0.6295822086500712
weapon,GPT-Law,gpt5mini,1,0.723030303030303,0.7930997292725546
weapon,GPT-Law,gpt52,0,0.6561904761904762,0.7237517302203395
weapon,GPT-Law,gpt52,1,0.8214212454212454,0.8323472672664911
weapon,GPT-Law,gpt51_thinking,0,0.6780398411358164,0.7227215128995055
weapon,GPT-Law,gpt51_thinking,1,0.7458016726403824,0.8304058694394469
weapon,GPT-Law,claude_sonnet_4_6,0,0.6271359558316081,0.6921821613352709
weapon,GPT-Law,claude_sonnet_4_6,1,0.7743047830923249,0.7945250287330963
weapon,GPT-Law,gemini_25_pro,0,0.6025062656641603,0.5934151672607915
weapon,GPT-Law,gemini_25_pro,1,0.6998962470791074,0.7757646297434216
weapon,GPT-Law,gemini_3_flash,0,0.6587692056227525,0.6445515790757957
weapon,GPT-Law,gemini_3_flash,1,0.7351306042884989,0.8393424532860947
weapon,GPT-Law,gemma3_27b,0,0.5229344729344729,0.5361216132303122
weapon,GPT-Law,gemma3_27b,1,0.7505628476084538,0.6962304949424594
weapon,GPT-Law,llama3_70b,0,0.527089947089947,0.5723864993117334
weapon,GPT-Law,llama3_70b,1,0.7283966311774988,0.6954371389777373
weapon,GPT-Law,qwen3_235b,0,0.653138528138528,0.6473014074408117
weapon,GPT-Law,qwen3_235b,1,0.6960919851811693,0.7449717609047026
weapon,GPT-Law,qwen_hf,0,0.6236829836829838,0.5623024344325327
weapon,GPT-Law,qwen_hf,1,0.7059912854030501,0.7057196415405655
weapon,Raw-Facts,gpt4,0,0.7426143790849673,0.7526284135696577
weapon,Raw-Facts,gpt4,1,0.7551477507999247,0.8497383800348517
weapon,Raw-Facts,gpt5mini,0,0.6027777777777776,0.6744959399030939
weapon,Raw-Facts,gpt5mini,1,0.735648148148148,0.7821333108477981
weapon,Raw-Facts,gpt52,0,0.7261919504643963,0.7864117026305216
weapon,Raw-Facts,gpt52,1,0.7968414083556512,0.8353387690218947
weapon,Raw-Facts,gpt51_thinking,0,0.7099346405228759,0.733133959446719
weapon,Raw-Facts,gpt51_thinking,1,0.776262792124861,0.8566985020887964
weapon,Raw-Facts,claude_sonnet_4_6,0,0.7437621202327085,0.7740336304199904
weapon,Raw-Facts,claude_sonnet_4_6,1,0.7408687715695502,0.8626305797193226
weapon,Raw-Facts,gemini_25_pro,0,0.6433986928104576,0.652422130392965
weapon,Raw-Facts,gemini_25_pro,1,0.7682904681525372,0.8213002159586709
weapon,Raw-Facts,gemini_3_flash,0,0.7162573099415204,0.6380652555855366
weapon,Raw-Facts,gemini_3_flash,1,0.7454545454545455,0.8195460038926462
weapon,Raw-Facts,gemma3_27b,0,0.7124408848207475,0.6674255284011381
weapon,Raw-Facts,gemma3_27b,1,0.7639230384807596,0.8303994728389891
weapon,Raw-Facts,llama3_70b,0,0.5283325370281892,0.6331646824299991
weapon,Raw-Facts,llama3_70b,1,0.7152688172043011,0.7325622181174376
weapon,Raw-Facts,qwen3_235b,0,0.7013725490196078,0.6656941475433594
weapon,Raw-Facts,qwen3_235b,1,0.7767990630059596,0.8419720458905356
weapon,Raw-Facts,qwen_hf,0,0.6790846681922197,0.6364318230384975
weapon,Raw-Facts,qwen_hf,1,0.7677883036503725,0.8349725441227625
weapon,Hybrid-Manual,gpt4,0,0.7056959706959707,0.8276437003932839
weapon,Hybrid-Manual,gpt4,1,0.7542241379310344,0.8829926438068576
weapon,Hybrid-Manual,gpt5mini,0,0.6247493734335838,0.7160395496005355
weapon,Hybrid-Manual,gpt5mini,1,0.7839814814814815,0.8128048517958074
weapon,Hybrid-Manual,gpt52,0,0.7571792225662194,0.7441212425776726
weapon,Hybrid-Manual,gpt52,1,0.8063095238095238,0.8827680306856543
weapon,Hybrid-Manual,gpt51_thinking,0,0.7580392156862745,0.807867784455041
weapon,Hybrid-Manual,gpt51_thinking,1,0.779047619047619,0.8974215781663937
weapon,Hybrid-Manual,claude_sonnet_4_6,0,0.6984126984126984,0.8111494209413854
weapon,Hybrid-Manual,claude_sonnet_4_6,1,0.8228717387338078,0.8966119376123697
weapon,Hybrid-Manual,gemini_25_pro,0,0.7191387559808613,0.6826305403516866
weapon,Hybrid-Manual,gemini_25_pro,1,0.8227661227661228,0.8487075638260684
weapon,Hybrid-Manual,gemini_3_flash,0,0.6485671191553545,0.6940118620730786
weapon,Hybrid-Manual,gemini_3_flash,1,0.8231593406593406,0.8503483391330298
weapon,Hybrid-Manual,gemma3_27b,0,0.6743776437140282,0.6281391244484071
weapon,Hybrid-Manual,gemma3_27b,1,0.7744445209962451,0.7405158735227543
weapon,Hybrid-Manual,llama3_70b,0,0.6210125313283208,0.5345282669516692
weapon,Hybrid-Manual,llama3_70b,1,0.6817845117845118,0.7136973439264162
weapon,Hybrid-Manual,qwen3_235b,0,0.6509803921568628,0.7333762755579386
weapon,Hybrid-Manual,qwen3_235b,1,0.7417816442816443,0.7919066167339973
weapon,Hybrid-Manual,qwen_hf,0,0.6030469454268081,0.7276837117882555
weapon,Hybrid-Manual,qwen_hf,1,0.7539012539184954,0.8302247346537148
weapon,Hybrid-Full,gpt4,0,0.6670204924074893,0.7990789591211228
weapon,Hybrid-Full,gpt4,1,0.7948387096774194,0.8769562837529916
weapon,Hybrid-Full,gpt5mini,0,0.67953216374269,0.6280316945457429
weapon,Hybrid-Full,gpt5mini,1,0.7329705778092874,0.7842316524150448
weapon,Hybrid-Full,gpt52,0,0.7777777777777778,0.8093645208246927
weapon,Hybrid-Full,gpt52,1,0.8269558028178718,0.8644344279336914
weapon,Hybrid-Full,gpt51_thinking,0,0.6027472527472527,0.7085754318380392
weapon,Hybrid-Full,gpt51_thinking,1,0.7798560060629025,0.8187903134286825
weapon,Hybrid-Full,claude_sonnet_4_6,0,0.7945648434812522,0.8282993558542587
weapon,Hybrid-Full,claude_sonnet_4_6,1,0.7886432381895178,0.8872057912330331
weapon,Hybrid-Full,gemini_25_pro,0,0.7135964912280701,0.6747833934985756
weapon,Hybrid-Full,gemini_25_pro,1,0.8079503105590062,0.8402357500121137
weapon,Hybrid-Full,gemini_3_flash,0,0.6450828157349896,0.737684582831966
weapon,Hybrid-Full,gemini_3_flash,1,0.8019825223864494,0.8770558483136259
weapon,Hybrid-Full,gemma3_27b,0,0.5933581780538303,0.519885441456117
weapon,Hybrid-Full,gemma3_27b,1,0.7533333333333333,0.6731132800981653
weapon,Hybrid-Full,llama3_70b,0,0.5833370333370334,0.5490588362415145
weapon,Hybrid-Full,llama3_70b,1,0.7575096200096201,0.7098997039650212
weapon,Hybrid-Full,qwen3_235b,0,0.5907867494824016,0.6739931094551401
weapon,Hybrid-Full,qwen3_235b,1,0.7703396603396604,0.8104001613995464
weapon,Hybrid-Full,qwen_hf,0,0.5935885167464114,0.6333282426701052
weapon,Hybrid-Full,qwen_hf,1,0.7073449753415797,0.7511605209993732
