A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
GPT-Free,Hybrid-Full,11,-0.016097504999844806,-0.4448626764139652,3,0.94921875,0.99951171875,1.0,Small,,,drugs,1,F1_CV
GPT-Law,Manual,11,-0.07163627955509584,-2.3333767397224543,0,1.0,1.0,1.0,Large,,,drugs,1,F1_CV
GPT-Law,GPT-Schema,11,-0.053937901919502804,-3.2263450291000804,0,1.0,1.0,1.0,Large,,,drugs,1,F1_CV
GPT-Law,GPT-Free,11,-0.010008361490078938,-0.32536814029352196,5,0.79345703125,1.0,1.0,Small,,,drugs,1,F1_CV
GPT-Law,Raw-Facts,11,-0.026831508901228842,-1.3196345590223209,1,0.9990234375,1.0,1.0,Large,,,drugs,1,F1_CV
GPT-Law,Hybrid-Manual,11,-0.023979854639617767,-0.8198422435686445,2,0.98388671875,1.0,1.0,Large,,,drugs,1,F1_CV
GPT-Law,Hybrid-Full,11,-0.026105866489923746,-0.9998346070064819,1,0.99658203125,1.0,1.0,Large,,,drugs,1,F1_CV
Raw-Facts,Manual,11,-0.044804770653867,-1.147125756005672,2,0.99658203125,1.0,1.0,Large,,,drugs,1,F1_CV
Raw-Facts,GPT-Schema,11,-0.027106393018273958,-1.3747725705698264,0,1.0,1.0,1.0,Large,,,drugs,1,F1_CV
Raw-Facts,GPT-Free,11,0.016823147411149906,0.4403191020364521,8,0.07373046875,0.22119140625,0.4423828125,Small,,,drugs,1,F1_CV
Raw-Facts,GPT-Law,11,0.026831508901228842,1.3196345590223209,10,0.00146484375,0.0087890625,0.0087890625,Large,✓,✓,drugs,1,F1_CV
Raw-Facts,Hybrid-Manual,11,0.0028516542616110778,0.07014990153838364,6,0.44921875,0.8984375,1.0,Negligible,,,drugs,1,F1_CV
Raw-Facts,Hybrid-Full,11,0.0007256424113050972,0.02076908878016634,3,0.65234375,0.978515625,1.0,Negligible,,,drugs,1,F1_CV
Hybrid-Manual,Manual,11,-0.04765642491547808,-1.6229658718240965,0,1.0,1.0,1.0,Large,,,drugs,1,F1_CV
Hybrid-Manual,GPT-Schema,11,-0.029958047279885037,-0.802419899785487,3,0.98779296875,1.0,1.0,Large,,,drugs,1,F1_CV
Hybrid-Manual,GPT-Free,11,0.013971493149538827,0.399272894470863,7,0.16015625,0.48046875,0.9609375,Small,,,drugs,1,F1_CV
Hybrid-Manual,GPT-Law,11,0.023979854639617767,0.8198422435686445,9,0.02099609375,0.1259765625,0.1259765625,Large,,,drugs,1,F1_CV
Hybrid-Manual,Raw-Facts,11,-0.0028516542616110778,-0.07014990153838364,5,0.58447265625,0.876708984375,1.0,Negligible,,,drugs,1,F1_CV
Hybrid-Manual,Hybrid-Full,11,-0.0021260118503059807,-0.06120504529981776,6,0.58447265625,0.876708984375,1.0,Negligible,,,drugs,1,F1_CV
Hybrid-Full,Manual,11,-0.045530413065172096,-0.9869198942611932,2,0.9931640625,0.9931640625,1.0,Large,,,drugs,1,F1_CV
Hybrid-Full,GPT-Schema,11,-0.027832035429579058,-0.915630911781653,2,0.9931640625,0.9931640625,1.0,Large,,,drugs,1,F1_CV
Hybrid-Full,GPT-Free,11,0.016097504999844806,0.4448626764139652,8,0.0615234375,0.1845703125,0.369140625,Small,,,drugs,1,F1_CV
Hybrid-Full,GPT-Law,11,0.026105866489923746,0.9998346070064819,10,0.0048828125,0.029296875,0.029296875,Large,✓,✓,drugs,1,F1_CV
