query,domain,fold,year,method,err_lo,err_hi
תפ_6681-09-21,drugs,1,2021.0,sup_llm,14.0,27.0
תפ_6681-09-21,drugs,1,2021.0,llm_best,4.0,12.0
תפ_6681-09-21,drugs,1,2021.0,tfidf_ridge,14.700443394888381,28.477085025669957
תפ_6681-09-21,drugs,1,2021.0,bm25,7.5,23.0
תפ_6681-09-21,drugs,1,2021.0,offense_matched_random,24.0,42.0
תפ_893-03-22,drugs,1,2022.0,global_median,3.0,6.0
תפ_893-03-22,drugs,1,2022.0,random_llm,3.0,0.0
תפ_893-03-22,drugs,1,2022.0,citation_llm,3.5,0.0
תפ_893-03-22,drugs,1,2022.0,sup_only,2.5,0.0
תפ_893-03-22,drugs,1,2022.0,sup_llm,3.0,0.0
תפ_893-03-22,drugs,1,2022.0,llm_best,3.5,0.0
תפ_893-03-22,drugs,1,2022.0,tfidf_ridge,4.571680143570909,3.8152910692040436
תפ_893-03-22,drugs,1,2022.0,bm25,12.0,18.0
תפ_893-03-22,drugs,1,2022.0,offense_matched_random,3.0,8.0
תפ_45644-11-22,drugs,1,2022.0,global_median,7.0,12.0
תפ_45644-11-22,drugs,1,2022.0,random_llm,6.0,0.0
תפ_45644-11-22,drugs,1,2022.0,citation_llm,4.0,12.0
תפ_45644-11-22,drugs,1,2022.0,sup_only,6.0,12.0
תפ_45644-11-22,drugs,1,2022.0,sup_llm,6.0,12.0
תפ_45644-11-22,drugs,1,2022.0,llm_best,3.0,3.0
תפ_45644-11-22,drugs,1,2022.0,tfidf_ridge,3.889918316834528,9.112307024249894
תפ_45644-11-22,drugs,1,2022.0,bm25,7.0,15.0
תפ_45644-11-22,drugs,1,2022.0,offense_matched_random,6.0,14.0
תפ_16097-08-21,drugs,1,2021.0,global_median,13.0,22.0
תפ_16097-08-21,drugs,1,2021.0,random_llm,0.5,1.0
תפ_16097-08-21,drugs,1,2021.0,citation_llm,1.0,2.0
תפ_16097-08-21,drugs,1,2021.0,sup_only,3.5,8.0
