sweep,filter,domain,K,n_total,n_pred,coverage,mae_lo,mae_hi
K,citation_all,weapon,30,1719,1630,0.9482257126236184,14.510736196319018,21.350613496932514
K,citation_all,drugs,50,2713,2352,0.8669369701437523,5.968537414965986,9.22108843537415
K,citation_all,weapon,50,1719,1630,0.9482257126236184,14.134969325153374,20.792944785276074
K,citation_all_llm,drugs,1,2713,2352,0.8669369701437523,6.616496598639456,10.104166666666666
K,citation_all_llm,weapon,1,1719,1630,0.9482257126236184,14.606134969325153,21.706134969325152
K,citation_all_llm,drugs,3,2713,2352,0.8669369701437523,5.756164965986395,8.935374149659864
K,citation_all_llm,weapon,3,1719,1630,0.9482257126236184,12.915030674846626,18.940490797546012
K,citation_all_llm,drugs,5,2713,2352,0.8669369701437523,5.394557823129252,8.400722789115646
K,citation_all_llm,weapon,5,1719,1630,0.9482257126236184,12.3659509202454,18.416257668711655
K,citation_all_llm,drugs,10,2713,2352,0.8669369701437523,5.322278911564626,8.172619047619047
K,citation_all_llm,weapon,10,1719,1630,0.9482257126236184,12.458588957055214,18.244171779141105
K,citation_all_llm,drugs,15,2713,2352,0.8669369701437523,5.31483843537415,8.205994897959183
K,citation_all_llm,weapon,15,1719,1630,0.9482257126236184,12.575153374233128,18.500920245398774
K,citation_all_llm,drugs,20,2713,2352,0.8669369701437523,5.373086734693878,8.249574829931973
K,citation_all_llm,weapon,20,1719,1630,0.9482257126236184,12.611349693251533,18.576073619631902
K,citation_all_llm,drugs,30,2713,2352,0.8669369701437523,5.401360544217687,8.326105442176871
K,citation_all_llm,weapon,30,1719,1630,0.9482257126236184,12.693865030674846,18.70644171779141
K,citation_all_llm,drugs,50,2713,2352,0.8669369701437523,5.483843537414966,8.475977891156463
K,citation_all_llm,weapon,50,1719,1630,0.9482257126236184,13.017484662576686,19.150613496932515
K,supervised,drugs,1,2713,2713,1.0,6.356800589753041,10.015481017323996
K,supervised,weapon,1,1719,1719,1.0,17.21000581733566,24.982547993019196
K,supervised,drugs,3,2713,2713,1.0,5.966089200147438,9.612237375598967
K,supervised,weapon,3,1719,1719,1.0,14.296684118673648,21.146596858638745
K,supervised,drugs,5,2713,2713,1.0,5.942499078510874,9.536675267231846
K,supervised,weapon,5,1719,1719,1.0,13.923792902850494,20.64979639325189
K,supervised,drugs,10,2713,2713,1.0,5.887946922226318,9.383708072244747
K,supervised,weapon,10,1719,1719,1.0,13.852530541012216,20.522105875509016
K,supervised,drugs,15,2713,2713,1.0,5.86619977884261,9.365278289716182
K,supervised,weapon,15,1719,1719,1.0,13.871436881908085,20.63932518906341
K,supervised,drugs,20,2713,2713,1.0,5.848138591964615,9.34537412458533
K,supervised,weapon,20,1719,1719,1.0,13.96044211751018,20.86416521233275
K,supervised,drugs,30,2713,2713,1.0,5.847032805012901,9.321415407298193
K,supervised,weapon,30,1719,1719,1.0,13.990983129726585,20.979930191972077
K,supervised,drugs,50,2713,2713,1.0,5.853114633247328,9.304460007371913
K,supervised,weapon,50,1719,1719,1.0,14.168993600930774,21.247527632344386
K,supervised_llm,drugs,1,2713,2713,1.0,6.088831551787689,9.610762992996683
K,supervised_llm,weapon,1,1719,1719,1.0,15.196625945317045,21.812100058173357
K,supervised_llm,drugs,3,2713,2713,1.0,5.676741614448949,9.193144120899374
K,supervised_llm,weapon,3,1719,1719,1.0,13.387434554973822,19.485747527632345
K,supervised_llm,drugs,5,2713,2713,1.0,5.684113527460376,9.13343162550682
K,supervised_llm,weapon,5,1719,1719,1.0,13.226876090750435,19.422338568935427
K,supervised_llm,drugs,10,2713,2713,1.0,5.688168079616661,9.122189458164394
K,supervised_llm,weapon,10,1719,1719,1.0,12.970913321698662,19.167539267015705
K,supervised_llm,drugs,15,2713,2713,1.0,5.691116844821231,9.193144120899374
K,supervised_llm,weapon,15,1719,1719,1.0,13.002908667830134,19.214659685863875
K,supervised_llm,drugs,20,2713,2713,1.0,5.71452266863251,9.233321046811648
K,supervised_llm,weapon,20,1719,1719,1.0,13.342350203606749,19.75276323443863
K,supervised_llm,drugs,30,2713,2713,1.0,5.746221894581644,9.27699963140435
K,supervised_llm,weapon,30,1719,1719,1.0,13.507562536358348,20.076788830715532
K,supervised_llm,drugs,50,2713,2713,1.0,5.771470696645779,9.2969037965352
K,supervised_llm,weapon,50,1719,1719,1.0,13.676847004072135,20.4630599185573
K,llm_top,drugs,1,2713,2713,1.0,6.532620715075562,10.170659786214523
K,llm_top,weapon,1,1719,1719,1.0,15.979057591623036,23.325770796974986
