v1,v2,domain,cit_type,d_lo,d_hi
תפ_26552-06-23,תפ_43597-08-21,weapon,cocite,4.0,8.0
תפ_22588-03-22,תפ_58027-12-21,weapon,cocite,13.0,20.0
תפ_12743-08-22,תפ_63355-02-23,weapon,cocite,42.0,58.0
תפ_34027-04-18,תפ_60765-03-22,weapon,cocite,6.0,6.0
תפ_50986-12-16,תפ_54432-02-17,weapon,cocite,5.0,12.0
תפ_4102-11-20,תפ_74742-06-20,weapon,cocite,21.0,11.0
תפ_17766-12-20,תפ_26702-01-23,weapon,cocite,42.0,60.0
תפ_40999-01-21,תפח_54962-08-15,weapon,cocite,48.0,24.0
תפ_13270-02-20,תפ_40536-10-20,weapon,cocite,4.0,16.0
תפ_23282-05-17,תפ_32174-07-20,drugs,cocite,4.0,16.0
תפ_20770-11-22,תפ_950-09-17,weapon,cocite,11.0,6.0
תפ_70062-03-23,תפ_7196-03-21,weapon,"2hop,cocite",32.0,50.0
תפ_1106-03-18,תפ_9785-12-15,weapon,cocite,3.0,4.0
תפ_52091-02-20,תפ_7108-02-16,weapon,cocite,2.0,6.0
תפ_19821-02-17,תפ_66542-05-20,weapon,cocite,16.0,24.0
תפ_28615-08-17,תפ_4102-11-20,weapon,cocite,8.0,14.0
תפ_44422-01-17,תפ_45012-03-20,drugs,cocite,23.0,36.0
תפ_46930-03-22,תפ_9355-10-19,weapon,cocite,22.0,14.0
תפ_41052-11-19,תפ_45971-11-13,weapon,cocite,3.0,5.0
תפ_19908-10-21,תפ_41276-06-17,weapon,cocite,14.0,24.0
תפ_59970-03-19,תפ_71830-10-21,drugs,cocite,1.0,4.0
תפ_3451-02-14,תפ_58511-01-20,weapon,1hop,4.0,0.0
תפ_29898-02-14,תפ_54607-07-19,weapon,cocite,12.0,12.0
תפ_15423-12-19,תפ_52223-10-23,weapon,2hop,0.0,12.0
תפ_32907-12-20,תפ_6904-12-14,weapon,cocite,2.0,6.0
תפ_68389-07-20,תפ_7053-03-21,weapon,cocite,3.0,10.0
תפ_28107-06-20,תפ_35074-05-17,drugs,cocite,3.0,6.0
תפ_1108-05-15,תפ_30617-02-22,weapon,cocite,4.0,10.0
תפ_23537-02-14,תפ_43597-08-21,weapon,cocite,12.0,12.0
תפ_4460-04-18,תפ_69281-11-20,drugs,cocite,6.0,16.0
תפ_31419-11-20,תפ_43394-11-19,drugs,"1hop,cocite",2.0,0.0
תפ_45965-07-16,תפ_54432-02-17,weapon,cocite,4.0,12.0
תפ_24420-01-20,תפ_39808-05-23,weapon,cocite,6.0,12.0
